Id	Name	RoleName	Desc	Icon	StageId	CoverId
1	红莲	露西亚	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1021001.png	13010101	1001
2	黎明	露西亚	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1021002.png	13010102	1002
3	蚀暗	丽芙	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1031001.png	13010201	1003
4	流光	丽芙	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1031002.png	13010202	1004
5	风暴	七实	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1051001.png	13010301	1005
6	异火	里	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1011001.png	13010401	1006
7	爆裂	卡列尼娜	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1071001.png	13010501	1007
8	夜刃	渡边	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1081001.png	13010601	1008
9	夙星	渡边	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1081003.png	13010602	1009
10	零度	比安卡	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1041001.png	13010701	1010
11	重能	神威	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1061001.png	13010801	1011
12	溢彩	艾拉	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1091002.png	13011201	1012
13	银牙	苏菲亚	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1101002.png	13011401	1013
14	弧光	库洛姆	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1201002.png	13011501	1014
15	瑰丽	薇拉	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1131002.png	13011701	1015
16	游麟	常羽	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1161002.png	13012101	1016
17	明觉	万事	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1211002.png	13012301	1017
18	XXI	21号	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1221002.png	13012601	1018
19	琉璃	邦比娜塔	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1231002.png	13012701	1019
20	清商	含英	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1241002.png	13012801	1020
21	擎驱	诺克提	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1251002.png	13012901	1021
22	觅语	布偶熊	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1291002.png	13013000	1022
23	布丽姬特	耀炎	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1301002.png	13013100	1023
24	八咫	徊闪	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1311002.png	13013200	1024
25	洁塔薇	破晓	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1341002.png	13013300	1025
26	斜奏	裁律	逆元碎片	Assets/Product/Texture/Image/IconTools/IconTools1371002.png	13013400	1026
