Id	Type	UiType	Name	Icon	Text	PrefabPath	Duration	IsMask	MaskTarget	ClickKey	Params
	1	1	Li Yinqi	1	MovieTalk Table - Li Yinqi		0				
969927001	5	1	Test NPC		You need to look around for something you can use to fix this elevator.		3				
969927002	5	1	Test NPC		Nice! Now go over to the elevator, stick it in, and give it a little tap. That should do it.		4				
969927003	5	1			<color=#ffeeee>Good Morning</color>	Assets/Product/Ui/UiFightPrefab/UiFightMovieTalkNew/PanelFightMovieFreeV401.prefab	3				
969927004	1	1	Karenina		Kallo! Welcome to Karen's Bubble Tea Shop! Hope you're having a wonderful day! The usual?		0				{6: '1'}
969927005	1	1	Karenina		Kallo! W-w-welcome to Ka-Karen's Bubble Tea Sh-shop! H-hope you're having a w-w-wonderful day! Th-th-the u-usual?		0				{6: '1'}
969927006	1	1	Karenina		Here's your bubble tea! Enjoy!		0				{6: '1'}
969927007	1	1	Karenina		Here's y-y-your bubble tea! E-e-enjoy!		0				{6: '1'}
969927008	1	1	Mr. White		Hello, nice to meet you!		0				{6: '1'}
969927009	3	1	Teddy		Yawn... Work, work... Why do people even bother with jobs?		4				
969927010	3	1	Teddy		Yawn... Another day of work... Hm?		9				
969927011	3	1	Teddy		You think I'm showing up to work by choice?		0				
969927012	3	1	Teddy		Something's... not quite right here.		3				
969927013	3	1	Teddy		Are you spying on me, Moineau?		3				
969927014	3	1	Teddy		Was this here before?		3				
969927015	3	1	Teddy		What is all this...? Is my visual module glitching out?		0				
969927016	1	1	Teddy		Moore, something's wrong here!		0				
969927017	1	1	Teddy		Elysium... has always... been this way.		0				
969927018	3	1	Teddy		Elysium... a paradise, huh? What a joke. It's just an absurd dream.		15				
969927019	3	1	Teddy		Good morning. Hmm... I know I'll see you again, but still, good afternoon, good evening, and good night.		15				
969927020	1	1	Moore		Morning, Christina.		0				
969927021	5	1			<color=#ffeeee>Go to Work</color>	Assets/Product/Ui/UiFightPrefab/UiFightMovieTalkNew/PanelFightMovieFreeV401.prefab	3				
969927022	5	1			<color=#ffeeee>Go to work?</color>	Assets/Product/Ui/UiFightPrefab/UiFightMovieTalkNew/PanelFightMovieFreeV401.prefab	3				
969927023	5	1			<color=#ffeeee>Don't &go to work^?</color>	Assets/Product/Ui/UiFightPrefab/UiFightMovieTalkNew/PanelFightMovieFreeV401.prefab	3				
969927024	5	1			<color=#ffeeee>\xEF\xBF\xBD</color>	Assets/Product/Ui/UiFightPrefab/UiFightMovieTalkNew/PanelFightMovieFreeV401.prefab	3				
969927025	5	1			<color=#ffeeee>Night and Rose</color>	Assets/Product/Ui/UiFightPrefab/UiFightMovieTalkNew/PanelFightMovieFreeV401.prefab	3				
969927026	5	1			<color=#ffeeee>Fate of the Hacker</color>	Assets/Product/Ui/UiFightPrefab/UiFightMovieTalkNew/PanelFightMovieFreeV401.prefab	3				
969927027	3	1	Teddy		Something's off here. Can you see these letters? Moineau?		8				
969927028	3	1	Mowano		Huh? What are you talking about? Didn't get enough sleep?		6				
969927029	3	1	Teddy		I'm leaving.		5				
969927030	3	1			Wake up!		1.5				
969927031	3	1			MOORE!		1.5				
969927032	3	1			IS ALREADY!		1.5				
969927033	3	1			DEAD!		1.5				
969927034	3	1	The Pseudo-Unwinged		Ah, Christina, I was wondering where to find you. ...What happened to your frame?		3				
969927035	3	1	The Pseudo-Unwinged		I'll tear you apart along with this fake sky!		3				
969927036	3	1	The Pseudo-Unwinged		The wind does not falter... I shall return...		3				
969927037	3	1	The Pseudo-Unwinged		You should not have opposed me. Now, repent for your folly!		3				
969927038	3	1	The Pseudo-Unwinged		Now, repent for your folly.		3				
969927039	3	1	The Pseudo-Unwinged		I saw through you Normans long ago... Hypocrites and liars! Daring to chase after a ghost!		3				
969927040	3	1	The Pseudo-Unwinged		Let me witness it... your so-called resolve!		3				
969927041	3	1	The Pseudo-Unwinged		You know, I met your father once. Heh, what a spineless coward.		3				
969927042	3	1	The Pseudo-Unwinged		You cannot possibly imagine... the future I have foreseen!		3				
969927043	3	1	The Pseudo-Unwinged		Your self-righteous display of justice... It sickens me.		3				
969927044	3	1	The Pseudo-Unwinged		Now I see what you've become... I will never accept this!		3				
969927045	3	1	The Pseudo-Unwinged		I have become a green-eyed demon, only to drag you all down to hell!		3				
