Id	Type	UiType	Name	Icon	Text	PrefabPath	Duration	IsMask	MaskTarget	ClickKey	Params
	1	1	曾海波	1	MovieTalk表-曾海波		0				
1	3	1	Placeholder		这是一句占位台词		4				
280101	1	1	Lee	1011001	This is the mission site.		0				
280102	1	1	Lee	1011001	Punishing concentration nearby is quite high. Let's proceed carefully.		0				
280103	3	1	Lee		I knew there'd be an ambush.		3				
280104	3	1	Lee		Strange, the mechanoids are attacking each other?		2.5				
280105	3	1	Lee		Looks like we need to investigate the downed mechanoid.		2.5				
280106	1	1	Lee	1011001	Mechanoid data collection complete, preparing to return.		0				
280401	3	1	Placeholder		这是一句占位台词		2.5				
13020901	3	1	Rosetta		I'm... I'm fine, 【kuroname】. I just need a moment to rest.		8				
13020902	3	1	Commandant		Your wounds haven't worsened, Rosetta. But you're still seeing hallucinations, aren't you?		3				
13020903	3	1	Commandant		The damage to your M.I.N.D. might be worsening. We'll have to wait until we get back to Babylonia to repair it.		3				
13020904	3	1	Rosetta		Don't worry, they're just scratches. They won't get in the way of our evacuation plan.		9				
13020905	3	1	Rosetta		The blizzard hasn't reached its worst yet. Come sit with me for a bit, 【kuroname】.		9				
13020906	3	1	Commandant		Rosetta, let's go over the evacuation plan one more time.		3				
13020907	3	1	Rosetta		We'll use the blizzard to cover us, outsmart the enemy, and complete the evacuation.		7				
13020908	3	1	Rosetta		That's a bold plan, 【kuroname】... but I'm on board.		6				
13020909	3	1	Commandant		The blizzard isn't fully on our side. We need to prepare for the worst-case scenario—getting separated.		3				
13020910	3	1	Rosetta		If we get separated... don't try to find me. If you run into enemy patrols in the blizzard...		11				
13020911	3	1	Rosetta		It's too risky... We need to head to the evacuation point separately. 【kuroname】, I know we'll meet there.		10				
13020912	3	1	Commandant		Let's double-check the comms. If we get separated, at least we'll be able to stay in touch. Rosetta, can you hear me clearly?		3				
13020913	3	1	Rosetta		It's very clear, and the connection's stable. It's like you're speaking right next to me, 【kuroname】.		8				
13020914	3	1	Commandant		We've still got some time before we leave. Rosetta, get some rest and conserve your energy.		3				
13020915	3	1	Rosetta		Yeah, you should rest too, 【kuroname】.		6				
13020916	3	1	Rosetta		【kuroname】... come closer... the blizzard is so fierce... please hold me tight...		16				
13020917	3	1	Rosetta		【kuroname】... so warm...		10				
13020918	3	1	Rosetta		【kuroname】, I think I just had a dream...		11				
13020919	3	1	Rosetta		I'm sorry, 【kuroname】, what time is it now?		6				
13020920	3	1	Commandant		Have you rested enough? The blizzard's picking up. It's the perfect time for us to head out.		5				
13020921	3	1	Commandant		(Looks like Rosetta's injury is slowing her down. Gotta finish the evacuation quickly.)		3				
13020922	3	1	Commandant		Come on, lean on me.		3				
13020923	3	1	Rosetta		【kuroname】... thank you.		5				
13020924	3	1	Rosetta		If only... my thrusters hadn't been damaged...		7				
13020925	3	1	Commandant		It's okay. We made it this far without the thrusters, didn't we?		3				
13020926	3	1	Commandant		It's because we've been supporting each other that we've made it this far, right, Rosetta?		3				
13020927	3	1	Rosetta		But... the blizzard's getting worse, and we've barely covered a quarter of our route...		12				
13020928	3	1	Rosetta		This won't work. 【kuroname】, you need to go on ahead... I'll... I'll catch up with you later.		16				
13020929	3	1	Commandant		What are you talking about? We're going back to Babylonia together. Just hang on a little longer, Rosetta.		3				
13020930	3	1	Commandant		This is the final stretch. The evacuation point is just ahead.		3				
13020931	3	1	Rosetta		Alright... I'll hang on. I'll make it to the evacuation point with you, 【kuroname】.		14				
13020932	3	1	Mechanoid A		Footprints? Humans can't move fast in this blizzard. They're probably not far ahead.		10				
13020933	3	1	Rosetta		Damn it, running into pursuers now... 【kuroname】, we...		8				
13020934	3	1	Commandant		They haven't spotted us yet. Let's find cover and hide.		3				
13020935	3	1	Commandant		This spot's well-hidden. We should be safe here.		3				
13020936	3	1	Rosetta		...【kuroname】, hurry and get in here.		7				
13020937	3	1	Commandant		Wait here and stay quiet. I'll check the enemy's movements.		4				
13020938	3	1	Mechanoid A		Footprints lead that way. Go search that area.		5				
13020939	3	1	Mechanoid B		In this blizzard? How could humans possibly be out here...		6				
13020940	3	1	Mechanoid B		Hm?		2				
13020941	3	1	Commandant		Feeling nervous? It's okay. Go ahead and put your hand here.		3				
13020942	3	1	Rosetta		...		9				
13020943	3	1	Commandant		They're gone. That was too close. Let's keep moving.		3				
13020944	3	1	Rosetta		【kuroname】, I'm feeling better now. I can walk on my own from here.		8				
13020945	3	1	Rosetta		Umm... my legs are numb from staying in that position...		10				
13020946	3	1	Commandant		The wind's still too strong. Rosetta, get behind me. I'll shield you.		4				
13020947	3	1	Commandant		Rosetta, you holding up okay? Want to take a break?		3				
13020948	3	1	Rosetta		I'm fine... 【kuroname】, I can keep going. Let's move forward.		9				
13020949	3	1	Commandant		Rosetta, feel that? The wind's letting up a bit.		5				
13020950	3	1	Commandant		We're halfway there. Just a bit longer, and we'll reach the evacuation point.		5				
13020951	3	1	Commandant		Rosetta, if you need to rest, just let me know.		5				
13020952	3	1	Commandant		Shh...! I think there are enemies ahead.		3				
13020953	3	1	Commandant		Hold up. I think there are enemies ahead.		3				
