Key	Values
NodeTypeName	['事件演绎', '幕间准备', '即兴排演', '战斗冲突', '剧幕高潮']
NodeTypeIcon	['Assets/Product/Texture/Image/UiTheatre/UiTheatreStageTypeIcon05.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreStageTypeIcon06.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreStageTypeIcon03.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreStageTypeIcon02.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreStageTypeIcon04.png']
NodeTypeDesc	['精彩的抉择，剧幕的转场', '启幕之时，玛格定会在这里派上用场', '被编排好的剧本，也有突发情况', '冲突一触即发，战胜敌人赢得战利品', '未来的交汇点，<color=#FF3F3F>流派能力被限制</color>']
DifficultyTitleIcon	['Assets/Product/Texture/Image/UiTheatre/UiTheatreIconDifficulty01.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreIconDifficulty02.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreIconDifficulty03.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreIconDifficulty04.png']
DifficultyButtonIcon	['Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty01.png', 'Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty02.png', 'Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty03.png', 'Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty04.png']
SpecialRewardIcon	['%s', 'Assets/Product/Texture/Image/IconTools/IconTheatre07.png', 'Assets/Product/Texture/Image/IconTools/IconTheatre04.png', 'Assets/Product/Texture/Image/IconTools/IconTheatre03.png']
SpecialRewardName	['%s', '辞本', '灵感', '华彩段']
EventNodeIcon	
SkillPosDesc	['职业技', '信号球', '必杀', '核心被动']
SkillQualityIcon	['Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffGuang1.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffGuang2.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffGuang3.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffGuang4.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffGuang5.png']
SkillLevelQualityIcon	['Assets/Product/Texture/Atlas/UiTheatre/UiTheatreBuffEquip1.png', 'Assets/Product/Texture/Atlas/UiTheatre/UiTheatreBuffEquip2.png', 'Assets/Product/Texture/Atlas/UiTheatre/UiTheatreBuffEquip3.png', 'Assets/Product/Texture/Atlas/UiTheatre/UiTheatreBuffEquip4.png', 'Assets/Product/Texture/Atlas/UiTheatre/UiTheatreBuffEquip5.png']
HelpKey	['TheTheatreFightGuide']
SpecialRewardDesc	['选择后可获得独特的流派技能，显著增强战斗力', '获得后，可提升全体试用角色的等级、评级、意识等级、武器等级', '可强化帷幕之后的各种加成', '提升各流派的熟练度，解锁更多技能及独特加成']
