Id	BtnChapterImagePath	CGTexturePath	CGDetail	PlayTips	ShowTipCD	ShowTipErrorHitTimes
1	Assets/Product/Texture/Atlas/UiNonogram/UiNonogramMainBtn01.png	Assets/Product/Texture/Image/UiNonogram/UiNonogramCG01.png	昼夜倾倒	根据侧边的数字提示，找出隐藏的印记，获得【燃夜烛芯Ⅰ】	3	3
2	Assets/Product/Texture/Atlas/UiNonogram/UiNonogramMainBtn02.png	Assets/Product/Texture/Image/UiNonogram/UiNonogramCG02.png	原野灼烧	根据侧边的数字提示，找出隐藏的印记，获得【燃夜烛芯Ⅱ】	3	3
3	Assets/Product/Texture/Atlas/UiNonogram/UiNonogramMainBtn03.png	Assets/Product/Texture/Image/UiNonogram/UiNonogramCG03.png	界域俯瞰	根据侧边的数字提示，找出隐藏的印记，获得【燃夜烛芯Ⅲ】	3	5
4	Assets/Product/Texture/Atlas/UiNonogram/UiNonogramMainBtn04.png	Assets/Product/Texture/Image/UiNonogram/UiNonogramCG04.png	编织命运	根据侧边的数字提示，找出隐藏的印记，获得【燃夜烛芯Ⅳ】	3	5
5	Assets/Product/Texture/Atlas/UiNonogram/UiNonogramMainBtn05.png	Assets/Product/Texture/Image/UiNonogram/UiNonogramCG05.png	秉火长明	根据侧边的数字提示，找出隐藏的印记，获得【燃夜烛芯Ⅴ】	3	5
6	Assets/Product/Texture/Atlas/UiNonogram/UiNonogramMainBtn06.png	Assets/Product/Texture/Image/UiNonogram/UiNonogramCG05.png	挑战	挑战极限，完成关卡不会获得额外奖励	3	5
7	Assets/Product/Texture/Atlas/UiNonogram/UiNonogramMainBtnBg.png	Assets/Product/Texture/Image/UiNonogram/UiNonogramCG06.png	困身	根据侧边的数字提示，找出隐藏的印记，获得【弥潮之泪Ⅰ】	3	3
8	Assets/Product/Texture/Atlas/UiNonogram/UiNonogramMainBtnBg.png	Assets/Product/Texture/Image/UiNonogram/UiNonogramCG07.png	沉忆	根据侧边的数字提示，找出隐藏的印记，获得【弥潮之泪Ⅱ】	3	3
9	Assets/Product/Texture/Atlas/UiNonogram/UiNonogramMainBtnBg.png	Assets/Product/Texture/Image/UiNonogram/UiNonogramCG08.png	逐惘	根据侧边的数字提示，找出隐藏的印记，获得【弥潮之泪Ⅲ】	3	5
10	Assets/Product/Texture/Atlas/UiNonogram/UiNonogramMainBtnBg.png	Assets/Product/Texture/Image/UiNonogram/UiNonogramCG09.png	【*本CG为新玩法《神寂启示录》内CG》】	根据侧边的数字提示，找出隐藏的印记，获得【弥潮之泪Ⅳ】	3	5
11	Assets/Product/Texture/Atlas/UiNonogram/UiNonogramMainBtnBg.png	Assets/Product/Texture/Image/UiNonogram/UiNonogramCG10.png	【*本CG为新玩法《神寂启示录》内CG》】	根据侧边的数字提示，找出隐藏的印记，获得【弥潮之泪Ⅴ】	3	5
12	Assets/Product/Texture/Atlas/UiNonogram/UiNonogramMainBtnBg.png	Assets/Product/Texture/Image/UiNonogram/UiNonogramCG10.png	挑战	挑战极限，完成关卡不会获得额外奖励	3	5
