Id	Text
1	构造体加入
3	升级
4	晋升
5	进化
6	技能升级
7	武器装备
8	编入队伍
9	设为队长
10	任务完成{0}
11	日常问候{0}
12	信赖度增加{0}
13	空闲{0}
14	链接时间过长{0}
15	链接接入{0}
16	长时未接入{0}
17	摇晃{0}
18	快速点击{0}
19	活跃度已满
20	战胜归来
21	队友归来
22	战斗{0}
23	必杀
24	受伤
25	危险警告
26	力尽
27	助战
28	QTE
29	战斗结束
30	信赖提升{0}
31	长时链接{0}
32	构造体加入（新）
33	升级（新）
34	晋升（新）
35	进化（新）
36	技能升级（新）
37	武器装备（新）
38	编入队伍（新）
39	设为队长（新）
40	战斗{0}（新）
41	受伤（新）
42	危险警告（新）
43	力尽（新）
44	助战（新）
45	QTE（新）
46	战斗结束（新）
47	战斗开始（新）
48	任务完成（新）
49	日常问候{0}（新）
50	信赖提升{0}（新）
51	空闲{0}（新）
52	长时链接{0}（新）
53	链接接入{0}（新）
54	长时未接入{0}（新）
55	摇晃{0}（新）
56	快速点击{0}（新）
57	活跃度已满（新）
58	必杀（新）
59	战斗开始
60	任务完成
61	必杀{0}
62	长时未接入
64	战斗开始{0}
65	战斗结束{0}
67	核心合击{0}
2	信赖度<color=#C14F38>{0}</color>级解锁
63	拥有涂装<color=#C14F38>拾梦白菀</color> 解锁
66	拥有涂装<color=#C14F38>赤樗椿</color> 解锁
68	拥有涂装<color=#C14F38>茕心溯愿</color> 解锁
69	拥有涂装<color=#C14F38>罪妄月华</color> 解锁
70	拥有涂装<color=#C14F38>拂晓长誓</color> 解锁
71	拥有涂装<color=#C14F38>夜诏终章</color> 解锁
72	拥有涂装<color=#C14F38>缘纺祈糸</color> 解锁
73	拥有涂装<color=#C14F38>旖夜咏奏</color> 解锁
