Id	CharacterId	ShapId	BaseDataTitle	BaseData	Cast	TeamIcon
1	1011002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['7月23日', '175cm', '63kg', 'AB型', '18岁']	['松冈祯丞', '夏侯落枫', '犬畏', 'Chris Hackney']	
2	1021001	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['6月15日', '165cm', '48kg', 'A型', '17岁']	['石川由依', '小N', '尾狐殿', 'Sura Siu']	
3	1031001	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['8月10日', '155cm', '43kg', 'O型', '16岁']	['伊藤美来', '多多', '闲踏梧桐', 'Brianna Knickerbocker']	
4	1041002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['11月21日', '172cm', '57kg', 'A型', '25岁']	['川澄绫子', '云鹤追', '神明凌', 'Skyler Davenport']	
5	1051001	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['不明', '145cm', '45kg', '不明', '不明']	['田中美海', '赵爽', '岚风蜂蜜绿茶', 'Melody Peng']	
6	1061002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['10月23日', '180cm', '72kg', 'B型', '19岁']	['福山润', 'DK', '阿戈伊奥', 'Patrick Gruia']	
7	1071002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['3月2日', '163cm', '42kg', 'B型', '16岁']	['户松遥', '花玲', '东东', 'Heather Gonzalez']	
8	1081002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['4月12日', '185cm', '76kg', 'O型', '26岁']	['细谷佳正', '森中人', '星罗', 'Daman Mills']	
9	1021002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['6月15日', '165cm', '48kg', 'A型', '17岁']	['石川由依', '小N', '尾狐殿', 'Sura Siu']	
10	1031002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['8月10日', '155cm', '43kg', 'O型', '16岁']	['伊藤美来', '多多', '闲踏梧桐', 'Brianna Knickerbocker']	
11	1071003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['3月2日', '163cm', '42kg', 'B型', '16岁']	['户松遥', '花玲', '东东', 'Heather Gonzalez']	
12	1031003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['8月10日', '155cm', '43kg', 'O型', '16岁']	['伊藤美来', '多多', '闲踏梧桐', 'Brianna Knickerbocker']	
13	1061003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['10月23日', '180cm', '72kg', 'B型', '19岁']	['福山润', 'DK', '阿戈伊奥', 'Patrick Gruia']	
14	1011003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['7月23日', '175cm', '63kg', 'AB型', '18岁']	['松冈祯丞', '夏侯落枫', '犬畏', 'Chris Hackney']	
15	1051003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['不明', '145cm', '45kg', '不明', '不明']	['田中美海', '赵爽', '岚风蜂蜜绿茶', 'Melody Peng']	
16	1021003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['6月15日', '165cm', '48kg', 'A型', '17岁']	['石川由依', '小N', '尾狐殿', 'Sura Siu']	
