Id	Condition	InitMagicId	MagicId	Icon	SkillCnt	SkillCd	Name	Des
1		1900072	1900080	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon01.png	3	20	Scan	Scans the surroundings and warns when there's a rat faction player.
2		1900073	1900081	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon02.png	2	5	Pointer	Picks a rat faction player who's not in the stealth status and generates a pointer to point at where the player is for a period of time.
3		1900074	1900082	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon03.png	5	5	Animal Trap	Generates an animal trap disguised as cheese. The trap will cancel the transformation of any rat faction player passing by and inflict Stun, while notifying the player who placed it. Up to 6 animal traps can be placed at the same time.
4		1900075	1900083	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon05.png	3	20	Mass Speedup	Increases all cats' movement speed for a certain duration.
5		1900076	1900084	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon08.png	2	5	Random Item	Upon casting the skill, the player will get a random rat faction exclusive item.
6		1900077	1900085	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon06.png	3	15	Teleport Hat	Upon casting the skill for the first time, generates a temporary magic hat underfoot. Casting the skill again when there's a magic hat will teleport the caster to where the hat is.
7				Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon07.png	2	5	Teleport Hat - Teleport	Teleport Hat Phase 2
8		1900127	1900133	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon16.png	3	10	Footprint Tracking	Reveals a rat's recent movement path for a certain duration.
9		1900129	1900134	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon19.png	3	25	Beast Mark	After equipping this skill, it automatically triggers when a rat moves within the carrier's field of view, marking their location for a certain duration.
10		1900131	1900135	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon17.png	3	20	Ink Bomb	Places an ink bomb at your current location. After the explosion, other players within a certain range around it will have their vision blocked by ink.
11		1900137	1900138	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon21.png	3	20	Shock	Intimidates rats within a certain range ahead, reversing their movement controls.
12		1900140	1900141	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon12.png	3	5	Stealth	
13			1900142	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon20.png	5	6	Banana Peel	Places a banana peel that affects all players. When stepped on, it causes the player to slide forward and prevents them from using other skills. If a mouse character steps on it, their transformation is canceled.
14			1900153	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon15.png	3	15	Illusion	Cancels the transformation and fires an illusion forward. The illusion continues moving and disappears when it collides with obstacles.
15			1900155	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon18.png	3	20	Shield	Deploys a protective shield for a short duration that can block one shot. If the shield takes damage while deployed, gain increased speed for a short duration.
16			1900169	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon04.png	3	20	See-Through	Reveals the locations of all cats for a short duration.
