Id	TitleContent	Background	Icon	Desc	IsProgress	EventType	Target	Params
1	Get Them All	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	"Catch all ""rats"" in one game as a ""cat""."		1	1	
2	Rat Killer	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	"Catch 10 ""rats"" as a ""cat"".\n(Current: %s)"	True	2	10	
3	Sharp Eyes	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	"Hit a ""rat"" in Stealth status once as a ""cat""."		3	1	
4	Rat MVP	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	"Last until the end without being eliminated in one game as a ""rat""."		4	1	
5	Cheers, Team!	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle01.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCup.png	Team up with friends and play 10 times\n(Current: %s)	True	5	10	
6	Warming Up	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle01.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCheese.png	Challenge any stage 5 times\n(Current: %s)	True	6	5	[104, 105]
7	Missing Person	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	Use Stealth Skill 10 times\n(Current: %s)	True	9	10	
8	X-Ray Vision	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	Use See-Through Skill 10 times\n(Current: %s)	True	10	10	
9	No Escape	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	"Use Scan Skill 10 times as a ""cat""\n(Current: %s)"	True	7	10	
10	Transformation	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	Use Transformation Skill 10 times\n(Current: %s)	True	8	10	
11	Get Them All	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	"Catch all ""rats"" in one game as a ""cat""."		1	1	
12	Rat Killer	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	"Catch 10 ""rats"" as a ""cat"".\n(Current: %s)"	True	2	10	
13	Sharp Eyes	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	"Hit a ""rat"" in Stealth status once as a ""cat""."		3	1	
14	Rat MVP	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	"Last until the end without being eliminated in one game as a ""rat""."		4	1	
15	Cheers, Team!	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle01.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCup.png	Team up with friends and play 10 times\n(Current: %s)	True	5	10	
16	Warming Up	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle01.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCheese.png	Challenge any stage 5 times\n(Current: %s)	True	6	5	[104, 105, 106]
17	No Escape	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	"Use Scan Skill 10 times as a ""cat""\n(Current: %s)"	True	7	10	
18	Eye of Perception	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	"Use Pointer Skill 10 times as a ""cat""\n(Current: %s)"	True	18	10	
19	Cat's Got Traps	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	"Use Animal Trap Skill 10 times as a ""cat""\n(Current: %s)"	True	12	10	
20	Transformation	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	"Use Transformation Skill 10 times as a ""rat""'\n(Current: %s)"	True	8	10	
21	Speedup Guy	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	"Use Mass Speedup Skill 10 times as a ""cat""\n(Current: %s)"	True	20	10	
22	Golden Legend	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	"Use Random Item Skill 10 times as a ""rat""\n(Current: %s)"	True	19	10	
23	Hat Trick	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	"Use Teleport Hat Skill 10 times as a ""rat""\n(Current: %s)"	True	21	10	
24	NO RESULTS FOUND.	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerGift.png	"Use Stealth Skill 10 times as a ""rat""\n(Current: %s)"	True	9	10	
25	Bomber	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerGift.png	"Use Stun Bomb 10 times as a ""rat""\n(Current: %s)"	True	14	10	
26	Cat Ninja	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerGift.png	"Use Hook 10 times as a ""cat""\n(Current: %s)"	True	16	10	
27	Lord Empty-Handed	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerGift.png	"Use Fishing Net 10 times as a ""cat""\n(Current: %s)"	True	17	10	
28	Get Them All	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	"Catch all ""rats"" in one game as a ""cat""."		1	1	
29	Rat Killer	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	"Catch 10 ""rats"" as a ""cat"".\n(Current: %s)"	True	2	10	
30	Sharp Eyes	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	"Hit a ""rat"" in Stealth status once as a ""cat""."		3	1	
31	Rat MVP	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	"Last until the end without being eliminated in one game as a ""rat""."		4	1	
32	Cheers, Team!	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle01.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCup.png	Team up with friends and play 10 times\n(Current: %s)	True	5	10	
33	Warming Up	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle01.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCheese.png	Challenge any stage 5 times\n(Current: %s)	True	6	5	[104, 105, 106, 107]
34	No Escape	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	"Use Scan Skill 10 times as a ""cat""\n(Current: %s)"	True	7	10	
