Role	Level	Layer	Animation	TotalFrame	TailLength	OffsetX	OffsetY	OffsetZ	Cos	Sin
Pet3ElecpandaoffMd010011			Born	40	0					
Pet3ElecpandaoffMd010011			Stand1	33	0					
Pet3ElecpandaoffMd010011			Stand2	33	0					
Pet3ElecpandaoffMd010011			Stand3	33	0					
Pet3ElecpandaoffMd010011			Death	33	0					
Pet3ElecpandaoffMd010011			Standchange	33	0					
Pet3ElecpandaoffMd010011			Run	11	0					
Pet3ElecpandaoffMd010011			Walk	11	0					
Pet3ElecpandaoffMd010011			Runb	33	0					
Pet3ElecpandaoffMd010011			Runl	33	0					
Pet3ElecpandaoffMd010011			Runr	33	0					
Pet3ElecpandaoffMd010011			Walkb	33	0					
Pet3ElecpandaoffMd010011			Walkl	33	0					
Pet3ElecpandaoffMd010011			Walkr	33	0					
Pet3ElecpandaoffMd010011			TurnLeft	11	0					
Pet3ElecpandaoffMd010011			TurnRight	11	0					
Pet3ElecpandaoffMd010011			Move1	33	0					
Pet3ElecpandaoffMd010011			Move2	33	0					
Pet3ElecpandaoffMd010011			Move3	33	0					
Pet3ElecpandaoffMd010011			RunStart	33	0					
Pet3ElecpandaoffMd010011			RunStartEnd01	33	0					
Pet3ElecpandaoffMd010011			Hit1	33	0					
Pet3ElecpandaoffMd010011			Hit2	33	0					
Pet3ElecpandaoffMd010011			Hit3	33	0					
Pet3ElecpandaoffMd010011			Hit4	33	0					
Pet3ElecpandaoffMd010011			Behitfly	33	0					
Pet3ElecpandaoffMd010011			Hoverhit	33	0					
Pet3ElecpandaoffMd010011			Falldown	33	0					
Pet3ElecpandaoffMd010011			Hitdown	33	0					
Pet3ElecpandaoffMd010011			Lieonfloor	33	0					
Pet3ElecpandaoffMd010011			Standup	33	0					
Pet3ElecpandaoffMd010011			Straight	33	0					
Pet3ElecpandaoffMd010011			Stun	33	0					
Pet3ElecpandaoffMd010011			StraightBefore	33	0					
Pet3ElecpandaoffMd010011			StraightAfter	33	0					
Pet3ElecpandaoffMd010011			Win	33	0					
Pet3ElecpandaoffMd010011			Win2	33	0					
Pet3ElecpandaoffMd010011			Stop	33	0					
Pet3ElecpandaoffMd010011			Fail	33	0					
Pet3ElecpandaoffMd010011			Save	33	0					
Pet3ElecpandaoffMd010011			Caught	33	0					
Pet3ElecpandaoffMd010011			RunStartEnd02	33	0					
Pet3ElecpandaoffMd010011			StopR	33	0					
Pet3ElecpandaoffMd010011			WalkStart	33	0					
Pet3ElecpandaoffMd010011			WalkStop	33	0					
Pet3ElecpandaoffMd010011			WalkStartEnd	33	0					
Pet3ElecpandaoffMd010011			LTurn90	33	0					
Pet3ElecpandaoffMd010011			LTurn180	33	0					
Pet3ElecpandaoffMd010011			RTurn90	33	0					
Pet3ElecpandaoffMd010011			RTurn180	33	0					
Pet3ElecpandaoffMd010011			Sprint	11	0					
Pet3ElecpandaoffMd010011			HitLB	11	0					
Pet3ElecpandaoffMd010011			Attack01	6	0.016667	[0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0]
Pet3ElecpandaoffMd010011			Attack02	8	0.016667	[0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0]
Pet3ElecpandaoffMd010011			Attack41	84	0.016667	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Pet3ElecpandaoffMd010011			Attack43	20	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Pet3ElecpandaoffMd010011			Attack51	41	0.033333	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
