Role	Level	Layer	Animation	TotalFrame	TailLength	OffsetX	OffsetY	OffsetZ	Cos	Sin
Q4ShenweiMd010011			Born	86	0					
Q4ShenweiMd010011			Stand1	40	0					
Q4ShenweiMd010011			Stand2	40	0					
Q4ShenweiMd010011			Stand3	40	0					
Q4ShenweiMd010011			Death	40	0					
Q4ShenweiMd010011			Standchange	40	0					
Q4ShenweiMd010011			Run	40	0					
Q4ShenweiMd010011			Walk	40	0					
Q4ShenweiMd010011			Runb	40	0					
Q4ShenweiMd010011			Runl	40	0					
Q4ShenweiMd010011			Runr	40	0					
Q4ShenweiMd010011			Walkb	40	0					
Q4ShenweiMd010011			Walkl	40	0					
Q4ShenweiMd010011			Walkr	40	0					
Q4ShenweiMd010011			TurnLeft	40	0					
Q4ShenweiMd010011			TurnRight	40	0					
Q4ShenweiMd010011			Move1	40	0					
Q4ShenweiMd010011			Move2	40	0					
Q4ShenweiMd010011			Move3	40	0					
Q4ShenweiMd010011			RunStart	40	0					
Q4ShenweiMd010011			RunStartEnd01	40	0					
Q4ShenweiMd010011			Hit1	40	0					
Q4ShenweiMd010011			Hit2	40	0					
Q4ShenweiMd010011			Hit3	40	0					
Q4ShenweiMd010011			Hit4	40	0					
Q4ShenweiMd010011			Behitfly	40	0					
Q4ShenweiMd010011			Hoverhit	40	0					
Q4ShenweiMd010011			Falldown	40	0					
Q4ShenweiMd010011			Hitdown	40	0					
Q4ShenweiMd010011			Lieonfloor	40	0					
Q4ShenweiMd010011			Standup	40	0					
Q4ShenweiMd010011			Straight	40	0					
Q4ShenweiMd010011			Stun	40	0					
Q4ShenweiMd010011			StraightBefore	40	0					
Q4ShenweiMd010011			StraightAfter	40	0					
Q4ShenweiMd010011			Win	58	0					
Q4ShenweiMd010011			Win2	40	0					
Q4ShenweiMd010011			Stop	40	0					
Q4ShenweiMd010011			Fail	40	0					
Q4ShenweiMd010011			Save	40	0					
Q4ShenweiMd010011			Caught	40	0					
Q4ShenweiMd010011			RunStartEnd02	40	0					
Q4ShenweiMd010011			StopR	40	0					
Q4ShenweiMd010011			WalkStart	40	0					
Q4ShenweiMd010011			WalkStop	40	0					
Q4ShenweiMd010011			WalkStartEnd	40	0					
Q4ShenweiMd010011			LTurn90	40	0					
Q4ShenweiMd010011			LTurn180	40	0					
Q4ShenweiMd010011			RTurn90	40	0					
Q4ShenweiMd010011			RTurn180	40	0					
Q4ShenweiMd010011			Attack04	31	0					
Q4ShenweiMd010011			Attack06	107	0					
Q4ShenweiMd010011			Attack07	24	0					
Q4ShenweiMd010011			Attack08	34	0					
Q4ShenweiMd010011			Attack09	31	0					
Q4ShenweiMd010011			Attack10	38	0					
Q4ShenweiMd010011			Attack11	18	0					
Q4ShenweiMd010011			Attack12	31	0					
Q4ShenweiMd010011			Attack13	20	0					
Q4ShenweiMd010011			Attack21	57	0					
Q4ShenweiMd010011			Attack22	15	0					
Q4ShenweiMd010011			Attack23	38	0					
Q4ShenweiMd010011			Attack31	18	0					
Q4ShenweiMd010011			Attack32	10	0					
Q4ShenweiMd010011			Attack33	17	0					
Q4ShenweiMd010011			Attack41	78	0					
Q4ShenweiMd010011			Attack54	40	0					
Q4ShenweiMd010011			Attack55	53	0					
