Id	SkipName	Name	ConditionId	FinishConditionId	Params
1	FocusMap				[400, 4001, 591, 1345]
2	ActivityMain				[1, 555, 169, 1174]
11	FocusMapPin				[400, 4001, 100010]
12	FocusMapPin				[400, 4001, 100006]
13	FocusMapPin				[400, 4001, 100004]
14	FocusMapPin				[400, 4001, 100001]
15	FocusMapPin				[400, 4001, 100014]
21	FocusMapPin				[400, 5001, 1100004]
22	FocusMapPin				[400, 5001, 1100003]
23	FocusMapPin				[400, 5001, 1100005]
24	FocusMapPin				[400, 5001, 1100002]
1001	QuestMain				[1001]
1002	QuestMain				[2002]
1011	FocusMapPin				[400, 4001, 100002]
1012	QuestMain				[2003]
1021	FocusMapPin				[400, 4001, 100003]
1022	QuestMain				[2001]
1023	QuestMain				[2001]
1031	QuestMain				[2002]
1032	QuestMain				[2002]
1033	QuestMain				[2003]
1034	QuestMain				[2002]
1051	QuestInvite				[5]
1052	QuestMain				[2012]
1061	FocusMapPin				[400, 5001, 2000001]
1062	QuestInvite	完成「邀约任务」的任意结局		50002011	[5]
1063	QuestInvite	完成「邀约任务」的任意结局		50002012	[5]
1071	QuestMain				[2011, 2013, 2014]
1081	FocusMapPin				[400, 5001, 2000001]
1091	QuestEnvironmentPopup				[0]
1101	QuestMain				[1002]
20001	FocusMapPin				[400, 4001, 100010]
20002	FocusMapPin				[400, 4001, 100010]
20003	FocusMapPin				[400, 4001, 100010]
20004	FocusMapPin				[400, 4001, 100010]
20005	FocusMapPin				[400, 4001, 100010]
20006	FocusMapPin				[400, 4001, 100010]
20007	FocusMapPin				[400, 4001, 100010]
20008	FocusMapPin				[400, 4001, 100010]
20009	FocusMapPin				[400, 4001, 100010]
20010	FocusMapPin				[400, 4001, 100010]
20011	FocusMapPin				[400, 4001, 100010]
20012	FocusMapPin				[400, 4001, 100010]
20013	FocusMapPin				[400, 4001, 100010]
20014	FocusMapPin				[400, 4001, 100010]
20015	FocusMapPin				[400, 4001, 100010]
20016	FocusMapPin				[400, 4001, 100010]
20017	FocusMapPin				[400, 4001, 100010]
20018	FocusMapPin				[400, 4001, 100010]
20019	FocusMapPin				[400, 4001, 100010]
20020	FocusMapPin				[400, 4001, 100010]
20021	FocusMapPin				[400, 4001, 100010]
20022	FocusMapPin				[400, 4001, 100010]
20023	FocusMapPin				[400, 4001, 100010]
20024	FocusMapPin				[400, 4001, 100010]
