Key	Desc	Values
SkipLimit	Minimum|Maximum	['1', '2']
SkipItemId	Auto Clear Ticket ID	['97075']
RewardLimit	Support Reward Limit	['2']
BackParam	Like Ratio	['0.8']
DailyBattleNum	Refresh Battle + Rescued Stages Count	['3']
DailyHelpNum	The amount of Distress Signals refreshed each time	['2']
RobotHeadPortraits	List of Portraits available for Robots	['9000001']
RobotHeadHeadFrames	List of Portrait Frames available for Robots	['9090008']
RefreshNum	Distress Signal Refresh Count	['3']
RaceFlag	Collection Mark	['4', '5']
RaceRateAddByManualPass	Manual completion increases the probability of rare mark random groups.	['1000']
RaceRateAddByPhysicalCost	For every {参数1} Stamina consumed, increases the drop rate of {参数2} in the corresponding {参数3} mark drop group (in basis points).	['30', '200', '5']
AuctionCoin	Auction House Token	['10']
ItemRoomLimit	Collection Room Limit	['1000000']
AuctionRefreshFactor	拍卖行数量刷新系数(万分比)	['5000']
PriceFreshMinNum	价格刷新个数范围(左闭区间)	['5']
PriceFreshMaxNum	价格刷新个数范围(右闭区间)	['10']
PutOnNewItemFreshMin	新上架刷新时间范围(左闭区间)	['300']
PutOnNewItemFreshMax	新上架刷新时间范围(右闭区间)	['600']
SupplementItemFreshMin	补货刷新时间范围(左闭区间)	['300']
SupplementItemFreshMax	补货刷新时间范围(右闭区间)	['600']
PriceFreshMin	价格刷新时间范围(左闭区间)	['300']
PriceFreshMax	价格刷新时间范围(右闭区间)	['600']
MaxAutoSellTime	最大出售时间(秒)	['86400']
AuctionSellRate	出售手续费万分比，配置1000则为10%	['500']
