Id	OrderId	RobotId	Name	Icon	HeadIcon	Lihui	UnlockBlockId	BuffId
1	1	172344	Teddy: Spectre	Assets/Product/Texture/Image/Role/RoleHeadR3Buouxiong1.png	Assets/Product/Texture/Image/Role/RoleHeadR3Buouxiong2Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR3BuouxiongNormal01.png	2	401
2	2	172342	Wanshi: Lucid Dreamer	Assets/Product/Texture/Image/RolePlayer/RoleHeadR3Wanshi1.png	Assets/Product/Texture/Image/Role/RoleHeadR3Wanshi2Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR3WanshiNormal01.png	5	402
3	3	172343	Qu: Shukra	Assets/Product/Texture/Image/RolePlayer/RoleHeadR3Qu1.png	Assets/Product/Texture/Image/Role/RoleHeadR3Qu2Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR3QuNormal01.png	8	403
4	4	172330	Liv: Limpidity	Assets/Product/Texture/Image/RolePlayer/RoleHeadR5Lifu1.png	Assets/Product/Texture/Image/Role/RoleHeadR4LifuQ.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR5LifuNormal01.png	11	404
5	5	172331	No. 21: Feral	Assets/Product/Texture/Image/RolePlayer/RoleHeadR3Twentyone1.png	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone2Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR3TwentyoneNormal01.png	12	405
6	6	172332	Nanami: Startrail	Assets/Product/Texture/Image/RolePlayer/RoleHeadR6Yongyechao1.png	Assets/Product/Texture/Image/Role/RoleHeadR6Yongyechao1Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR6YongyechaoNormal01.png	16	406
7	7	172336	Vera: Geiravor	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Weila1.png	Assets/Product/Texture/Image/Role/RoleHeadR4Weila1Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR4WeilaNormal01.png	19	407
8	8	172338	Watanabe: Epitaph	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Dubian1.png	Assets/Product/Texture/Image/Role/RoleHeadR4Dubian2Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR4DubianNormal01.png	21	408
9	9	172337	Lucia: Pyroath	Assets/Product/Texture/Image/RolePlayer/RoleHeadR6Luxiya1.png	Assets/Product/Texture/Image/Role/RoleHeadR6Luxiya1Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR6LuxiyaNormal01.png	23	409
10	10	172340	Lilith: Daemonissa	Assets/Product/Texture/Image/RolePlayer/RoleHeadR3Lilith1.png	Assets/Product/Texture/Image/Role/RoleHeadR3Lilith1Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR3LilithNormal01.png	26	410
11	11	172341	Karenina: Scire	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Kalienina1.png	Assets/Product/Texture/Image/Role/RoleHeadR4Kalienina3Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR4KalieninaNormal02.png	30	411
12	12	172339	Bianca: Crepuscule	Assets/Product/Texture/Image/RolePlayer/RoleHeadR5Bianka1.png	Assets/Product/Texture/Image/Role/RoleHeadR5Bianka1Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR5BiankaNormal01.png	33	412
13	13	172333	Selena: Pianissimo	Assets/Product/Texture/Image/RolePlayer/RoleHeadR5Sailinna1.png	Assets/Product/Texture/Image/Role/RoleHeadR5Sailinna1Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR5SailinnaNormal01.png	36	413
14	14	172334	Veronica: Aegis	Assets/Product/Texture/Image/RolePlayer/RoleHeadR3Weiluonika1.png	Assets/Product/Texture/Image/Role/RoleHeadR3Weiluonika1Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR3WeiluonikaNormal01.png	40	414
15	15	172335	Hanying: Solacetune	Assets/Product/Texture/Image/RolePlayer/RoleHeadR3Hanying1.png	Assets/Product/Texture/Image/Role/RoleHeadR3Hanying2Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR3HanyingNormal01.png	44	415
16	16	172346	Ishmael: Parhelion	Assets/Product/Texture/Image/RolePlayer/RoleHeadR3Cibeizhe1.png	Assets/Product/Texture/Image/Role/RoleHeadR3Cibeizhe1Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR3CibeizheNormal01.png	47	416
17	17	172345	Luna: Oblivion	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Luna1.png	Assets/Product/Texture/Image/Role/RoleHeadR4Luna1Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR4LunaNormal01.png	49	417
