Id	Name	NameEn	ChapterId	Type	ShowType	MovieId	OpenHour	PreBlockId	FightBasicPurification	FightFactor	CleanNeed	AutoGrow	StageId	PurificationExp	MailId	ShowRewardId	RewardId	ActionPoint	DetachActionPoint	DetachBasicPurification	DetachExtraPurification	DetachBasicRewardId	DetachExtraRewardId	WorldBossStartHour	WorldBossEndHour	RepeatChallengeActionPoint	DetachRepeatChallengeActionPoint	RepeatChallengeRewardId	DetachRepeatChallengeRewardId	LevelType	LevelDesc	SideBlockId	AuctionCionReward	DetachAuctionCionReward
1	Initial Block	GM1-0	1	1	1																													
2	Character Block	GM1-1	1	2	6			['1']	120	10	4125000		30061745		21023	67425	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Minion		3000	3000
3	Base Station Block	GM1-2	1	2	8			['1']	120	10	300000000		30061758			63836	63836	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Elite		8000	8000
4	Supply Block	GM1-3	1	2	5			['2']	120	10	300000000		30061784			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	Minigame: Parkour Dash		5000	5000
5	Character Block	GM1-4	1	2	6			['4']	120	10	300000000		30061689			67426	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	Minigame: Flying Kuroro		5000	5000
6	Strategic Block	GM1-5	1	2	2			['4']	120	10	300000000		30061759			63838	63838	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Elite		8000	8000
7	Supply Block	GM1-6	1	2	5			['5']	120	10	300000000		30061721			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	Minigame: Time-limited Survival		5000	5000
8	Character Block	GM1-7	1	2	6			['5']	120	10	300000000		30061753			67427	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Minion		3000	3000
9	Supply Block	GM1-8	1	2	5			['7']	120	10	300000000		30061760			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Elite		8000	8000
10	Supply Block	GM1-9	1	2	5			['8']	120	10	300000000		30061746			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Minion		3000	3000
11	Character Block	GM1-10	1	2	6			['9']	120	10	300000000		30061725			67428	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	Minigame: Arrow Shooting		5000	5000
12	Character Block	GM2-1	2	2	6			['56']	120	10	300000000		30061747			67429	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Minion		3000	3000
