Lv	AddRareItemRate	LvUpItems	LvUpItemCounts	RewardId	ShowAttrs	SkipNum	NeedCleanBlock
1	800	[101002]	[200]	67463	[0, 0, 1]	1	
2	1000	[101002]	[220]	67464	[5, 0, 1]	1	
3	1200	[101002, 102002]	[250, 100]	67463	[5, 5, 1]	1	4
4	1400	[101002, 102003]	[250, 110]	67463	[10, 5, 1]	1	
5	1600	[101002, 102002]	[250, 110]	67463	[10, 10, 2]	2	6
6	1800	[101002, 102003, 103002]	[300, 115, 1]	67463	[15, 10, 2]	2	
7	2000	[101002, 102002, 103002, 103006]	[300, 120, 1, 1]	67463	[15, 15, 2]	2	8
8	2200	[101002, 102003, 103003, 103007]	[350, 120, 2, 1]	67463	[20, 15, 2]	2	
9	2400	[101002, 102002, 103003, 103008]	[350, 120, 2, 2]	67463	[20, 20, 2]	2	10
10	2600	[101002, 102003, 103004, 103009]	[350, 120, 3, 2]	67465	[25, 20, 2]	2	
11	2800	[101002, 102002, 103004, 103010]	[380, 130, 3, 3]	67463	[25, 25, 4]	4	54
12	3000	[101002, 102003, 103005, 103011]	[450, 140, 4, 3]	67463	[30, 25, 4]	4	55
13	3200	[101002, 102002, 103006, 103012]	[500, 150, 4, 4]	67463	[30, 30, 4]	4	14
14	3400	[101002, 102003, 103007, 103013]	[600, 200, 5, 4]	67463	[35, 30, 4]	4	16
15	3600	[101002, 102002, 103008, 103014]	[700, 250, 5, 5]	67463	[35, 35, 8]	8	19
16	3800	[101002, 102003, 103009, 103015]	[750, 300, 5, 5]	67463	[40, 35, 8]	8	24
17	4000	[101002, 102002, 103010, 103016]	[900, 400, 5, 5]	67463	[40, 40, 8]	8	28
18	4200	[101002, 102003, 103011, 103017]	[1000, 600, 5, 5]	67463	[45, 40, 8]	8	35
19	4400	[101002, 102002, 103012, 103018]	[1000, 600, 5, 5]	67463	[45, 45, 8]	8	38
20	4600	[101002, 102003, 103013, 103019]	[1100, 650, 5, 5]	67463	[50, 45, 8]	8	44
21	4800	[101002, 102002, 103014, 103020]	[1200, 700, 5, 5]	67463	[50, 50, 8]	8	52
22	5000				[55, 50, 8]	8	53
