Id	GroupId	Priority	UnlockBlockId	UnlockBlockProgress	Author	Title	Content	StoryId	Background
1	1	1	3		Hunters' Guild	Wasteland Marketplace Opening Soon	Welcome, hunters, to the Wasteland. Here, you can use your skills to earn and trade for anything you want.\nBut remember, the Hunters' Guild has sacred rules that must be followed. To avoid unnecessary conflict, please stick to these three trade rules:\n(1) Items looted from the battlefield can only be traded once safely brought back to the Wasteland.\n(2) Every item has its own unique value. Set your price freely.\n(3) A trade is only valid if both sides agree to it.\nHunters, get ready and move out. Treasure and the goddess of luck are waiting for you.		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory01.png
2	1	2	7	100	Hunters' Guild	Trading Section Now Open	To help all hunters communicate, the Hunters' Guild has opened a message board for trading requests.\nWarning: No spam ads, pointless threads, or phishing links allowed. Breaking the rules will get your account permanently banned!\nSecond warning: To the Engineering Force hunter who just tried to hack the trading terminal, stop it! There are no hidden GM commands that boost rare drop rates. Seriously.		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory01.png
3	1	3	54	100	Hunter 1488	Help Me Get a Discount	Anyone here new to the [Group Buy] warehouse? Tap this link for me. If you buy this 9.9 special Crimson Sword, I'll give you 0.05 Black Cards cashback.\nReply: You really gonna use a 9.9 Crimson Sword? Do you have a death wish?\nOP: What's wrong with budget gear? It's not like I'm forcing you to tower camp with me.		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory03.png
4	1	4	56	100	Hunter 2855	Assemble, Tower Camping Squad!	Anyone up for tower camping at 8? Join me!\nReply: Careful recruiting in public chat, you'll get ambushed.\nReply: Who was it just now!! I was this close to the extraction point and someone threw a bomb!!! Show yourself, we're not done here!!!		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory04.png
5	2	1	12	100	Hunter 0089	This map is huge.	Question is, why doesn't the Hunters' Guild set up more extraction points?\nReply: What, you think transport trucks are free?\nReply: Wait, I've got an idea... what if we put up fake road signs and pretend they're extraction points?		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory05.png
6	2	2	17	100	Hunter 1500	AFK Player, Avoid at All Costs!!	"Warning: avoid Hunter ID 2050. He agreed to trade five Golden Bracelets for a painting called ""Celica's Smile."" After the deal, I realized it was just the cover of an ""Overlord Celica"" manga volume stuck in a frame! Total scam. The guild has to take action!\nReply: AA Merchant Support 002: Hello, we've logged your complaint. A rep will contact you shortly to deal with the offending hunter."		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory06.png
7	2	3	20	100	Hunter 3423	Did someone fall asleep during team fight?	Just did a free zone run, and someone from another squad joined, then fell asleep mid-fight. Their mic was still on. I heard everything!\nReply: Who was it? Gotta spread the word.\nReply: Spreading it now.\nReply: Was my mic really that bad?		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory07.png
8	2	4	24	100	Hunter 1376	Ran Into a Big Spender...	"A hunter from the Kowloong server just showed up and bought out my whole stock of Energy Tea.\nReply: I heard Kowloong gives every hunter their own personal support rep.\nReply: That sounds fake as hell lol\nReply: Huaxu, what's this ""personal support"" thing?"		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory08.png
9	2	5	57	50	Hunters' Guild	Attention all hunters!	Attention hunters trading in the Wasteland: According to the guild's dynamic monitoring system, the war zone boss's HP has dropped below 50%. That means the remaining rewards in the prize pool are going down too!\nIf you want the best loot, keep pushing and grab what you can before the boss is gone!\nNote: There's no HP regen mechanic in this event.		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory09.png
10	2	6	57	100	Hunter 7029	Next Move	We finally took down the first big war zone boss. Anyone wanna discuss how to deal with the next one?\n2nd Floor: Whatever comes, we handle it.\n3rd Floor: I'll sneak around from behind and flank.\n4th Floor: Anyone down to make a fixed team? DM me, ID 3378XXXX		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory02.png
11	3	1	26	100	Hunter 2788	There's one badass medic.	"I just happened to get an Attacker weapon and let her borrow it. She said something like ""I don't want to hold everyone back,"" then cleared the whole war zone by herself...\nReply: Can we get her ID, please?\nReply: Same here, I wanna know too."		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory01.png
12	3	2	31	100	Hunter 6784	Just Saw a Dragon	Wait, since when did the guild let us summon mechanical dragons? I just saw this badass armored dragon fly by, it was awesome.\nReply: I saw it too. Doesn't feel like a summon. Probably someone's mount.\nReply: That's Powered, Nanami's buddy!		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory04.png
13	3	3	34	100	Hunter 4655	Thank you, unknown hunter.	My transport truck just fell into a ditch and I thought that was it. Then some hunter walked by, gave it a random kick—it looked rough, but somehow the truck actually got pushed back up. Didn't catch who it was, just remember red hair. Looked pretty cool.\nReply: Are you talking about that red-haired Valkyrie? The urban legend from our server?		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory05.png
14	3	4	38	100	Hunter 2799	Someone's Giving Away Ingredients	Any hunters in the desert zone? A veteran's helping out newbies right now. Show up and you get a free starter food pack. Don't miss it.\nReply: Wait, how does a desert zone even grow cucumbers and tomatoes???		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory06.png
15	3	5	58	50	Hunter 4588	Already down to half health?	Not gonna lie, I'm still not done having fun...\nReply: I've already given up.\nReply: Don't be so down, the real fight's just getting started!\nReply: Did you read too many action novels or something? lol		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory07.png
16	3	6	58	100	Hunters' Guild	New War Zone Available Notice	To thank all hunters for your support, a brand-new war zone is now open, along with the brand-new point card payment syste...\n(Text cuts off suddenly. Looks like someone force-edited it.)\nAlright, I hacked in and fixed it. There's no point card system. You can all keep playing.		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory08.png
17	4	1	40	100	Hunter 6746	Did the Hunters' Guild Get Hacked?	I'm telling you, I definitely got an email about some point card payment thing. Then I refreshed, and it was gone. I know I didn't imagine it. That message was real!\nReply: Same here, I saw it too.\nReply: Me three.\nReply: Another war zone urban legend.		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory09.png
18	4	2	45	100	Hunter 6238	Where Did the Punishing Virus Come From?	I think I just ran into a ghost story. I was looting in the war zone like usual, then out of nowhere, my Punishing Virus detector started going off like crazy. But I'm in the Wasteland map. There shouldn't be any Punishing Virus!\nReply: Maybe an Ascendant snuck in for some fun, lol\nReply: Now that sounds like a real ghost story.\nReply: Hmm... watching this play out from a hunter's perspective is more fun than I expected. Before this round ends, I want to see what you're all willing to risk.		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory02.png
19	4	3	48	100	Hunter 5783	Urgent Sale, Clearing Inventory	"Event's almost over, need Black Cards ASAP, selling cheap. If you know the drill, hit up [Group Buy]. If you don't, ignore this.\nReply: That pricey? You trying to rip off newbies or what?\nReply: @AA Merchant Support 002, you just gonna watch this scalping happen?!\nReply: Hijacking the post to advertise our Engineering Force's custom ""Construction Hammer"". Good deal, no scams. Babylonia folks play fair."		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory06.png
20	4	4	51	100	Hunter 2457	Event Almost Over	The final war zone boss is about to spawn. Anyone got something to say?\nReply: Huh? How'd we end up as the last surviving squad?		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory01.png
21	4	5	53	30	Hunters' Guild	Aid Pack Available	Big news! The [Group Buy] branded special aid pack is now live in the guild shop. Not 998, just 9.9!\nThe war zone boss is down to 70% HP, and this pack gives a big power boost. If you want the grand prize, don't miss this. Tap the Group Buy link and order now!		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory01.png
22	4	6	53	70	Hunters' Guild	Final Reminder!	Hunters, the guild has detected the enemy in the war zone is down to 30% HP. If you don't want any regrets in your hunting career, now's the time to fight hard!\nAlso, the [Group Buy] sponsored special supply pack is still hot-selling in the guild shop. Grab it while you can.		Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStory01.png
