Id	CvId	Cvs	Timing	Text
131001201	131001	2		逻辑思考回路检查……无异常。
131001202	131001	2	3800	情感模拟模块运行正常。
131001203	131001	2	7500	新的发令者，您好
131001204	131001	2	10800	请下达您的指令。
131003201	131003	2		“战车”认为阶级是管理的基础
131003202	131003	2	4700	您对此又是何种看法呢？
131004201	131004	2		机体稳定度上升……
131004202	131004	2	3300	这就是人类所说的“成长”吗？
131005201	131005	2		战术性回路得到提升。
131005202	131005	2	3108	感谢您的馈赠。
131006201	131006	2		已加载新组件数据。
131006202	131006	2	3300	拟合性能：优。
131009201	131009	2		我喜欢的东西？
131009202	131009	2	3590	不，我没有所谓的“喜好”。
131010201	131010	2		关于机械体是否“活着”这个问题
131010202	131010	2	4700	您有怎样的看法？
131011201	131011	2		请稍等，我正在自检数据库。
131011202	131011	2	4250	检测完成度42%……
131011203	131011	2	9600	已完成。
131012201	131012	2		您想知道我在地球上所经历的事？
131012202	131012	2	5440	不，这信息并没有被禁止对您公开
131012203	131012	2	10000	我只是在汇总能够令您快速了解的资料
131012204	131012	2	14550	汇总完成，一共1.8TB的视频素材
131012205	131012	2	19070	您可以通过实时渲染查阅。
131013201	131013	2		所谓的“心”只是人类擅自给出的定义
131013202	131013	2	5540	血肉所构筑的思考和芯片所构筑的思考
131013203	131013	2	10570	本质的区别又在哪里？
131014201	131014	2		我在旅途中见过一些高度模拟情感的机械，他们被伪装成人类，也被告知自己是人类
131014202	131014	2	11540	他们就那样深信着自己的身份……
131014203	131014	2	15424	直到帕弥什的到来。
131015201	131015	2		“感知”是万物的本能
131015202	131015	2	3780	“感叹”与“欲望”却是人类的特权。
131015203	131015	2	9000	人类的行为动机相当复杂
131015204	131015	2	12460	而机械只是针对输入的情报执行相应输出。
131015205	131015	2	18700	我们看到的世界，和您看到的始终是相异的。
131016201	131016	2		曾有谁说，我拥有“惊奇之心”
131016202	131016	2	4810	它是人类自我发展的必要不充分条件之一。
131016203	131016	2	9900	如果我能够理解它的意义
131016204	131016	2	13140	我是否能够拥有些微的“喜好”呢？
131017201	131017	2		在人类众多技术专家中，我认为皮格马利翁是尤其优秀的一名。
131017202	131017	2	7600	他掌握的技术，竟能够给予他的造物生命，与他相伴一生。
131017203	131017	2	14200	这在诸多记录中尤为特别……
131017204	131017	2	18400	您说，这是虚构情报？
131018201	131018	2		您应该清楚，我能够模拟人类定义中的大部分人格。
131018202	131018	2	6438	您认知中所谓可爱、严肃、反叛等表现
131018203	131018	2	15690	我的数据库中都有收录。
131018204	131018	2	18900	但真正的“我”应该是什么样
131018205	131018	2	23000	您又是如何认为的？
131019201	131019	2		即使明知所见不同，您却依然愿意与我保持交流。
131019202	131019	2	6000	您的行为，可以类比为采用穷举法解决色盲悖论……
131019203	131019	2	12732	是的，这是一句赞扬。
131019204	131019	2	16634	非常感谢您。
131020201	131020	2		请问……
131020202	131020	2	2173	这里是否有动物皮毛的模拟数据？
131020203	131020	2	6467	我希望能多接触一点这类数据。
131020204	131020	2	11048	因为机械非常……
131020205	131020	2	13388	冰冷刚硬。
131020206	131020	2	15783	而动物的皮毛，刚好相反。
131021201	131021	2		指挥官，请看外面，那些数以京计的天体。
131021202	131021	2	7310	那么多天体中，唯独您身后那颗行星孕育了生命
131021203	131021	2	13000	人类是被概率垂青的物种
131021204	131021	2	17000	而我又诞生于更渺茫的概率中。
131021205	131021	2	21000	我们相遇，本身已是奇迹。
131022201	131022	2		我“想要”留在你身边。
131022202	131022	2	5970	是的，我的数据库中充满了这个想法。
131022203	131022	2	12130	但我无法探明，为什么我会如此希望把这句话对您说出来。
131022204	131022	2	19448	以及
131022205	131022	2	21570	为什么我会如此顾虑
131022206	131022	2	25130	你是如何看待这想法的？
131023201	131023	2		比起数据刻印的记录
131023202	131023	2	3328	我现在更想要你的话语。
131023203	131023	2	7658	关于你，我需要更多的资料……
131023204	131023	2	12275	不，我想知道更多
131023205	131023	2	16068	我想要听你诉说这些。
131026201	131026	2		记录完毕
131026202	131026	2	1966	关于您的资料
131026203	131026	2	3984	有什么需要补充的吗？
131027201	131027	2		提问
131027202	131027	2	1670	我该如何处理这个？
131028201	131028	2		提问……
131028202	131028	2	1972	您这些行为，究竟有如何的动机？
131028203	131028	2	6666	或者……
131028204	131028	2	8468	没有明确动机？
131030201	131030	2		人类的赠礼，包含了所谓“心意”
131030202	131030	2	5243	属于物质难以回报的抽象事物……
131030203	131030	2	9650	我不明白，我应当如何应对。
131031201	131031	2		根据记录，归属权的转移往往也意味着索取权的获得。
131031202	131031	2	6558	您可以向我在一定范围内索取回礼。
131032201	131032	2		或许
131032202	131032	2	1954	能够回报“心意”的，也只有同样的“心意”。
131032203	131032	2	7560	我在这方面依然缺少资料
131032204	131032	2	10728	可以请您给予一些指导吗？
131033201	131033	2		再次强调
131033202	131033	2	2110	归属权的转移往往也意味着索取权的获得……
131033203	131033	2	6945	提问，您究竟希望怎样的回礼？
131034201	131034	2		我是否愿意试试其他样式的帽子……？
131034202	131034	2	4714	我不曾考虑过这样的方案
131034203	131034	2	8150	但您提出了，我也可以尝试。
131035201	131035	2		情感逻辑紊乱，自检无效。
131035202	131035	2	6100	提问……
131035203	131035	2	7900	这种异样的感觉，人类会如何命名？
131037201	131037	2		您醒过来了。
131037202	131037	2	2680	刚才我记录了您睡眠期间的梦话
131037203	131037	2	6939	需要现在播放吗？
131038201	131038	2		指挥官在非良好的环境中进行入睡，必须得执行搬运工作。
131038202	131038	2	8490	按照说明手册，第一步应该把头部抬起，然后把手……
131038203	131038	2	16000	指挥官，为什么您突然结束睡眠……
131038204	131038	2	21000	为什么要逃跑？
131039201	131039	2		ZZZ。
131039202	131039	2	4064	嗯？
131039203	131039	2	6091	这是在模拟睡眠程序，以配合您的睡眠
131039204	131039	2	10682	资料来源于……一些漫画。
131040201	131040	2		快速眼动睡眠。
131040202	131040	2	3762	可以推测，指挥官正在做梦……
131040203	131040	2	9498	那会是怎样的梦？
131040204	131040	2	13730	你的梦里……会不会有我的存在？
131040205	131040	2	22200	为什么，我现在会如此地“好奇”呢？
131041201	131041	2		检测疲劳值超过阈值
131041202	131041	2	2888	建议立即执行休眠。
131042201	131042	2		您的工作，完全可以交付给其他人分担
131042202	131042	2	4610	我建议这么做。
131043201	131043	2		人类总会用“机器”形容长时间持续高强度重复工作的人
131043202	131043	2	6500	根据记录，这种形容往往暗含“失去自我”的警示
131043203	131043	2	12550	您期望的是这样的结果吗？
131044201	131044	2		根据记录，人类普遍认为在极度疲惫下，能够产生类似战后经济繁荣的高效率
131044202	131044	2	8968	但那只是人类在激素变化下，对自我评价过高造成的错觉……
131044203	131044	2	15193	总之，您需要休息。
131045201	131045	2		检测到指挥官脑内激素分泌超过异常值
131045202	131045	2	6600	建议立即执行休眠……
131045203	131045	2	9900	不，不对……
131045204	131045	2	13000	嗯……
131045205	131045	2	15900	请您
131045206	131045	2	17600	到这边来
131045207	131045	2	20100	该睡觉了。
131048201	131048	2		“欢迎您的到来”
131048202	131048	2	3668	……不对
131048203	131048	2	5527	仅仅播出指定台词似乎
131048204	131048	2	8704	不够“亲密”。
131048205	131048	2	12060	指挥官，可否请您重启走进来的程序？
131048206	131048	2	16777	下次我会尝试不同的台词。
131049201	131049	2		早上好。
131049202	131049	2	3015	为什么要使用大音量打招呼？
131049203	131049	2	6647	这是一个实验，预期效果是增加您的精神状态。
131049204	131049	2	12565	结果显示在置信水平0.99上是可信的。
131050201	131050	2		请稍等，指挥官。
131050202	131050	2	2783	每当您的脚步声接近时，我的运算程序都会将站在这里列为优先事项。
131050203	131050	2	11048	无论几次自检，结果都如此。
131050204	131050	2	15366	我现在需要一段时间的深度自检。
131051201	131051	2		根据统计推测
131051202	131051	2	2245	您今天回到这里的概率是27.86%
131051203	131051	2	7735	欢迎回来，指挥官。
131052201	131052	2		今天我在这里等你，明天依然。
131052202	131052	2	6300	这类重复性活动，本该保持一致性与准确性。
131052203	131052	2	12200	但我却正在尝试让它出现部分差错
131052204	131052	2	17400	让我们每次见面都不一样。
131052205	131052	2	22000	那么，今天的相遇
131052206	131052	2	26000	对您而言是否特别？
131053201	131053	2		在这里等你的过程中，我不断重复作为管理程序的记录。
131053202	131053	2	6726	那时
131053203	131053	2	9000	我常对某个未来时间点反复推测，无法释怀。
131053204	131053	2	16000	我明白这就是人类所说的“期待”
131053205	131053	2	22300	因为现在
131053206	131053	2	24700	我就有同样的想法。
131054201	131054	2		您……
131054202	131054	2	5900	您回来了。
131054203	131054	2	9500	您离开的时间超过了我的推测值2.718……
131054204	131054	2	16000	不，超过了更多。
131054205	131054	2	21000	为什么我会出现这样的推测失误
131054206	131054	2	25000	请告诉我……
131054207	131054	2	27000	请您告诉我。
131055201	131055	2		不必担心
131055202	131055	2	2236	只要倾斜角度在72°以内
131055203	131055	2	5036	我都能够保持平衡。
131056201	131056	2		紧急事态，对指挥官采取保护措施
131056202	131056	2	4513	……修正
131056203	131056	2	6168	这只是一场试运行。
131057201	131057	2		……
131057202	131057	2	3503	人类的行为模式中，最重要的是平等的利益交互。
131057203	131057	2	8892	您这么做，就说明也希望被这么做。
131057204	131057	2	13803	请稍等，我正在加载宇航员训练相关数据……
131057205	131057	2	19308	确认到指挥官逃离视线，停止加载。
131058201	131058	2		……我明白了，请您稍等。
131058202	131058	2	5500	请看，这就是机械舞。
131058203	131058	2	9200	因为只要是机械体跳的舞，就是机械舞
131058204	131058	2	15000	是的，这是一个冷笑话。
131058205	131058	2	18900	您笑了
131058206	131058	2	21000	这果然是您期望的吗？
131059201	131059	2		嗯……
131059202	131059	2	2261	如果，能更加毛茸茸一点……
131059203	131059	2	8060	不，那刚刚只是运算过程中偶然泄露的缓存语句
131059204	131059	2	14142	请忘记吧。
131060201	131060	2		我很欢迎触碰形态的交流
131060202	131060	2	3645	但为什么您会采取这样高频度短时间的触碰策略？
131060203	131060	2	9466	是因为……
131060204	131060	2	11228	我的机体表面温度过高吗？
131077201	131077	2		战术性回路启动
131077202	131077	2	2405	开始作战。
131078201	131078	2		指令完成
131078202	131078	2	1714	机体状态无异常。
131094201	131094	2		我至今仍不大明白您这么做的意义与目的。
131094202	131094	2	5818	但我已经学会了不去解析
131094203	131094	2	9134	而去“感受”。
131095201	131095	2		提问
131095202	131095	2	1668	……不
131095203	131095	2	3153	请告诉我
131095204	131095	2	5615	指挥官在我身上投入的这些礼物
131095205	131095	2	9212	我究竟该如何回报？
131096201	131096	2		与你相处的每一刻，都备份在我的记忆体中。
131096202	131096	2	7205	只要我的意识还保持运行
131096203	131096	2	10541	这份记忆便会永久镌刻在世界某处，不会被遗忘
131096204	131096	2	17549	我向你保证。
131097201	131097	2		时至今日，我已经不再深究您所求的“回礼”。
131097202	131097	2	6207	或许像这样一直驻留在您身边
131097203	131097	2	9521	就是我能够做到的
131097204	131097	2	11706	最好的“回礼”。
131101201	131101	2		同步率提升
131101202	131101	2	1876	攻击。
131108201	131108	2		机体损伤率超出界限……停止运行……
131108202	131108	2	5000	快逃……指挥官……
131001101	131001	1		逻辑思考回路检查……无异常。
