Id	Name	Composer	Cover	Bg	CueId	Priority	ConditionId
1	Gray Raven	G.K/Haloweak	Assets/Product/Texture/Image/CdPlayer/CdFace5.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace5.png	1	99	
2	Revival	T-nymph	Assets/Product/Texture/Image/CdPlayer/CdFace6.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace6.png	26	98	
3	Narwhal Pt.1	Haloweak	Assets/Product/Texture/Image/CdPlayer/CdFace1.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace1.png	10	97	
4	C.O.R.E. Pt.1	Haloweak	Assets/Product/Texture/Image/CdPlayer/CdFace2.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace2.png	12	96	
5	Dust Pt.1	GhostFinal	Assets/Product/Texture/Image/CdPlayer/CdFace3.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace3.png	15	95	
6	夤夜渡	Anti-General	Assets/Product/Texture/Image/CdPlayer/CdFace4.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace4.png	18	94	
7	华墟	Anti-General	Assets/Product/Texture/Image/CdPlayer/CdFace7.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace7.png	27	93	
8	Waterland	RabbitJ	Assets/Product/Texture/Image/CdPlayer/CdFace8.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace8.png	32	92	
9	Narwhal-Abysm	Moto	Assets/Product/Texture/Image/CdPlayer/CdFace9.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace9.png	33	91	
10	溯	Moto	Assets/Product/Texture/Image/CdPlayer/CdFace10.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace10.png	37	90	
11	Dis┬rient	Haloweak	Assets/Product/Texture/Image/CdPlayer/CdFace11.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace11.png	45	89	
12	Wraith Reborn	GhostFinal	Assets/Product/Texture/Image/CdPlayer/CdFace13.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace13.png	52	88	
13	Endless Trick	GhostFinal	Assets/Product/Texture/Image/CdPlayer/CdFace14.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace14.png	55	87	
14	Dancing tonight	制作：Vanguard Sound  作曲：Rabbit J  作词&歌手：夏铜子	Assets/Product/Texture/Image/CdPlayer/CdFace15.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace15.png	57	86	
15	Inscription Of Labyrinth	Haloweak	Assets/Product/Texture/Image/CdPlayer/CdFace16.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace16.png	60	85	
16	LAMIA	GhostFinal	Assets/Product/Texture/Image/CdPlayer/CdFace17.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace17.png	62	84	
17	Edenis	MEI	Assets/Product/Texture/Image/CdPlayer/CdFace19.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace19.png	65	83	
18	风的视线	作曲：GhostFinal  编曲：MEI ＆ GhostFinal  作词：Mira.Z\n演唱：朝霧坂子  演奏：LCC ＆ GhostFinal  制作：Vanguard Sound	Assets/Product/Texture/Image/CdPlayer/CdFace20.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace20.png	71	82	
19	盘旋	制作：丁培峰  作词：周存  演唱：多多poi\n编曲：丁培峰@哈魔音乐  乐团：布达佩斯艺术交响乐团	Assets/Product/Texture/Image/CdPlayer/CdFace21.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace21.png	80	81	
20	Sie liebten sich beide	作曲：LCC  编曲：LCC ＆ moto\n作词：〔德〕海涅（Heinrich Heine） 演唱：季韻翬	Assets/Product/Texture/Image/CdPlayer/CdFace22.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace22.png	83	80	
21	惦惦	企划人：蒲牢  音效：Talic  作曲：Xin\n制作：Vanguard Sound  画师：山葵柚	Assets/Product/Texture/Image/CdPlayer/CdFace24.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace24.png	100	79	
22	逆流	作曲：墨蓝酱油Polyblue\n作词＆flow：只猫  演唱：钟龙杰	Assets/Product/Texture/Image/CdPlayer/CdFace23.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace23.png	99	78	
23	NANAMI IKIMASU	作曲：Super.Yy酱 ＆ 墨蓝酱油Polyblue\n制作：Vanguard Sound ＆ Kuro Games	Assets/Product/Texture/Image/CdPlayer/CdFace25.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace25.png	124	77	
24	Revelation	作曲＆作词：GhostFinal\n歌手：Kinoko蘑菇	Assets/Product/Texture/Image/CdPlayer/CdFace28.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace28.png	144	76	
25	Last Resort	作曲：GhostFinal  歌手：Kinoko蘑菇	Assets/Product/Texture/Image/CdPlayer/CdFace29.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace29.png	149	75	
26	萤灯谣	作曲＆编曲：CoyDE	Assets/Product/Texture/Image/CdPlayer/CdFace33.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace33.png	152	74	
27	Exorcism	作曲：Polyblue	Assets/Product/Texture/Image/CdPlayer/CdFace37.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace37.png	170	73	
28	Shattered Doll	作曲：Tony	Assets/Product/Texture/Image/CdPlayer/CdFace47.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace47.png	179	72	
29	Under Dimension	作曲：CoyDe  歌手：Kinoko蘑菇	Assets/Product/Texture/Image/CdPlayer/CdFace49.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace49.png	182	71	
30	她的梦	作曲：理一  作词：山竹  歌手：Sawako碎花  音乐制作：TREBOR_TTTTT	Assets/Product/Texture/Image/CdPlayer/CdFace38.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace38.png	218	70	
31	DIM LIGHT(幽光)	作曲＆编曲：MeLo  作词：大九_LN  演唱：电鸟个灯泡	Assets/Product/Texture/Image/CdPlayer/CdFace50.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace50.png	217	69	
32	Infinite Gallery	作曲：GhostFinal  歌手：Kinoko蘑菇	Assets/Product/Texture/Image/CdPlayer/CdFace54.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace54.png	183	68	
33	For you I pray	作曲：Tony Yan	Assets/Product/Texture/Image/CdPlayer/CdFace55.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace55.png	230	67	775900
34	To Our Destiny	作曲：Tony Yan ＆ moto	Assets/Product/Texture/Image/CdPlayer/CdFace59.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace59.png	224	66	
35	碧落幽山寺	作曲：Tony Yan	Assets/Product/Texture/Image/CdPlayer/CdFace61.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace61.png	234	65	
36	Unknown Territory	作曲：GhostFinal	Assets/Product/Texture/Image/CdPlayer/CdFace63.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace63.png	249	64	
37	Crank!	作曲：Polyblue	Assets/Product/Texture/Image/CdPlayer/CdFace65.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace65.png	260	63	
38	Flame of Hope	作曲：Tony Yan & Ding Miao	Assets/Product/Texture/Image/CdPlayer/CdFace66.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace66.png	285	62	
39	Echoes from the Abyss	作曲：Melo&Miao	Assets/Product/Texture/Image/CdPlayer/CdFace74.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace74.png	351	61	
40	Passion Call	作曲：RabbitJ  作词：符酷  演唱：卡列尼娜（CV：花玲）	Assets/Product/Texture/Image/CdPlayer/CdFace75.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace75.png	286	60	
41	Evans Gambit	作曲：ポリ★ブルー  制作：战双帕弥什＆@Vanguard-Sound	Assets/Product/Texture/Image/CdPlayer/CdFace76.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace76.png	352	59	
42	Endless Path	作曲：GhostFinal、FLuoRiTe、Miao	Assets/Product/Texture/Image/CdPlayer/CdFace77.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace77.png	361	58	
43	「络勾陈」EP–《暮日战歌》	作曲：Tony Yan	Assets/Product/Texture/Image/CdPlayer/CdFace83.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace83.png	383	57	
