Id	Count
1310012	4
1310032	2
1310042	2
1310052	2
1310062	2
1310092	2
1310102	2
1310112	3
1310122	5
1310132	3
1310142	3
1310152	5
1310162	4
1310172	4
1310182	5
1310192	4
1310202	6
1310212	5
1310222	6
1310232	5
1310262	3
1310272	2
1310282	4
1310302	3
1310312	2
1310322	4
1310332	3
1310342	3
1310352	3
1310372	3
1310382	4
1310392	4
1310402	5
1310412	2
1310422	2
1310432	3
1310442	3
1310452	7
1310482	6
1310492	4
1310502	4
1310512	3
1310522	6
1310532	6
1310542	7
1310552	3
1310562	3
1310572	5
1310582	6
1310592	4
1310602	4
1310772	2
1310782	2
1310942	3
1310952	5
1310962	4
1310972	4
1311012	2
1311082	2
1310011	4
1310031	2
1310041	2
1310051	2
1310061	2
1310091	2
1310101	2
1310111	4
1310121	6
1310131	3
1310141	3
1310151	5
1310161	4
1310171	4
1310181	4
1310191	5
1310201	5
1310211	7
1310221	5
1310231	5
1310261	2
1310271	2
1310281	4
1310301	3
1310311	3
1310321	3
1310331	4
1310341	3
1310351	4
1310371	3
1310381	4
1310391	4
1310401	4
1310411	2
1310431	3
1310441	3
1310451	6
1310481	4
1310491	4
1310501	4
1310511	3
1310521	4
1310531	5
1310541	6
1310551	2
1310561	4
1310571	5
1310581	6
1310591	4
1310601	3
1310611	2
1310621	2
1310771	2
1310781	2
1310941	3
1310951	5
1310961	3
1310971	2
1311081	2
1311101	2
1310013	3
1310033	2
1310043	2
1310053	2
1310063	2
1310093	2
1310103	2
1310113	3
1310123	3
1310133	2
1310143	3
1310153	4
1310163	3
1310173	4
1310183	3
1310193	4
1310203	6
1310213	4
1310223	5
1310233	6
1310263	2
1310273	2
1310283	3
1310303	2
1310313	2
1310323	2
1310333	3
1310343	3
1310353	3
1310373	3
1310383	4
1310393	4
1310403	5
1310413	2
1310423	2
1310433	3
1310443	3
1310453	5
1310483	5
1310493	4
1310503	4
1310513	3
1310523	4
1310533	5
1310543	5
1310553	2
1310563	3
1310573	4
1310583	5
1310593	3
1310603	3
1310773	2
1310783	2
1310943	3
1310953	5
1310963	4
1310973	3
1311013	2
1311083	2
1311103	2
1300122	4
1300132	3
1300142	3
1300152	2
1300172	4
1300182	3
1300192	2
1300202	2
1300212	4
1300222	4
1300232	5
1300272	2
1300282	3
1300352	2
1300962	4
1300972	3
1300372	3
1300392	3
1300402	6
1300442	3
1300452	2
1300472	2
1300482	3
1300492	3
1300502	3
1300512	2
1300522	3
1300532	4
1300562	3
1300572	2
1300011	2
1300021	2
1300101	3
1300121	4
1300131	4
1300141	3
1300151	2
1300171	4
1300181	3
1300191	2
1300201	2
1300211	4
1300221	5
1300231	5
1300281	3
1300331	2
1300961	3
1300971	3
1300371	3
1300381	3
1300391	2
1300401	5
1300421	2
1300431	2
1300441	3
1300451	3
1300471	2
1300481	3
1300491	3
1300501	3
1300511	2
1300521	3
1300531	3
1300571	2
1300013	4
1300023	2
1300043	2
1300073	2
1300083	2
1300093	2
1300103	3
1300123	4
1300133	4
1300143	2
1300153	3
1300163	2
1300173	4
1300183	4
1300193	2
1300203	2
1300213	5
1300223	4
1300233	4
1300243	2
1300283	2
1300293	3
1300303	2
1300323	2
1300333	2
1300343	2
1300353	2
1300943	2
1300953	2
1300963	4
1300973	2
1300363	2
1300373	2
1300383	3
1300403	3
1300423	2
1300433	2
1300453	2
1300483	2
1300493	3
1300503	3
1300523	2
1300533	2
1300573	2
1290011	3
1290021	2
1290041	2
1290061	2
1290081	2
1290091	2
1290101	3
1290111	2
1290121	2
1290131	3
1290141	2
1290151	2
1290161	3
1290171	4
1290181	2
1290191	3
1290201	3
1290211	4
1290221	4
1290231	2
1290241	2
1290261	2
1290271	2
1290281	2
1290321	2
1290341	2
1290351	4
1290361	4
1290371	3
1290381	3
1290391	3
1290401	2
1290411	3
1290421	2
1290431	3
1290441	4
1290451	3
1290461	2
1290471	2
1290501	2
1290511	3
1290521	3
1290531	5
1290541	2
1290551	2
1290941	3
1290951	2
1290961	3
1290971	3
1290012	3
1290022	2
1290042	2
1290052	2
1290062	2
1290082	2
1290092	2
1290102	3
1290112	2
1290122	2
1290132	3
1290142	2
1290152	2
1290162	3
1290172	3
1290182	2
1290192	2
1290202	3
1290212	3
1290222	4
1290232	3
1290242	2
1290262	2
1290272	2
1290282	2
1290322	2
1290342	2
1290352	2
1290362	2
1290372	2
1290382	3
1290392	3
1290402	2
1290412	2
1290422	2
1290432	2
1290442	4
1290452	3
1290462	2
1290472	2
1290502	2
1290512	3
1290522	3
1290532	6
1290542	2
1290552	2
1290942	3
1290952	2
1290962	3
1290972	3
1290013	3
1290023	2
1290043	2
1290053	2
1290063	2
1290083	2
1290103	3
1290133	3
1290143	2
1290153	2
1290163	3
1290173	2
1290183	2
1290193	3
1290203	3
1290213	4
1290223	4
1290233	3
1290243	2
1290273	2
1290283	2
1290303	2
1290323	3
1290343	2
1290353	3
1290363	3
1290373	3
1290383	3
1290393	4
1290403	4
1290423	2
1290433	4
1290443	3
1290453	3
1290493	2
1290503	2
1290513	3
1290523	3
1290533	6
1290543	2
1290553	2
1290943	4
1290953	2
1290963	4
1290973	4
1260011	5
1260031	2
1260071	2
1260101	3
1260111	3
1260121	5
1260131	3
1260141	3
1260151	4
1260161	4
1260171	3
1260181	4
1260191	4
1260201	4
1260211	3
1260221	3
1260231	4
1260241	3
1260271	2
1260321	3
1260331	3
1260341	4
1260351	3
1260381	2
1260401	5
1260421	2
1260451	4
1260461	2
1260481	3
1260511	2
1260531	3
1260541	3
1260551	2
1260561	3
1260591	3
1260941	2
1260951	3
1260961	3
1260971	5
1260012	5
1260032	3
1260072	2
1260102	3
1260112	4
1260122	4
1260132	3
1260142	3
1260152	3
1260162	4
1260172	3
1260182	3
1260192	4
1260202	4
1260212	3
1260222	3
1260232	4
1260242	3
1260272	2
1260322	3
1260332	3
1260342	4
1260352	3
1260382	2
1260402	5
1260422	2
1260452	4
1260462	2
1260482	3
1260512	2
1260532	3
1260542	3
1260552	2
1260562	3
1260592	4
1260942	2
1260952	3
1260962	3
1260972	5
1260013	5
1260033	3
1260073	2
1260103	3
1260113	4
1260123	4
1260133	3
1260143	3
1260153	4
1260163	4
1260173	3
1260183	4
1260193	4
1260203	4
1260213	3
1260223	3
1260233	4
1260243	3
1260273	2
1260323	3
1260333	3
1260343	4
1260353	3
1260383	2
1260403	5
1260423	2
1260453	5
1260463	2
1260483	3
1260513	2
1260533	3
1260543	3
1260553	2
1260563	3
1260593	3
1260943	2
1260953	3
1260963	3
1260973	5
1320101	2
1320121	2
1320141	3
1320171	3
1320181	3
1320201	3
1320211	2
1320221	3
1320231	3
1320341	2
1320381	3
1320431	3
1320481	3
1320531	4
1320541	5
1320102	2
1320122	2
1320142	3
1320172	2
1320182	3
1320202	3
1320212	4
1320222	3
1320232	4
1320342	2
1320372	2
1320382	3
1320432	3
1320482	3
1320532	3
1320542	5
1320103	2
1320123	2
1320143	3
1320173	3
1320183	2
1320203	2
1320213	3
1320223	3
1320233	4
1320343	2
1320373	2
1320383	3
1320433	3
1320483	3
1320533	3
1320543	5
1280121	4
1280511	2
1280091	2
1280141	2
1280181	3
1280122	4
1280512	2
1280092	2
1280142	2
1280182	3
1280123	4
1280513	2
1280093	2
1280143	2
1280183	3
1280191	3
1280192	3
1280193	3
1280194	3
1270171	3
1270172	3
1270173	3
1270174	3
1270542	4
1270543	4
1270541	4
1270544	4
1270152	3
1270151	3
1270153	3
1270154	3
1270222	2
1270223	2
1270221	2
1270224	2
1270482	2
1270483	2
1270484	2
1270481	2
1270512	2
1270513	2
1270511	4
1270514	4
1270392	2
1270391	2
1270393	2
1270394	2
1250962	3
1250961	3
1250963	3
1250964	3
1240142	3
1240141	3
1240143	3
1240144	3
1240192	3
1240191	3
1240193	3
1240194	3
1230152	4
1230151	4
1230153	4
1230154	4
1230062	2
1230061	2
1230063	2
1230112	4
1230111	4
1230113	4
1230114	4
1230172	3
1230171	3
1230173	3
1230174	3
1230192	3
1230191	3
1230193	3
1230194	3
1230262	4
1230261	4
1230263	4
1230264	4
1230282	4
1230281	4
1230283	4
1230284	4
1230942	2
1230941	2
1230943	2
1230944	2
1230522	5
1230521	5
1230523	5
1230524	5
1210232	3
1210231	3
1210233	3
1210234	3
1200112	2
1200111	2
1200113	2
1200114	2
1200142	3
1200141	3
1200143	3
1200144	3
1330141	3
1330142	3
1330143	3
1330144	3
1330201	3
1330202	3
1330203	3
1330204	4
1330541	3
1330542	3
1330543	3
1330544	4
1330131	2
1330132	2
1330133	2
1330134	2
1330171	3
1330172	3
1330173	3
1330174	3
1330181	2
1330182	2
1330183	2
1330184	2
1330231	2
1330232	2
1330233	2
1330234	2
1330441	2
1330442	2
1330443	2
1330444	4
1330221	4
1330222	4
1330223	4
1330224	4
1160161	3
1160162	3
1160163	3
1160164	3
1160171	4
1160172	4
1160173	4
1160174	4
1340111	3
1340112	3
1340113	3
1340114	3
1340161	3
1340162	3
1340163	3
1340164	3
1340171	4
1340172	4
1340173	4
1340174	4
1340201	2
1340202	3
1340203	3
1340204	5
1340211	3
1340212	4
1340213	4
1340214	3
1340261	2
1340262	2
1340263	2
1340264	2
1340341	5
1340342	4
1340343	5
1340344	4
1340311	3
1340312	3
1340313	3
1340314	2
1340431	2
1340432	2
1340433	2
1340434	2
1340511	3
1340512	3
1340513	3
1340514	4
1340531	3
1340532	3
1340533	3
1340571	2
1340572	3
1340573	3
1340574	4
1340221	2
1340222	2
1340223	2
1340224	2
1340391	2
1340392	2
1340393	2
1340394	4
1340331	3
1340332	3
1340333	3
1340334	4
1270191	3
