Id	Name	Desc	Condition	StageType	StageId	TRPGRewardId	PrefabName	Icon	DialogIcon
10000	01决断高度	77.3%的常规引擎都被强行关闭，空中花园正在下坠。	[770400]		10130200	10000	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
13002	02既视风景	伪造的数据空间内一如往常，却暗藏着某种东西。	[100811]		10130171		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightSquare.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa01.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa01a.png
13003	03意外的矢弹	意外丛生，有善意的，也有恶意的；有奉命行事，也有自我发挥。	[100812]		10130172		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa02.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa02.png
11004	04虚伪的友人	虚伪归于虚伪。	[100813]		10130201		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
11005	05诱饵侧写	真理的所在止于追寻之后。	[100814]		10130202		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
11007	06脆弱的维系	人与人之间的维系和羁绊，到底是坚强还是脆弱？	[100815]		10130203	11007	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
13008	07打破僵局	终于，你们面前的迷局有了打破的希望。	[100816]		10130173		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa03.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa03.png
11009	08闭锁	一切信号在此戛然而止。	[100817]		10130204	11009	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
13011	09‘华胥’	不管‘它’为哪一方服务，你们都要让‘它’停下来。	[100818]		10130174		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangleBoss.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa04.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa04.png
13012	10S.S.D.D	空中花园的危机暂时解除。于是时过境迁，一切照旧。	[100819]		10130205	11012	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
20000	01强化逆元	看见太危险的东西，可别像好奇的猫一样冲上去碰啊	[100820]		10130206	20000	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa01.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
21001	02复原线索	看来在这个任务结束之前，我们会维持这样的视角了。	[100821]		10130207		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
21003	03危机四伏	感染体虚影，感染体本身，还有帕弥什增生物……	[100822]		10130208		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
23004	04赤色狂潮	汇聚了生与死的红潮静静地注视着四人，正如同此刻，四人注视着它。	[100823]		10130175		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightSquare.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa02.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa02a.png
21005	05旧日残影	看上去……这位指挥官死亡时间应该已超过一周以上了。	[100824]		10130209		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
21011	06吹笛人	他们仿佛被‘笛声’引诱，淹没在赤红色的海洋中。	[100825]		10130210	21001	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
23014	07异合生物	这些感染体看上去已经出现了生物化趋向，再叫它为感染体不太合适。	[100826]		10130176		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa03.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa03.png
21016	08掠夺与牺牲	为了活下去，只能在必须支付的代价中，选择了一个勉强能承受的事情。	[100827]		10130211		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
21017	09过去与未来	请不要恨我。	[100828]		10130212		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
21020	10血缘连结	我……也会变得和她一样吗？	[100829]		10130213	21011	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
