Id	Name	Description
11000	Health	Increases Base HP
12001	HP Buff	HP Bonus
11001	ATK	Increases Base ATK
11005	CRIT	CRIT chance when dealing damage
11007	CRIT DMG	CRIT DMG multiplier when dealing damage
11010	Shield Bonus	Shield Bonus
11014	DMG Bonus	DMG Bonus
11029	Skill DMG Increase	Regular Skill DMG Bonus
11030	Core DMG Bonus	Core Skill DMG Bonus
11031	Basic Attack DMG Increase	Basic Attack DMG Bonus
11032	Signature DMG Increase	Signature Move DMG Bonus
11067	DMG Reduction	Reduces DMG taken
11072	ATK Up	Increases DMG dealt.
11077	Max DMG	Increases character's max DMG.
11083	Healing Efficiency Buff	Healing Boost
11084	Imbalance Buff	Increases balance damage against bosses
11096	Aggro Focus	<color=#ffdd93>Increases</color> <color=#ffdd93>Aggro Multiplier</color> when dealing DMG.
13096	Aggro Concealment	<color=#ffdd93>Decreases</color> <color=#ffdd93>Aggro Multiplier</color> when dealing DMG.
21001	Starting Energy	Gains <color=#ffdd93>Signature Energy</color> upon entering battle.
21006	Follow-Up Skill DMG Increase	Follow-Up Skill DMG Bonus
21007	Chain DMG Increase	Hyperlink Co-Strike DMG Bonus
21008	Bloodburn Bonus	Lower <color=#ffdd93>remaining HP</color> grants a greater <color=#ffdd93>total DMG Bonus</color>.
21009	Healing Assault	<color=#ffdd93>Extra DMG Bonus</color> increases for 20s after <color=#ffdd93>healing</color> other players.
21010	Shield Slam Boost	Increases <color=#ffdd93>Extra DMG Bonus</color> while <color=#ffdd93>shielded</color> and for 3 seconds after <color=#ffdd93>the shield disappears</color>.
21011	Support DMG Reduction	<color=#ffdd93>DMG Reduction</color> increases while <color=#ffdd93>reviving other players</color>.
21012	CRIT DMG Buff	When ATK Amplification ≥50%, <color=#ffdd93>CRIT DMG</color> increases.
21013	Absolute Advantage	When HP ≥16000, <color=#ffdd93>CRIT DMG</color> increases.
21014	Wrath Strike	Deals more <color=#ffdd93>Extra DMG</color> against enemies in <color=#ffdd93>Wrath</color> state.
21015	Imbalance Specialist	Deals more <color=#ffdd93>Extra DMG</color> against enemies in <color=#ffdd93>Imbalanced</color> state.
21016	Miraculous Survival	Triggers <color=#ffdd93>Auto Revival</color> when dying. Can trigger again after <color=#ffdd93>cooldown</color> ends.
21017	Bloodburn Assault	Increases <color=#ffdd93>ATK Amplification</color> but reduces Max HP by 20%.
21018	Victory Pursuit	Higher <color=#ffdd93>remaining HP</color> grants a greater <color=#ffdd93>total DMG Bonus</color>.
31001	Thunder Brand (Unique)	[Crimson Weave]'s [Wildfire Slash], [Shadow Strike], and [Thunderous Bash] all gain a <color=#ffdd93>DMG bonus</color>. [Lucia: Crimson Weave]'s attacks have a chance to leave [Wounds] on enemies. Up to 5 [Wounds] can exist. When [Wildfire Slash] deals DMG, detonates all [Wounds] to call down <color=#ffdd93>lightning strikes that deal Extra DMG</color>.
31002	Ashen Memory (Unique)	[Crimson Weave]'s [swordwaves] and [Swordwave Attack] gain a <color=#ffdd93>DMG bonus</color>. When casting [Swordwave Attack], heals for 0.5% Max HP. When attacking targets with [Swordbreak Marks], deals additional Swordbreak DMG without consuming [Swordbreak Mark stacks]. This effect can trigger once every 0.5s.
31003	Chain Blaze (Unique)	When casting [Whirling Thrash], [Crimson Weave] gains interruption resistance. When [Whirling Thrash] deals DMG, gains a <color=#ffdd93>DMG bonus</color> and increases the <color=#ffdd93>max DMG</color>.
31004	Void Sheath (Unique)	When [Crimson Weave] casts [Iaido Slash β] while holding a movement button, triggers [Dash Iaido] and returns to the original casting position. When [Iaido Slash β] is cast, gains a <color=#ffdd93>DMG bonus</color>.
31005	Void Silence (Unique)	When [Crimson Weave] casts [Splashing Thunder], <color=#ffdd93>DMG bonus</color> and <color=#ffdd93>Extra DMG Reduction</color> gained are enhanced.
31006	Arc Scar (Unique)	When casting [Thunderous Bash], [Crimson] Weave leaves fissures on the ground. <color=#ffdd93>Fissures</color> deal DMG to targets within range once per second for 8s.
31007	Radiant Guard (Unique)	When [Startrail] performs a Block Counter, she gains increased <color=#ffdd93>Extra DMG Reduction</color>, and the Block Counter gains a <color=#ffdd93>DMG bonus</color>. When a Perfect Block is performed in [Sword & Shield] State and [Starcore Value] is full, press and hold Basic Attack to cast [Meteoric Doom].
31008	Stellar Focus (Unique)	While in [Shield & Axe State], [Nanami: Startrail] gains Interruption Resistance, <color=#ffdd93>Extra DMG Reduction</color>, and an increased <color=#ffdd93>Imbalance buff</color>. When enemies are Imbalanced, gains a <color=#ffdd93>DMG bonus</color> for 15s. If in <color=#ffdd93>[Mad Dissection] Form</color>, extends the duration of the bonus to 60s.
31009	Jet Boost (Unique)	When [Startrail] casts [Comet Burst], increases [Comet Burst]'s movement distance, and activates Block detection during the cast. Can be cast using the joystick.
31010	Cosmic Edge (Unique)	For 10s after [Startrail] casts [Aetherstrike] or [Prismatic Thrust], increases the efficiency of gaining [Starcore Value], [Infinitas Value], and [Sharpness Value], and gains <color=#ffdd93>DMG Bonus</color>. Reduces the <color=#ffdd93>cooldown</color> of [Aetherstrike] and [Prismatic Thrust]. While casting either skill, gains interruption resistance and <color=#ffdd93>Extra DMG Reduction</color>.
31011	Guided Focus (Unique)	After [Startrail] casts [Splashing Thunder], <color=#ffdd93>Aggro Focus</color> increases whenever she deals DMG. For a period of time, attacking taunted enemies deals <color=#ffdd93>one additional instance of DMG</color>. This effect can trigger at most once per second.
31012	Unfurled Stars (Unique)	When [Startrail] performs the 3rd hit of [Wandering Starburst] while in [Sword & Shield] state, tap [Thunderflare Storm] to gain an Enhanced Combo Strike and a large amount of [Sharpness Value].
31013	Sacred Hymn (Unique)	At max [Chant Stacks], [Empyrea] enhances the next [Nighttime Prayer] and [Azure Firmament]. Enhanced [Nighttime Prayer] and [Azure Firmament] will <color=#ffdd93>restore additional HP to all players</color> when healing others.
31014	Divine Decree (Unique)	When [Empyrea]'s [Radiant Judgment II] strikes an enemy with its final hit, creates an additional <color=#ffdd93>explosion</color> and gains 2 [Chant Stacks].
31015	Final Verdict (Unique)	After casting [Crimson Crown], [Empyrea] enters [Empyreal Form].
31016	Sacred Dawn (Unique)	After casting [Empyreal Oath], [Empyrea] gains a <color=#ffdd93>healing buff</color> for 20s and casts [Nighttime Prayer] once.
31017	Absolution Turn (Unique)	When a boss in [Wrath Form] casts high-threat skills, immediately refreshes [Azure Firmament] and gains 12 [Chant Stacks].
31018	Devout Chant (Unique)	When [Empyrea] enters [Empyreal Form], reduces cooldown by 33% for [Nighttime Prayer], [Azure Firmament], and [Crimson Crown].
