Key	Params
HelpKey	['DlcRelink']
TeachingLevelId	['9001']
TrainingLevelId	['9012']
LevelPassProgressTip	['Progress: %s']
LoadingTipsScrollingTime	['3']
MainCountDownDesc	['Ends in %s']
MainTipsSwitchInterval	['5000']
MainBtnEnterDesc	['Start Connection', 'Connecting']
ChapterCountDownDesc	['Unlocks in %s']
ChapterNotOpenDesc	['%s not available']
LevelUnlockDesc	['Clear %s to unlock', 'Unlocks in %s']
RoomBossLevelLimit	['Lv.%s']
CharacterOccupationName	['Attacker', 'Tank', 'Amplifier']
CharacterOccupationIcon	['Assets/Product/Texture/Image/UiDlcRelink/UiDlcRelinkCharacterIconCha01.png', 'Assets/Product/Texture/Image/UiDlcRelink/UiDlcRelinkCharacterIconCha02.png', 'Assets/Product/Texture/Image/UiDlcRelink/UiDlcRelinkCharacterIconCha03.png']
CharacterOccupationIconTwo	['Assets/Product/Texture/Image/IconType/IconCharacter3.png', 'Assets/Product/Texture/Image/IconType/IconCharacter1.png', 'Assets/Product/Texture/Image/IconType/IconCharacter2.png']
EquipOccupationName	['Attacker', 'Tank', 'Amplification']
EquipOccupationIcon	['Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkCharacterIconattribute01.png', 'Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkCharacterIconattribute02.png', 'Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkCharacterIconattribute03.png']
EquipTabsDesc	['All', 'Attacker', 'Tank', 'Amplifier']
EquipTabsIcon	['Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkEquipTabIcon01.png', 'Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkEquipTabIcon02.png', 'Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkEquipTabIcon03.png', 'Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkEquipTabIcon04.png']
EquipFilterBtnColor	['FFFFFF', 'AABEFF']
MatchSuccessTips	['Pairing successful']
PlayerEnterRoomTips	['%s joined the room']
RoomNotSelectRoleTips	['Select Character']
RoomNotSelectLevelTips	['Select Boss']
RoomMaxPlayerLevelTips	['Max']
CharacterBtnBattleDesc	['Deploy', 'Deployed']
EquipBagBtnReplaceDesc	['Swap', 'Equip', 'Swap']
EquipReformDeleteTips	['Removals left: %s']
EquipReformDeleteNoTimesTips	['No removals remaining for this gear']
EquipReformDeleteSuccessTips	['Trait Removed']
EquipReformAbsorbNoEquipTips	['Select materials for gear enhancement']
EquipReformAbsorbLockTips	['Gear is locked. Please unlock it first.']
EquipReformAbsorbFullTips	['Current gear cannot be enhanced further']
EquipCapacityDesc	['Capacity: %s/%s', 'Capacity: <color=#FF0000>%s/%s</color>']
EquipDecomposeSelectedCountDesc	['Not selected', 'Selected %s']
EquipDecomposeLockTips	['Gear locked']
EquipDecomposeWearTips	['Currently equipped by a character']
EquipDecomposePresetTips	['Gear in preset']
EquipDecomposeNoSelectTips	['Choose gear first']
EquipPresetNameEmpty	['Enter preset name']
EquipPresetNameTooLong	['Name exceeds %s characters']
EquipPresetRenameSuccess	['Preset renamed']
EquipPresetNameLengthFormat	['%s/%s', '<color=#FF0000>%s</color>/%s']
EquipComposeCountLimitTips	['Already at minimum', 'Already at maximum']
EquipComposeCountZero	['Please select synthesis quantity']
EquipComposeItemNotEnough	['Insufficient %s tokens']
TipTitle	['System Notice']
EquipReplaceWearTipContent	['This gear is already equipped by %s. Equip it anyway?', 'Equip', 'Cancel']
EquipReformAbsorbWearTipContent	['This gear is already equipped by %s. Continue absorbing?', 'Absorption', 'Cancel']
EquipReformAbsorbPresetTipContent	['This gear is in a preset. Continue absorbing?', 'Absorption', 'Cancel']
WearEquipDecomposeTipContent	['This gear is already equipped by %s. Continue scrapping?', 'Recycle', 'Cancel']
PresetEquipDecomposeTipContent	['This gear is in a preset. Continue scrapping?', 'Recycle', 'Cancel']
EquipPresetSetCoverTipContent	"[""Overwrite this preset with current character's gear?"", 'Overwrite', 'Cancel']"
EquipPresetSetUseTipContent	['Some gear in this preset is used by other characters. Unequip it from them and equip it to the current character?', 'Equip', 'Cancel']
EquipReformDeleteConfirmTipContent	['This trait is high-level. Still want to remove it?', 'Delete', 'Cancel']
ChangeLeaderConfirmTipContent	['Set this teammate as the room host?', 'Confirm', 'Cancel']
EquipBagFullMatchTipContent	['Gear inventory full. Continue matchmaking?', 'Continue', 'Scrap Gear']
RoomTeamOccupationNotRationalTipContent	"[""Your team's class composition is unbalanced and the stage is tough. Proceed anyway?"", 'Continue', 'Cancel']"
RoomTeamEquipAbilityNotRationalTipContent	"[""Some teammates' gear is below the recommended level. Continue?"", 'Continue', 'Cancel']"
LikeSuccessDesc	['%s gives you a like']
SwitchStyleSuccessDesc	['Form switched to %s']
EquipPresetSetDefaultName	['Preset %s']
EquipPresetSetUseEmpty	['Current preset empty']
EquipPresetSetUseSuccess	['Preset equipped']
EquipPresetSetUseSameEquip	['Identical to preset gear']
NoWearEquip	['No gear equipped']
PlayerNextLevelDesc	['At max']
PlayerLevelNotEnoughCoinColor	['0F70BC', 'ff0000']
PlayerLevelNotEnoughCoinDesc	['Insufficient %s. You can scrap gear to get more.']
PlayerLevelUpConditionDesc	['Clear any stage on %s difficulty']
SettlementFailTips	"['It is recommended to increase Gear Level via Gear - Enhancement.', 'Build a balanced team with the right class combination.', ""Smart gear combinations can boost your character's power."", 'Use Ultimate skills and Signature synergies strategically to turn the tide of battle.']"
SkillDetailSecondTitle	['Skill Effect']
SkillDamageSliderColor	['AEBDFC', 'ffc85f']
ShopTaskTagName	['Shop', 'Mission']
ShopItemTextColor	['FFFFFFFF', 'Fa7d81']
ShopCanBuyColor	['FFFFFFFF', 'Fa7d81']
MainPreviewRewardId	['67888']
SettlementResultBg	['Assets/Product/Texture/Image/UiDlcRelink/UiDlcRelinkSettlementBg.png', 'Assets/Product/Texture/Image/UiDlcRelink/UiDlcRelinkSettlementBgFailure.png']
SettlementResultEffect	['Assets/Product/Effect/DlcPrefab/FxRelink/Prefeb/FxUi/FxUiDlcRelinkSettlementWinNew/FxUiDlcRelinkSettlementWin01.prefab', 'Assets/Product/Effect/DlcPrefab/FxRelink/Prefeb/FxUi/FxUiDlcRelinkSettlementWinNew/FxUiDlcRelinkSettlementFailure01.prefab']
DefaultRankText	['N/A']
SkillDetailCdFormat	['%ss']
SettlementResearchTitle	['Research Progress: <color=#9db1e9>%s</color>', 'Research Progress: <color=#9db1e9>%s (Max)</color>']
EquipSlotNoUnlock	['Locked', 'Slots unlock at Research Lv.8', 'Equip class gear to unlock slots']
EquipBagEmpty	['No gear obtained yet']
RoomWaitAllReadyTips	['Waiting for teammates']
InvitedUnlockedLevel	['40']
InvitedUnlockLevelTips	['Unlocks at Commandant Lv.%s']
InviteButtonText	['Invite', 'Invited (%ss)']
InviteCdTips	['You can invite again in %ss']
WikiTypeTabNormalIcon	['Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkEncyclopediaIcon05.png', 'Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkEncyclopediaIcon06.png', 'Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkEncyclopediaIcon07.png']
WikiTypeTabSelectIcon	['Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkEncyclopediaIcon02.png', 'Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkEncyclopediaIcon03.png', 'Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkEncyclopediaIcon08.png']
LoadingReturnRoomTips	['A team member has disconnected. Please restart the operation.']
SelectTrainingTip	['Other players in the room. Unable to enter.']
TrainingCreateRoomTip	['The current stage does not support Co-op. Create the room anyway?']
FirstPlayTeachingLevelTip	['Please tap Start Battle to complete the tutorial first.']
TutorialLevelName	['Tutorial Stage', 'Training Stage']
CharacterNoEquipCannotRecordPreset	['Current character has no gear. Cannot overwrite preset.']
RoomEquipAbilityNotRationalTips	['The total level of character gear is below the requirement. Cannot join matchmaking.']
RoomLeaderEquipAbilityNotRationalTips	['The total level of character gear is below the requirement. Cannot open the room.']
RoomBossLevelBgColor	['FFFFFF', 'A5E0F8', 'E0A2DF', 'FFD170', 'FF8981']
EquipSlotExpandTip	['Special Module Gear Slot Unlocked']
TipsInBlessing	['Trait Level +1 (Class Gear Enhancement Active)']
TipsNotEffective	['Extra enhancement not applied (incompatible class gear type)']
WifiSwitchTips	['Mobile network detected. Wi-Fi is recommended. Continue anyway?']
BecomeLeaderTips	['You have become the room host.']
ForbidSelectRoleTip	['Cannot change characters in tutorial stages.']
TeachingNotPassedTips	['Tutorial stage incomplete']
EquipComposeInputTip	['Please enter a positive integer']
RankDefaultTimeText	['N/A']
EquipReformSelectSameEquipTip	['Cannot equip identical gear']
TeachingLevelGuideId	['0']
BattleSettleShowTitleMaxCount	['4']
GlobalMatchRewardDesc	['Extra Gear Rewards (<color=#a1b9ff>%s</color><color=#a1b9ff>/%s</color>)', 'Extra Gear Rewards (<color=#fa7d81>%s</color><color=#a1b9ff>/%s</color>)']
GlobalMatchDetailTipContent	['1. After enabling Global Matchmaking, you will quickly join a room for any available stage.\\n2. Complete challenges through Global Matchmaking to obtain additional gear rewards.\\n3. The number of extra gear rewards available refreshes daily at 5:00.']
GlobalMatchDisableChooseBossTip	['Cannot select stages during Global Matchmaking.']
ChooseBossBtnName	['Stage not selected', 'Random Stage']
