Id	GroupId	Icon	Name	Desc	Quality
101	1	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink057.png	Module Equipment	Guaranteed to obtain 3★ equipment on first clear.	1
201	2	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink057.png	Module Equipment	Guaranteed to obtain 3★ equipment on clear.	1
301	3	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink057.png	Module Equipment	Guaranteed to obtain 4★ equipment on first clear.	2
401	4	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink057.png	Module Equipment	Guaranteed to obtain 4★ equipment on clear.	2
501	5	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink055.png	Class Equipment	Guaranteed to obtain 5★ class equipment with [Unique] trait on first clear.	3
502	5	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink056.png	Class Equipment	Guaranteed to obtain 6★ class equipment with [Unique] trait on first clear.	4
601	6	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink057.png	Module Equipment	Guaranteed to obtain 5★ equipment on clear.	3
602	6	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink055.png	Class Equipment	Chance to obtain 5★ class equipment with [Unique] trait on clear.	3
701	7	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink056.png	Class Equipment	Guaranteed to obtain 6★ class equipment with [Unique] trait on first clear.	4
801	8	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink055.png	Module Equipment	Guaranteed to obtain 6★ equipment on clear.	4
802	8	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink056.png	Class Equipment	Chance to obtain 6★ class equipment with [Unique] trait on clear.	4
