Id	Name	Priority	CoverIds	CompareKeys	CompareValues	CompareTypes
1	Primary Attacker	100		[133009, 133027]	[0, 1]	[100, 3]
2	Absolute Power	100	[1]	[133009]	[50]	[11]
3	Healing Expert	98		[133011]		[100]
4	Turn the Tide	97		[9002101, 133027]	[1, 1]	[3, 3]
5	Pro Team	90		[133013, 133027]	[0, 1]	[303, 3]
6	High Mobility	89		[133010]		[200]
7	Steadfast Bulwark	96		[133010]		[100]
8	Flawless Victory	95		[133013, 133027]	[0, 1]	[3, 3]
9	Floor Inspector	88		[133013]	[5]	[2]
10	Clutch Victory	87		[133013, 133027]	[2, 1]	[302, 3]
11	Convergence Master	86		[133021]	[2]	[2]
12	Convergence Counter	85		[133008]	[2]	[2]
13	Hyperlink Co-Strike	84		[133007]	[1]	[2]
