Id	Name	Subtitle	Desc	SimpleDesc	TypeDesc	Icon	Cd	BaseDamageLimit	Rate	AttribType	Tags	EntryName	EntryDesc	VideoConfigId	SecondSkill
101	Crimson Slash	Kodachi Mode	<b>[Kodachi Mode]</b> - <color=#ffdd93>Tap Basic Attack</color>\nPerforms an attack with a maximum of 5 hits using Kodachi and martial arts techniques.\n- Deals DMG equal to 728% ATK in total.\n- Recovers 25 [Wildfire Value] in total.\n- Recovers 15 Signature Energy in total.\n<b>[Swordwave Attack]</b> - <color=#ffdd93>Kodachi Mode + Basic Attack's 4th hit/After Extreme Dodge/After Skill 2 + Blade Flashes + Tap Basic Attack</color>\nRepeatedly tap Basic Attack to unleash multiple swordwaves, dealing damage, up to 4 hits. After the swordwaves end, automatically casts a finishing slash.\n- Deals DMG equal to 646% ATK in total.\n- Recovers 50 [Wildfire Value] in total.\n- Recovers 15 Signature Energy in total.\n<b>[Crimson Plunge]</b> - <color=#ffdd93>Kodachi Mode + Airborne + Tap Basic Attack</color>\nPerforms a plunge attack against enemies while airborne.\n- Deals DMG equal to 140% ATK in total.\n- Recovers 3 Signature Energy in total.\n- Recovers 5 [Wildfire Value] in total.	<b>[Kodachi Mode]</b> - <color=#ffdd93>Tap Basic Attack</color>\nPerforms an attack with a maximum of 5 hits using Kodachi and martial arts techniques.\n<b>[Swordwave Attack]</b> - <color=#ffdd93>Kodachi Mode + Basic Attack's 4th hit/After Extreme Dodge/After Skill 2 + Blade Flashes + Tap Basic Attack</color>\nRepeatedly tap Basic Attack to unleash multiple swordwaves, dealing damage, up to 4 hits. After the swordwaves end, automatically casts a finishing slash.\n<b>[Crimson Plunge]</b> - <color=#ffdd93>Kodachi Mode + Airborne + Tap Basic Attack</color>\nPerforms a plunge attack against enemies while airborne.	Basic Attack	Assets/Product/Texture/Image/IconSkill/R5Luxiyapugong1.png		22207	57800	1	['Basic Attack DMG']	['Mechanism 1', 'Mechanism 2']	['Mechanism 1 Description', 'Mechanism 2 Description']	33007	[102]
102	Crimson Slash	Odachi Mode	<b>[Odachi Mode]</b> - <color=#ffdd93>Tap Basic Attack</color>\nPerforms a 5-hit attack using Odachi.\n- Deals DMG equal to 440% ATK in total.\n- Recovers 100 [Wildfire Value] in total.\n- Recovers 15 Signature Energy in total.\n<b>[Swordwave Attack]</b> - <color=#ffdd93>Odachi Mode + Basic Attack's 4th hit/After Extreme Dodge/After Skill 2 + Blade Flashes + Tap Basic Attack</color>\nRepeatedly tap Basic Attack to unleash multiple swordwaves, dealing damage, up to 4 hits. After the swordwaves end, tap Basic Attack again to cast a finishing slash.\n- Deals DMG equal to 365% ATK in total.\n- Recovers 100 [Wildfire Value] in total.\n- Recovers 15 Signature Energy in total.\n<b>[Crimson Plunge]</b> - <color=#ffdd93>Odachi Mode + Airborne + Tap Basic Attack</color>\nPerforms a plunge attack against enemies while airborne.\n- Deals DMG equal to 140% ATK in total.\n- Recovers 10 [Wildfire Value] in total.	<b>[Odachi Mode]</b> - <color=#ffdd93>Tap Basic Attack</color>\nPerforms up to 5 hits using Odachi and martial arts techniques.\n<b>[Swordwave Attack]</b> - <color=#ffdd93>Odachi Mode + Basic Attack's 4th hit/After Dodge + Blade Flashes + Tap Basic Attack</color>\nRepeatedly tap Basic Attack to unleash multiple swordwaves, dealing damage, up to 4 hits. After the swordwaves end, tap Basic Attack again to cast a finishing slash.\n<b>[Crimson Plunge]</b> - <color=#ffdd93>Odachi Mode + Airborne + Tap Basic Attack</color>\nPerforms a plunge attack against enemies while airborne.	Basic Attack	Assets/Product/Texture/Image/IconSkill/R5Luxiyapugong1.png		16168	44600	1	['Basic Attack DMG']	['Mechanism 1', 'Mechanism 2']	['Mechanism 1 Description', 'Mechanism 2 Description']	33001	
103	Path of Anatta		<b>[Wildfire Value]</b> - <color=#ffdd93>Automatically gained when casting Whirling Thrash/Sundered Delusion/Basic Attack/Swordwave Attack</color>\nCasting Skill 1, Skill 2, Basic Attack, or Swordwave Attack grants [Wildfire Value]. [Wildfire Value] cap is 200.\n<b>[Wildfire Slash]</b> - <color=#ffdd93>Max Wildfire Value + Press and Hold Basic Attack</color>\nAt max [Wildfire Value], press and hold Basic Attack to consume all [Wildfire Value] and cast [Wildfire Slash], dealing DMG to enemies in the area.\n- Deals DMG equal to 602% ATK in [Kodachi Mode].\n- Deals DMG equal to 582% ATK in [Odachi Mode].\n- Recovers 45 Signature Energy in total.	<b>[Wildfire Value]</b> - <color=#ffdd93>Automatically gained when casting Whirling Thrash/Sundered Delusion/Basic Attack/Swordwave Attack</color>\nCasting Skill 1, Skill 2, Basic Attack, or Swordwave Attack grants [Wildfire Value]. [Wildfire Value] cap is 200.\n<b>[Wildfire Slash]</b> - <color=#ffdd93>Max Wildfire Value + Press and Hold Basic Attack</color>\nAt max [Wildfire Value], press and hold Basic Attack to consume all [Wildfire Value] and cast [Wildfire Slash], dealing DMG to enemies in the area.	Core Passive	Assets/Product/Texture/Image/IconSkill/IconSkillIconRelink/IconSkillIconRelinkR5Luxiya01.png		36502	60200	1	['Core DMG', 'Uninterruptible', 'DMG Immunity']	['Mechanism 1', 'Mechanism 2']	['Mechanism 1 Description', 'Mechanism 2 Description']	33005	
105	Whirling Thrash		<b>[Whirling Thrash]</b> - <color=#ffdd93>Kodachi Mode + Tap Skill 1</color>\nSlashes the enemy swiftly. Within a short window, the skill can be cast again to leap into the air and strike downward.\n- Deals total DMG equal to 281% ATK.\n- Recovers 40 [Wildfire Value] in total.\n- Recovers 30 Signature Energy in total.	<b>[Whirling Thrash]</b> - <color=#ffdd93>Kodachi Mode + Tap Skill 1</color>\nSlashes the enemy swiftly. Within a short window, the skill can be cast again to leap into the air and strike downward.	Core Skill 1	Assets/Product/Texture/Image/IconSkill/IconSkillIconRelink/IconSkillIconRelinkR5Luxiya21.png	7	17409	20100	1	['Skill DMG', 'Phaseshift']	['Mechanism 1', 'Mechanism 2']	['Mechanism 1 Description', 'Mechanism 2 Description']	33008	
106	Sundered Delusion		<b>[Sundered Delusion]</b> - <color=#ffdd93>Kodachi Mode + Tap Skill 2</color>\nEnters [Afterimage Stance], can perform Flash Block during this state. After a brief delay, casts [Iaido Slash β] to charge forward with multiple slashes, dealing massive DMG. If cast after a successful block, refunds partial cooldown.\n- Deals total DMG equal to 405% ATK.\n- Recovers 75 [Wildfire Value] in total.\n- Recovers 20 Signature Energy in total.\n- Refunds 50% cooldown after successful block.\nAfter successfully casting [Iaido Slash β], immediately tap Basic Attack to directly cast [Swordwave Attack].	<b>[Sundered Delusion]</b> - <color=#ffdd93>Kodachi Mode + Tap Skill 2</color>\nEnters [Afterimage Stance], can perform Flash Block during this state. After a brief delay, casts [Iaido Slash β] to charge forward with multiple slashes, dealing massive DMG. If cast after a successful block, refunds partial cooldown.\nAfter successfully casting [Iaido Slash β], immediately tap Basic Attack to directly cast [Swordwave Attack].	Core Skill 2	Assets/Product/Texture/Image/IconSkill/IconSkillIconRelink/IconSkillIconRelinkR5Luxiya31.png	14	21168	36000	1	['Skill DMG', 'Uninterruptible', 'Flash Block']	['Mechanism 1', 'Mechanism 2']	['Mechanism 1 Description', 'Mechanism 2 Description']	33009	
107	Splashing Thunder	Kodachi Mode	<b>[Splashing Thunder]</b> - <color=#ffdd93>Kodachi Mode + Tap Skill 3</color>\nSlowly draws the Odachi, summoning lightning to deal DMG in a large area and entering [Odachi Mode].\n- Deals DMG equal to 236% ATK in total.\nIn [Odachi Mode], Skill 3 is replaced with [Flashstorm], Skills 1 and 2 become unusable, and Basic Attack is replaced with [Odachi Mode]. [Swordwave Attack] can be cast directly after Dodge.\nAfter casting [Splashing Thunder], gains 50% DMG Bonus, Interrupt Immunity, and 15% Extra DMG Reduction for 17s.	<b>[Splashing Thunder]</b> - <color=#ffdd93>Kodachi Mode + Tap Skill 3</color>\nSlowly draws the Odachi, summoning lightning to deal DMG in a large area and entering [Odachi Mode].\nIn [Odachi Mode], Skill 3 is replaced with [Flashstorm], Skills 1 and 2 become unusable, and Basic Attack is replaced with [Odachi Mode]. [Swordwave Attack] can be cast directly after Dodge.\nAfter casting [Splashing Thunder], gains DMG Bonus, Interrupt Immunity, and Extra DMG Reduction for a certain duration.	Core Skill 3	Assets/Product/Texture/Image/IconSkill/IconSkillIconRelink/IconSkillIconRelinkR5Luxiya32.png	18	8672	23600	1	['Skill DMG', 'Uninterruptible', 'DMG Buff']	['Mechanism 1', 'Mechanism 2']	['Mechanism 1 Description', 'Mechanism 2 Description']	33010	[104]
104	Flashstorm	Odachi Mode	<b>[Flashstorm]</b> - <color=#ffdd93>Odachi Mode + Tap Skill 3</color>\nAfter briefly charging up, performs a 4-hit [Shadow Strike], then casts [Thunderous Bash] to deal massive DMG to enemies.\nReturns to [Kodachi Mode] afterward. - Deals DMG equal to 765% ATK in total.\n- Recovers 45 Signature Energy in total.\nDMG of [Shadow Strike] [Thunderous Bash] counts as Core DMG.\n- Lucia gains 20% Extra DMG Reduction upon casting.	<b>[Flashstorm]</b> - <color=#ffdd93>Odachi Mode + Tap Skill 3</color>\nGains DMG Reduction. After briefly charging up, performs a 4-hit [Shadow Strike], then casts [Thunderous Bash] to deal massive DMG to enemies.\nReturns to [Kodachi Mode] afterward.\nDMG of [Shadow Strike] [Thunderous Bash] counts as Core DMG.	Core Skill 3	Assets/Product/Texture/Image/IconSkill/IconSkillIconRelink/IconSkillIconRelinkR5Luxiya32.png	18	46385	76500	1	['Core DMG', 'DMG Immunity']	['Mechanism 1', 'Mechanism 2']	['Mechanism 1 Description', 'Mechanism 2 Description']	33003	
108	Phantom Step		<b>[Phantom Step]</b> - <color=#ffdd93>Drag Joystick + Tap Dodge</color>\nLucia dodges in the target direction. Without joystick input, dodges backward. Can trigger Extreme Dodge during this move.\n- After a successful Extreme Dodge, becomes Invincible for 1.5s.\n<b>[Iaido Slash]</b> - <color=#ffdd93>Kodachi Mode + Press and hold Dodge</color>\nEnters [Focus Stance], gaining DMG Reduction. Can perform Flash Block during this state.\nRelease Dodge to cast [Iaido Slash]. If Flash Block is triggered during [Focus Stance], immediately casts [Iaido Slash β].\n- Deals DMG equal to up to 405% ATK.\n- Recovers up to 20 Signature Energy.\n- Recovers up to 75 [Wildfire Value].\nDodge Energy does not recover during [Focus Stance].	<b>[Phantom Step]</b> - <color=#ffdd93>Drag Joystick + Tap Dodge</color>\nLucia dodges in the target direction. Without joystick input, dodges backward. Can trigger Extreme Dodge during this move.\n- After a successful Extreme Dodge, becomes Invincible briefly.\n<b>[Iaido Slash]</b> - <color=#ffdd93>Kodachi Mode + Press and hold Dodge</color>\nEnters [Focus Stance], gaining 30% DMG Reduction. Can perform Flash Block during this state.\nRelease Dodge to cast [Iaido Slash]. If Flash Block is triggered during [Focus Stance], immediately casts [Iaido Slash β].\nDodge Gauge does not recover during [Focus Stance].	Dodge	Assets/Product/Texture/Image/IconSkill/IconSkillIconRelink/UiDlcRelinkDodge.png		21168	36000	1	['Dodge Check', 'Uninterruptible', 'Flash Block']	['Mechanism 1', 'Mechanism 2']	['Mechanism 1 Description', 'Mechanism 2 Description']	33012	
109	Flowing Petals		<b>[Flowing Petals]</b> - <color=#ffdd93>Enemy Imbalanced + Tap QTE</color>\nLucia leaps into the air, briefly charges up, then performs a follow-up attack on enemies.\n- Deals total DMG equal to 800% ATK.\n- Recovers 40 Signature Energy in total.\n- Recovers 35 Ultimate Energy for the team.	<b>[Flowing Petals]</b> - <color=#ffdd93>Enemy Imbalanced + Tap QTE</color>\nLucia leaps into the air, briefly charges up, then performs a follow-up attack on enemies.	Follow-Up Skill	Assets/Product/Texture/Image/IconSkill/IconSkillIconRelink/IconSkillIconRelinkPr.png		29400	80000	1	['Follow-Up DMG']	['Mechanism 1', 'Mechanism 2']	['Mechanism 1 Description', 'Mechanism 2 Description']	33011	
110	Karmic Inferno		<b>[Karmic Inferno]</b> - <color=#ffdd93>1000 Signature Energy + Tap Signature</color>\nTap Signature to consume Signature Energy and cast [Karmic Inferno], dealing DMG to enemies in a large area.\n- Deals total DMG equal to 2010% ATK.\n- Recovers 50 Ultimate Energy for the team.	<b>[Karmic Inferno]</b> - <color=#ffdd93>1000 Signature Energy + Tap Signature</color>\nTap Signature to consume Signature Energy and cast [Karmic Inferno], dealing DMG to enemies in a large area.	Signature	Assets/Product/Texture/Image/IconSkill/IconSkillIconRelink/IconSkillIconRelinkR5Luxiya51.png		73867	201000	1	['Signature DMG', 'DMG Immunity', 'Hyperlink Co-Strike']	['Mechanism 1', 'Mechanism 2']	['Mechanism 1 Description', 'Mechanism 2 Description']	33004	
