Key	Name	Desc	Icon	IsPercent	Order
Life	Health	HP	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag008.png		2
Attack	Attack	Affects DMG	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag007.png		1
DmgReduction	DMG Reduction	Affects DMG Taken	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag006.png	1	3
CritP	CRIT Rate	Physical CRIT Rate	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag003.png	1	4
CritDmgRateP	CRIT DMG	CRIT DMG Bonus	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag004.png	1	5
DmgLimitP	Max DMG	Increases Max Skill DMG	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag001.png	1	6
ShieldAmpP	Shield Bonus	Shield Bonus	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag011.png	1	7
HealAmpP	Healing Efficiency Buff	Healing Boost	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag012.png	1	8
PhysicalAmpP	Extra DMG	Affects DMG dealt.	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag009.png	1	9
NormalAtkDmgAmpP	Basic Attack DMG Increase	Basic Attack DMG Bonus	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag013.png	1	10
SignalSkillDmgAmpP	Skill DMG Increase	Regular Skill DMG Bonus	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag015.png	1	11
CoreSkillDmgAmpP	Core DMG Bonus	Core Skill DMG Bonus	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag014.png	1	12
ExSkillDmgAmpP	Signature DMG Increase	Signature Move DMG Bonus	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag016.png	1	13
Attack3AmpP	ATK Up	Affects DMG dealt.	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag002.png	1	14
BreakDmg	Imbalance Buff	Increases balance damage against bosses	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag010.png		15
CauseDamageThreatCoe	Aggro Focus	Increases Aggro gained	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag011.png	1	16
