Id	Desc	Param
200100	v3.6日志引导	[1]
200101	v3.6地图引导	[1]
200102	v3.6宿舍-照片墙引导	[1]
200103	v3.6拍照引导	[1]
200200	v3.6咖啡厅-首次进关	[1]
200201	v3.6咖啡厅-1001时段1	[1]
200202	v3.6咖啡厅-1001时段1 完成上个引导	[1]
200203	v3.6咖啡厅-1001时段2	[1]
200204	v3.6咖啡厅-1001时段3	[1]
200205	v3.6咖啡厅-通关1001回到主界面	[1]
200206	v3.6咖啡厅-1002时段1	[1]
200207	v3.6咖啡厅-1003时段1	[1]
200208	v3.6咖啡厅-1004时段1	[1]
200209	v3.6咖啡厅-1004时段3	[1]
200210	v3.6咖啡厅-1005时段1	[1]
200211	v3.6咖啡厅-通关1006回到主界面	[1]
200212	v3.6咖啡厅-2001时段1替换客人	[1]
200213	v3.6咖啡厅-2001时段1正式游戏	[1]
200230	v3.6商业街-首次进关	[1]
200231	v3.6商业街-处于1-1的准备界面	[1]
200232	v3.6商业街-处于1-1的游玩界面	[1]
200233	v3.6商业街-运营阶段出现小费气泡	[1]
200234	v3.6商业街-运营阶段出现反馈气泡	[1]
200235	v3.6商业街-处于1-2的准备界面	[1]
200236	v3.6商业街-处于1-3的准备界面	[1]
200237	v3.6商业街-完成引导200236	[1]
200238	v3.6商业街-处于2-1的准备界面	[1]
200239	v3.6商业街-处于2-2的准备界面	[1]
200240	v3.6商业街-处于2-2的游玩界面	[1]
200241	v3.6商业街-处于3-1的准备界面	[1]
200242	v3.6商业街-完成引导200241	[1]
200243	v3.6商业街-有可建造的外圈建筑	[1]
200244	v3.6商业街-完成引导200243	[1]
200245	v3.6商业街-突发事件	[1]
200246	v3.6商业街-常规促销	[1]
200247	v3.6商业街-完成引导200246	[1]
200248	v3.6商业街-处于4-1的准备界面	[1]
200249	v3.6商业街-新闻界面	[1]
200250	v3.6商业街-限时推广	[1]
200251	v4.2拍照引导1	[1]
200252	v4.2拍照引导2	[1]
200253	v4.2拍照引导3	[1]
200254	v4.2拍照引导4	[1]
200255	v4.2引航任务	[1]
200256	v4.2历程任务二期	[1]
200261	v4.2空域迷航-主界面	[1]
200262	v4.2空域迷航-关卡介绍	[1]
200263	v4.2空域迷航-101前	[1]
200264	v4.2空域迷航-101中	[1]
200265	v4.2空域迷航-101后	[1]
200266	v4.2空域迷航-102详情	[1]
200267	v4.2空域迷航-102前	[1]
200268	v4.2空域迷航-102中	[1]
200269	v4.2空域迷航-102后	[1]
200270	v4.2空域迷航-201	[1]
200271	v4.2空域迷航-202	[1]
200272	v4.2空域迷航-301	[1]
200273	v4.2空域迷航-401前	[1]
200274	v4.2空域迷航-401后	[1]
200275	v4.2空域迷航-402	[1]
200276	v4.2空域迷航-403	[1]
