Id	Priority	SequentialId	Ignore	Desc	GuideType	ConditionId	CompleteId	ActiveUi	CheckNodeActive	RewardId	GroupId
200100	200100			v3.6日志引导	1	[50001004]	200100	UiBigWorldHud			200100
200101	200101			v3.6地图引导	1	[50001007]	200101	UiBigWorldHud			200101
200102	200102			v3.6宿舍-照片墙引导	1	[50001003]	200102	UiSkyGardenDormPhotoWall	PanelHomePhoto		200102
200103	200103			v3.6拍照引导	1	[50001006]	200103	UiBigWorldHud			200103
200200	200200			v3.6咖啡厅-首次进关	1		200200	UiSkyGardenCafeMain			200200
200201	200201			v3.6咖啡厅-1001时段1	1	[50010006]	200201	UiSkyGardenCafeGame			200201
200202	200202			v3.6咖啡厅-1001时段1 完成上个引导	1	[50010006, 50010007]	200202	UiSkyGardenCafeGame			200202
200203	200203			v3.6咖啡厅-1001时段2	1	[50010008]	200203	UiSkyGardenCafeGame			200203
200204	200204			v3.6咖啡厅-1001时段3	1	[50010009]	200204	UiSkyGardenCafeGame			200204
200205	200205			v3.6咖啡厅-通关1001回到主界面	1	[50010013]	200205	UiSkyGardenCafeMain			200205
200206	200206			v3.6咖啡厅-1002时段1	1	[50010014]	200206	UiSkyGardenCafeGame			200206
200207	200207			v3.6咖啡厅-1003时段1	1	[50010015]	200207	UiSkyGardenCafeGame			200207
200208	200208			v3.6咖啡厅-1004时段1	1	[50010016]	200208	UiSkyGardenCafeGame			200208
200209	200209			v3.6咖啡厅-1004时段3	1	[50010017]	200209	UiSkyGardenCafeGame			200209
200210	200210			v3.6咖啡厅-1005时段1	1	[50010018]	200210	UiSkyGardenCafeGame			200210
200211	200211			v3.6咖啡厅-通关1006回到主界面	1	[50010019]	200211	UiSkyGardenCafeMain			200211
200212	200212			v3.6咖啡厅-2001时段1替换客人	1	[50010020]	200212	UiSkyGardenCafeGame			200212
200213	200213			v3.6咖啡厅-2001时段1正式游戏	1	[50010020]	200213	UiSkyGardenCafePopupBroadcastFirst			200213
200230	200230			v3.6商业街-首次进关	1		200230	UiSkyGardenShoppingStreetMain			200230
200231	200231			v3.6商业街-处于1-1的准备界面	1	[50010023, 50010021]	200231	UiSkyGardenShoppingStreetGame			200231
200232	200232			v3.6商业街-处于1-1的游玩界面	1	[50010023, 50010022]	200232	UiSkyGardenShoppingStreetGame			200232
200233	200233			v3.6商业街-运营阶段出现小费气泡	1	[50010024, 50010022]	200233	UiSkyGardenShoppingStreetGame			200233
200234	200234			v3.6商业街-运营阶段出现反馈气泡	1	[50010025, 50010022]	200234	UiSkyGardenShoppingStreetGame			200234
200235	200235			v3.6商业街-处于1-2的准备界面	1	[50010026, 50010021, 50010041, 50010042, 50010047]	200235	UiSkyGardenShoppingStreetGame	FullScreenBackground/ActivityLiBg/BuildingArea/Buildings/GridInsideBuild1/Edit/PanelLock		200235
200236	200236			v3.6商业街-处于1-3的准备界面	1	[50010027, 50010021, 50010041, 50010043]	200236	UiSkyGardenShoppingStreetGame	FullScreenBackground/ActivityLiBg/BuildingArea/Buildings/GridInsideBuild5/Edit/PanelLock		200236
200237	200237			v3.6商业街-完成引导200236	1	[50010021, 50010028]	200237	UiSkyGardenShoppingStreetGame			200237
