Id	Name	IndexInMap	TalentIcon	PrefabPath	Descriptions
1101	信标·强力	1	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_001.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn1.prefab	['指挥局玩法中角色攻击力增加0%', '指挥局玩法中角色攻击力增加2%', '指挥局玩法中角色攻击力增加4%', '指挥局玩法中角色攻击力增加6%', '指挥局玩法中角色攻击力增加8%', '指挥局玩法中角色攻击力增加10%', '指挥局玩法中角色攻击力增加12%', '指挥局玩法中角色攻击力增加14%', '指挥局玩法中角色攻击力增加16%', '指挥局玩法中角色攻击力增加18%', '指挥局玩法中角色攻击力增加20%']
1102	信标·驻防	2	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_015.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn1.prefab	['指挥局玩法中角色物理防御力增加0%', '指挥局玩法中角色物理防御力增加5%', '指挥局玩法中角色物理防御力增加10%', '指挥局玩法中角色物理防御力增加15%', '指挥局玩法中角色物理防御力增加20%', '指挥局玩法中角色物理防御力增加25%', '指挥局玩法中角色物理防御力增加30%', '指挥局玩法中角色物理防御力增加35%', '指挥局玩法中角色物理防御力增加40%', '指挥局玩法中角色物理防御力增加45%', '指挥局玩法中角色物理防御力增加50%']
1103	信标·物理增伤	3	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_013.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn1.prefab	['指挥局玩法中角色物理伤害增加0%', '指挥局玩法中角色物理伤害增加2%', '指挥局玩法中角色物理伤害增加4%', '指挥局玩法中角色物理伤害增加6%', '指挥局玩法中角色物理伤害增加8%', '指挥局玩法中角色物理伤害增加10%', '指挥局玩法中角色物理伤害增加12%', '指挥局玩法中角色物理伤害增加14%', '指挥局玩法中角色物理伤害增加16%', '指挥局玩法中角色物理伤害增加18%', '指挥局玩法中角色物理伤害增加20%']
1201	信标·火系增伤	4	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_008.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn2.prefab	['指挥局玩法中角色火系伤害增加0%', '指挥局玩法中角色火系伤害增加3%', '指挥局玩法中角色火系伤害增加6%', '指挥局玩法中角色火系伤害增加9%', '指挥局玩法中角色火系伤害增加12%', '指挥局玩法中角色火系伤害增加15%', '指挥局玩法中角色火系伤害增加18%', '指挥局玩法中角色火系伤害增加21%', '指挥局玩法中角色火系伤害增加24%', '指挥局玩法中角色火系伤害增加27%', '指挥局玩法中角色火系伤害增加30%']
1202	信标·冰系增伤	5	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_009.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn2.prefab	['指挥局玩法中角色冰系伤害增加0%', '指挥局玩法中角色冰系伤害增加3%', '指挥局玩法中角色冰系伤害增加6%', '指挥局玩法中角色冰系伤害增加9%', '指挥局玩法中角色冰系伤害增加12%', '指挥局玩法中角色冰系伤害增加15%', '指挥局玩法中角色冰系伤害增加18%', '指挥局玩法中角色冰系伤害增加21%', '指挥局玩法中角色冰系伤害增加24%', '指挥局玩法中角色冰系伤害增加27%', '指挥局玩法中角色冰系伤害增加30%']
1203	信标·雷系增伤	6	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_010.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn2.prefab	['指挥局玩法中角色雷系伤害增加0%', '指挥局玩法中角色雷系伤害增加3%', '指挥局玩法中角色雷系伤害增加6%', '指挥局玩法中角色雷系伤害增加9%', '指挥局玩法中角色雷系伤害增加12%', '指挥局玩法中角色雷系伤害增加15%', '指挥局玩法中角色雷系伤害增加18%', '指挥局玩法中角色雷系伤害增加21%', '指挥局玩法中角色雷系伤害增加24%', '指挥局玩法中角色雷系伤害增加27%', '指挥局玩法中角色雷系伤害增加30%']
1204	信标·暗系增伤	7	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_018.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn2.prefab	['指挥局玩法中角色暗系伤害增加0%', '指挥局玩法中角色暗系伤害增加3%', '指挥局玩法中角色暗系伤害增加6%', '指挥局玩法中角色暗系伤害增加9%', '指挥局玩法中角色暗系伤害增加12%', '指挥局玩法中角色暗系伤害增加15%', '指挥局玩法中角色暗系伤害增加18%', '指挥局玩法中角色暗系伤害增加21%', '指挥局玩法中角色暗系伤害增加24%', '指挥局玩法中角色暗系伤害增加27%', '指挥局玩法中角色暗系伤害增加30%']
1301	信标·额外增伤	8	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_019.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn3.prefab	['指挥局玩法中角色额外伤害增加0%', '指挥局玩法中角色额外伤害增加2%', '指挥局玩法中角色额外伤害增加4%', '指挥局玩法中角色额外伤害增加6%', '指挥局玩法中角色额外伤害增加8%', '指挥局玩法中角色额外伤害增加10%', '指挥局玩法中角色额外伤害增加12%', '指挥局玩法中角色额外伤害增加14%', '指挥局玩法中角色额外伤害增加16%', '指挥局玩法中角色额外伤害增加18%', '指挥局玩法中角色额外伤害增加20%']
1302	信标·生命增加	9	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_016.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn3.prefab	['指挥局玩法中角色生命上限增加0%', '指挥局玩法中角色生命上限增加4%', '指挥局玩法中角色生命上限增加8%', '指挥局玩法中角色生命上限增加12%', '指挥局玩法中角色生命上限增加16%', '指挥局玩法中角色生命上限增加20%', '指挥局玩法中角色生命上限增加24%', '指挥局玩法中角色生命上限增加28%', '指挥局玩法中角色生命上限增加32%', '指挥局玩法中角色生命上限增加36%', '指挥局玩法中角色生命上限增加40%']
1303	信标·暴乱	10	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_011.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn3.prefab	['指挥局玩法中角色暴击几率增加0%', '指挥局玩法中角色暴击几率增加1%', '指挥局玩法中角色暴击几率增加2%', '指挥局玩法中角色暴击几率增加3%', '指挥局玩法中角色暴击几率增加4%', '指挥局玩法中角色暴击几率增加5%', '指挥局玩法中角色暴击几率增加6%', '指挥局玩法中角色暴击几率增加7%', '指挥局玩法中角色暴击几率增加8%', '指挥局玩法中角色暴击几率增加9%', '指挥局玩法中角色暴击几率增加10%']
