Id	TimeId	ActivityTimeId	UiType	Name	Priority	FubenActivityOrder	SkipId	FunctionOpenId	StagePrefix	BannerBg	MainBackgound	EffectUrl	FubenPrefab	GridFubenPrefab	GridStoryPrefab	TitleIcon	TitleBg	ChapterType	ChapterBgm	StageId	StageName	StageStyle
1				圣诞大作战	1			10306	M-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner05.png	Assets/Product/Texture/Image/UiFubenChristmas/UiFubenChristmasBg.png		Assets/Product/Ui/ComponentPrefab/FubenChristmas/FuBenChristmasStrong.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageChristmasDay.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageJunqingChristmasDay.prefab	Assets/Product/Texture/Image/UiFubenChristmas/UiFubenChristmasImg1.png	Assets/Product/Texture/Image/UiFubenChristmas/UiFubenChristmasTitleBg.png	21		[30130101, 30130102, 30130103, 30130104, 30130105, 30130106, 30130107, 30130108, 30130109]		
3				岁除	3			10306	NYA-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner05.png	Assets/Product/Texture/Image/UiFubenChristmas/UiFubenChristmasBg5.png		Assets/Product/Ui/ComponentPrefab/FubenNewYear/FubenLineNewYear.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageNewYearFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageNewYearStory.prefab	Assets/Product/Texture/Image/UiFubenChristmas/UiFubenChristmasImg1.png	Assets/Product/Texture/Image/UiFubenChristmas/UiFubenChristmasTitleBg.png	24	11	[30090318, 30090317, 30090316, 30090315, 30090314, 30090313, 30090312, 30090311, 30090310, 30090309, 30090308, 30090307]		
4				四月舱中鱼	4			10306	AFD-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner10.png	Assets/Product/Texture/Image/UiFubenYurenjie/UiFubenYurenjieBg.png		Assets/Product/Ui/ComponentPrefab/FubenYurenjie/FuBenYurenjieStrong.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageYurenjie.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageJunqingYurenjie.prefab	Assets/Product/Texture/Image/UiFubenYurenjie/UiFubenYurenjieImg01.png	Assets/Product/Texture/Image/UiFubenYurenjie/UiFubenYurenjieBg01.png	27	205	[30130201, 30130202, 30130203, 30130204, 30130205, 30130206, 30130207, 30130208, 30130209, 30130210, 30130211]		
5				未遗忘的节日	5			10306	DBF-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner14.png	Assets/Product/Texture/Image/UiFubenDuanwu/UiFubenDuanBg.png		Assets/Product/Ui/ComponentPrefab/FubenDuanWu/FuBenDuanWuStrong.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageFightDuanwu.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageJunqingDuanwu.prefab	Assets/Product/Texture/Image/UiFubenDuanwu/UiFubenDuanwuImg01.png	Assets/Product/Texture/Image/UiFubenDuanwu/UiFubenDuanwuBg01.png	27	5	[30130301, 30130302, 30130303, 30130304, 30130305, 30130306, 30130307]		
6				搁浅	6			10306	BBS-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner10.png	Assets/Product/Texture/Image/UiFubenYureSummer/YuReSummerBg.png		Assets/Product/Ui/ComponentPrefab/FubenYureSummer/FuBenYureSummerStrong.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageFightSummer.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageJuqingSummer.prefab	Assets/Product/Texture/Image/UiFubenYureSummer/UiFubenYuReSummerImg01.png	Assets/Product/Texture/Image/UiFubenYureSummer/UiFubenYuReSummerBg01.png	27	27	[10130150, 10130151, 10130152]		
7				夏日戏话	7			10306	SDW-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner15.png	Assets/Product/Texture/Image/UiFubenSwimming/FubenSwimmingBg.png		Assets/Product/Ui/ComponentPrefab/FubenSwimming/FuBenSwimmingStrong.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageFightSwimming.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageJuqingSwimming.prefab	Assets/Product/Texture/Image/UiFubenSwimming/FubenSwimmingImg01.png	Assets/Product/Texture/Image/UiFubenSwimming/FubenSwimmingBg01.png	27	27	[30130401, 30130402, 30130403, 30130404, 30130405, 30130406, 30130407]		
8				兰夜琢月	8			10306	DSF-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner14.png	Assets/Product/Texture/Image/UiFubenQiXi/FubenQiXiBg.png		Assets/Product/Ui/ComponentPrefab/FubenQiXi/FuBenQiXiStrong.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageFightSwimming.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageJuqingSwimming.prefab	Assets/Product/Texture/Image/UiFubenQiXi/FubenQiXiImg01.png	Assets/Product/Texture/Image/UiFubenQiXi/FubenQiXiBg01.png	27	5	[30130501, 30130502, 30130503, 30130504]		
9				道长争夺战	9		[20029]	10323	ZYG-	Assets/Product/Texture/Image/UiFubenDuanwu/FubenActivityBanner15.png	Assets/Product/Texture/Image/UiFubenZhongYuan/FubenZhongYuanGamebg.png		Assets/Product/Ui/ComponentPrefab/FubenZhongYuan/FuBenZhongYuanStrong.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageFightZhongYuan.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageJuqingZhongYuan.prefab	Assets/Product/Texture/Image/UIFubenYure/FubenYureCD01.png	Assets/Product/Texture/Image/UiFubenYureSummer/UiFubenYuReSummerBg01.png	27	27	[30130701, 30130702, 30130703, 30130704, 30130705, 30130706]		
10				雪痕	10			10306	RTP-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner10.png	Assets/Product/Texture/Image/UIFubenYure/FubenYureBg01.png		Assets/Product/Ui/ComponentPrefab/FubenYure/FuBenYureLuosaita.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageFightLuosaita.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageJuqingLuosaita.prefab	Assets/Product/Texture/Image/UIFubenYure/FubenYureCD01.png	Assets/Product/Texture/Image/UIFubenYure/FubenYureTitle01.png	27	27	[15020150, 15020151, 15020152]		
11				梨园·墟	11		[20031]	10306	ZYG-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner20.png	Assets/Product/Texture/Image/UIFubenYureQu/UIFubenYureQuBg01.jpg		Assets/Product/Ui/ComponentPrefab/FubenYureQu/FuBenYureQu.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageYureQu.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageYureQuStory.prefab	Assets/Product/Texture/Image/UIFubenYure/FubenYureCD01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg8.png	27	27	[15020201, 15020202, 15020203]		
