StageId	Text
30130411	You are suggested to wear headphones for the best gaming experience.
30130412	You are suggested to wear headphones for the best gaming experience.
30130413	You are suggested to wear headphones for the best gaming experience.
30130414	You are suggested to wear headphones for the best gaming experience.
30130415	You are suggested to wear headphones for the best gaming experience.
30130601	You are suggested to wear headphones for the best gaming experience.
30130602	You are suggested to wear headphones for the best gaming experience.
30130603	You are suggested to wear headphones for the best gaming experience.
30130604	You are suggested to wear headphones for the best gaming experience.
30130605	You are suggested to wear headphones for the best gaming experience.
30130451	Earphones Recommended
30130452	Earphones Recommended
30130453	Earphones Recommended
30130454	Earphones Recommended
30130455	Earphones Recommended
30130456	Earphones Recommended
30130457	Earphones Recommended
30130458	Earphones Recommended
30130459	Earphones Recommended
30130460	Earphones Recommended
30130461	Earphones Recommended
30130462	Earphones Recommended
30130463	Earphones Recommended
30130475	Earphones Recommended
30130476	Earphones Recommended
30130477	Earphones Recommended
30130478	Earphones Recommended
30130479	Earphones Recommended
30130480	Earphones Recommended
30130481	Earphones Recommended
30130482	Earphones Recommended
30130483	Earphones Recommended
30130484	Earphones Recommended
30130485	Earphones Recommended
30130486	Earphones Recommended
30130487	Earphones Recommended
