Id	Belong	Duration	BelongArgs	TriggerType	TriggerArgs	CvIds	Text
4	1	1200	[1131003]	1	[19]	[159070, 159065]	
8	1	5000	[1131003]	2	[25]	[159062, 159010, 159027, 159036]	['原来我们的小指挥官是这样度过一天的，天啊，还真称得上一句“模范”。', '叫人来把这里炸了，就不无聊了。', '天天都是这些东西，我都有些厌倦了。', '有机会就抓紧休息，需要动真格的时候就给我立刻爬起来。']
11	1		[1131003]	4		[159085]	
12	1	3000	[1131003]	5		[159008, 159001]	
13	1	3000	[1131003]	6		[159061]	
18	1	1200	[1131003]	1	[18]	[159064, 159069, 159074]	
19	1	1200	[1131003]	1	[16]	[159068]	
20	7	5000	[1002]	26	[2, 1, 0]		['看好了······<color=#f58220>三 !!!</color>', '<color=#f58220>二 !!</color>', '你要完蛋啦，<color=#f58220>一 !</color>']
21	7	5000	[1002]	30	[2, 1, 0]		['看好了······<color=#f58220>三 !!!</color>', '<color=#f58220>二 !!</color>', '你要完蛋啦，<color=#f58220>一 !</color>']
22	7	5000	[1006]	26	[2, 1, 0]		['看好了······<color=#f58220>三 !!!</color>', '<color=#f58220>二 !!</color>', '你要完蛋啦，<color=#f58220>一 !</color>']
23	7	5000	[1006]	30	[2, 1, 0]		['看好了······<color=#f58220>三 !!!</color>', '<color=#f58220>二 !!</color>', '你要完蛋啦，<color=#f58220>一 !</color>']
24	7	5000	[1002]	1	[26]		['就让你见识下我的金碧<color=#f58220>无敌之力</color>！']
25	7	5000	[1002]	1	[30]		['就让你见识下我的金碧<color=#f58220>无敌之力</color>！']
26	7	5000	[1006]	1	[26]		['这就是金碧<color=#f58220>无敌之力</color>！']
27	7	5000	[1006]	1	[30]		['这就是金碧<color=#f58220>无敌之力</color>！']
37	7	5000	[1001]	1	[22]		['嘻，燃起来了!!!']
38	7	5000	[1003]	1	[22]		['嘻，燃起来了!!!']
39	7	5000	[1005]	1	[22]		['嘻，燃起来了!!!']
40	7	8000	[1002]	5			['让我看看，是哪个小可爱来玩了？']
41	7	8000	[1006]	5			['这回碧儿有帮手了，肯定不会让你好过的嗷呜！']
42	7	8000	[1001]	5			['怎么了？看到我很惊讶吗？']
43	7	8000	[1003]	5			['嘻嘻……继续战斗吧！']
44	7	8000	[1005]	5			['别怪我们欺负你！']
45	7	8000	[1004]	5			['秘技——复制粘贴！']
