Id	UpGoodsId	GoodsId
101		[1061003, 1031003, 1011003, 1071003, 1051003, 1021003, 1041003, 1021004, 1141003, 1171003, 1121003, 1131003, 1031004, 1531004, 1051004, 1071004, 1041004, 1011004, 1091003, 1021005, 1221003, 1261003, 1271003, 1081004, 1521004, 1171004, 1241003, 1211003, 1021006, 1051005, 1321003, 1331003, 1531005, 1131004, 1041005, 1381003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1221002, 1231002, 1241002, 1251002, 1291002, 1301002, 1311002, 1341002, 1371002, 1021001, 1031001, 1051001]
201		[2016001, 2016002, 2026001, 2026002, 2026003, 2036001, 2036002, 2036003, 2046001, 2056001, 2056002, 2066001, 2066002, 2076001, 2076002, 2086001, 2026004, 2086002, 2096001, 2046002, 2016003, 2096002, 2026005, 2106001, 2026006, 2116001, 2136001, 2146001, 2176001, 2186001, 2196001, 2206001, 2216001, 2236001, 2226001, 2246001, 2256001, 2266001, 2276001, 2096003, 2286001, 2296001, 2306001, 2316001, 2326001, 2336001, 2346001, 2356001, 2366001, 2376001, 2046003, 2386001, 2406001, 2416001, 2426001, 2436001, 2446001, 2456001, 2466001, 2476001, 2486001, 2496001, 2506001, 2516001, 2526001, 2536001, 2546001, 2576001, 2586001, 2596001, 2616001]
211		[3016001, 3016002, 3016003, 3016004, 3016005, 3016006, 3016007, 3016008, 3016009, 3016010, 3016011, 3026001, 3026002, 3026003, 3026004, 3026005, 3026006, 3026007, 3026008, 3026009, 3026010, 3026011, 3036001, 3036002, 3036003, 3036004, 3036005, 3036006, 3036007, 3036008, 3036009, 3036010, 3036011, 3046001, 3046002, 3046003, 3046004, 3046005, 3046006, 3046007, 3046008, 3046009, 3046010, 3046011, 3056001, 3056002, 3056003, 3056004, 3056005, 3056006, 3056007, 3056008, 3056009, 3056010, 3056011, 3066001, 3066002, 3066003, 3066004, 3066005, 3066006, 3066007, 3066008, 3066009, 3066010, 3066011]
301	[2016001, 2015001]	[2076001, 2036002, 2075001, 2035001]
302	[2026001, 2025001]	[2086001, 2066002, 2085001, 2065001]
303	[2026002, 2025001]	[2056001, 2066001, 2055001, 2065001]
304	[2036001, 2035001]	[2046001, 2076001, 2045001, 2075001]
305	[2036002, 2035001]	[2016001, 2026001, 2015001, 2025001]
306	[2036003, 2035001]	[2066001, 2046001, 2065001, 2045001]
307	[2046001, 2045001]	[2026001, 2086001, 2025001, 2085001]
308	[2056001, 2055001]	[2026002, 2086001, 2025001, 2085001]
309	[2066001, 2065001]	[2036001, 2016001, 2035001, 2015001]
310	[2066002, 2065001]	[2036002, 2056001, 2035001, 2055001]
311	[2076001, 2075001]	[2036003, 2026002, 2035001, 2025001]
312	[2086001, 2085001]	[2066002, 2036001, 2065001, 2035001]
313	[2016002, 2015001]	[2076001, 2036002, 2075001, 2035001]
314	[2076002, 2075001]	[2036003, 2026002, 2035001, 2025001]
315	[2056002, 2055001]	[2066002, 2086001, 2065001, 2085001]
316	[2026004, 2025001]	[2016001, 2036001, 2015001, 2035001]
317	[2086002, 2085001]	[2076002, 2056002, 2075001, 2055001]
318	[2096001, 2095001]	[2066001, 2046001, 2065001, 2045001]
319	[2046002, 2045001]	[2076002, 2096001, 2075001, 2095001]
320	[2016003, 2015001]	[2056002, 2026004, 2055001, 2025001]
321	[2096002, 2095001]	[2086002, 2016003, 2085001, 2015001]
322	[2026005, 2025001]	[2056002, 2076002, 2055001, 2075001]
323	[2106001, 2105001]	[2086002, 2016003, 2085001, 2015001]
324	[2026006, 2025001]	[2096002, 2046002, 2095001, 2045001]
325	[2116001, 2115001]	[2026005, 2016002, 2025001, 2015001]
326	[2136001, 2135001]	[2106001, 2026006, 2105001, 2025001]
327	[2146001, 2145001]	[2036003, 2046002, 2035001, 2045001]
328	[2176001, 2175001]	[2116001, 2096001, 2115001, 2095001]
329	[2196001, 2195001]	[2056001, 2026004, 2055001, 2025001]
330	[2186001, 2185001]	[2086002, 2026005, 2085001, 2025001]
331	[2206001, 2205001]	[2026006, 2116001, 2115001, 2025001]
332	[2216001, 2215001]	[2096002, 2176001, 2095001, 2175001]
333	[2236001, 2235001]	[2206001, 2146001, 2205001, 2145001]
334	[2226001, 2225001]	[2136001, 2196001, 2135001, 2195001]
335	[2246001, 2245001]	[2216001, 2176001, 2215001, 2175001]
336	[2256001, 2255001]	[2186001, 2226001, 2185001, 2225001]
337	[2266001, 2265001]	[2106001, 2236001, 2105001, 2235001]
338	[2276001, 2275001]	[2256001, 2136001, 2255001, 2135001]
339	[2096003, 2095001]	[2206001, 2196001, 2205001, 2195001]
340	[2286001, 2285001]	[2146001, 2246001, 2145001, 2245001]
341	[2296001, 2295001]	[2276001, 2256001, 2275001, 2255001]
342	[2306001, 2305001]	[2266001, 2236001, 2265001, 2235001]
343	[2316001, 2315001]	[2286001, 2285001, 2216001, 2215001]
344	[2326001, 2325001]	[2246001, 2245001, 2296001, 2295001]
345	[2336001, 2335001]	[2226001, 2225001, 2316001, 2315001]
346	[2346001, 2345001]	[2186001, 2185001, 2276001, 2275001]
347	[2356001, 2355001]	[2306001, 2305001, 2296001, 2295001]
348	[2366001, 2365001]	[2266001, 2265001, 2326001, 2325001]
349	[2376001, 2375001]	[2336001, 2335001, 2286001, 2285001]
350	[2046003, 2045001]	[2096003, 2095001, 2346001, 2345001]
351	[2386001, 2385001]	[2316001, 2315001, 2356001, 2355001]
352	[2396001, 2395001]	[2346001, 2345001, 2336001, 2335001]
353	[2406001, 2405001]	[2356001, 2355001, 2366001, 2365001]
354	[2416001, 2415001]	[2376001, 2375001, 2046003, 2045001]
355	[2426001, 2425001]	[2326001, 2325001, 2366001, 2365001]
356	[2436001, 2435001]	[2376001, 2375001, 2406001, 2405001]
357	[2446001, 2445001]	[2386001, 2385001, 2426001, 2425001]
358	[2456001, 2455001]	[2356001, 2355001, 2416001, 2415001]
359	[2466001, 2465001]	[2436001, 2435001, 2446001, 2445001]
360	[2476001, 2475001]	[2346001, 2345001, 2376001, 2375001]
361	[2486001, 2485001]	[2456001, 2455001, 2336001, 2335001]
362	[2496001, 2495001]	[2466001, 2465001, 2316001, 2315001]
363	[2506001, 2505001]	[2406001, 2405001, 2426001, 2425001]
364	[2516001, 2515001]	[2046003, 2045001, 2486001, 2485001]
365	[2526001, 2525001]	[2386001, 2385001, 2446001, 2445001]
366	[2536001, 2535001]	[2496001, 2495001, 2476001, 2475001]
367	[2546001, 2545001]	[2466001, 2465001, 2456001, 2455001]
368	[2556001, 2555001]	[2566001, 2565001, 2436001, 2435001]
369	[2566001, 2565001]	[2556001, 2555001, 2436001, 2435001]
370	[2576001, 2575001]	[2516001, 2515001, 2406001, 2405001]
371	[2586001, 2585001]	[2506001, 2505001, 2486001, 2485001]
372	[2596001, 2595001]	[2536001, 2535001, 2546001, 2545001]
373	[2606001, 2605001]	[2526001, 2525001, 2586001, 2585001]
374	[2616001, 2615001]	[2576001, 2575001, 2466001, 2465001]
375	[2626001, 2625001]	[2536001, 2535001, 2596001, 2595001]
