CharacterId	WinSkillId	EquipId	Desc
1011003	101121	2013001	里·乱数
1031003	102321	2033001	丽芙·仰光
1061003	101620	2063001	神威·暗能
1071003	101717	2073001	卡列尼娜·烬燃
1051003	101519	2053001	七实·脉冲
1021003	102221	2023001	露西亚·深红之渊
1041003	101419	2043001	比安卡·真理
1021004	103219	2023001	露西亚·鸦羽
1511003	110444	2104001	卡穆·狂犬
1141003	110520	2114001	罗塞塔·凛冽
1521003	110619	2134001	曲·雀翎
1171003	110821	2174001	露娜·银冕
1181003	120125	2125001	2B
1191003	120323	2165001	9S
1201003	120221	2155001	A2
1531003	130121	2194001	赛琳娜·岚音
1121003	111229	2204001	库洛姆·荣光
1131003	111329	2234001	薇拉·绯耀
1541003	130219	2224001	罗兰·戏炎
1031004	103329	2244001	丽芙·极昼
1531004	131135	2254001	赛琳娜·幻奏
1551003	130439	2264001	蒲牢·华钟
1051004	105434	2274001	七实·遥星之座
1561003	130520	2094001	哈卡玛·隐星
1071004	102717	2284001	卡列尼娜·辉晓
1571003	130625	2294001	诺安·逆旅
1041004	102440	2304001	比安卡·深痕
1011004	102132	2324001	里·超刻
1091003	101925	2334001	艾拉·万华
1021005	105221	2344001	露西亚·深红囚影
1221003	131341	2364001	21号·森息
1261003	102845	2043001	亚里莎·回音
1271003	113821	2384001	拉弥亚·深谣
1081004	103844	2404001	渡边·尘铭
1521004	112644	2414001	曲·启明
1171004	111821	2434001	露娜·终焉
1241003	112432	2454001	含英·檀心
1211003	111932	2464001	万事·明晰梦
1021006	106255	2474001	露西亚·誓焰
1051005	130821	2494001	七实·芒星之迹
1321003	103021	2504001	伊什梅尔·幻日
1331003	102532	2514001	莉莉丝·谬影
1531005	112521	2524001	赛琳娜·希声
1131004	112311	2544001	薇拉·灼惘
1351003	101098	2555001	维吉尔
1361003	146531	2565001	但丁
1041005	106489	2574001	比安卡·晖暮
1381003	103958	2594001	维罗妮卡·铮骨
1031005	105312	2604001	丽芙·霁梦
1291003	114144	2614001	布偶熊·骇影
1141004	104620	2624001	罗塞塔·极锋
1391003	104019	2634001	涅缇娅·亡歌
1061004	104976	2644001	神威·不落日
1021007	107290	2654001	露西亚·逆冕
