Id	Priority	UpProbability	UpProbabilityDesc	UpProbabilityPercent	Bg	ProbabilityBg	IsChangePos	IconPosX	IconPosY	IsChangeSize	IconWidth	IconHeight	IsChangeRot	RotZ	NewTimeId
101	10000	<color=#26bbf9>随机泛用机体</color>			Assets/Product/Texture/Image/UiDrawLog/RandomACharDrawNew.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									
301	8170	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	18.0	5.0	1	706.51	764.5999	1	-10.0	
302	8160	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-8.0	8.0	1	481.13	520.6799	1	-10.0	
303	8150	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-8.0	8.0	1	481.13	520.6799	1	-10.0	
304	8140	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-8.6	14.0	1	533.4199	577.27	1	-10.0	
305	8130	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-8.6	14.0	1	533.4199	577.27	1	-10.0	
306	8120	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-17.0	16.0	1	559.2399	605.21	1	-10.0	
307	8110	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-10.0	19.0	1	613.94	664.4099	1	-10.0	
308	8100	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-8.6	14.0	1	533.4199	577.27	1	-10.0	
309	8090	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-6.0	7.0	1	589.5599	638.03	1	-10.0	
310	8080	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-6.0	7.0	1	571.94	618.9699	1	-10.0	
311	8070	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1		24.0	1	696.6199	753.89	1	-10.0	
312	8060	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	2.0	7.0	1	663.8599	718.44	1	-10.0	
313	8050	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	10.0	9.0	1	645.95	699.0599	1	-10.0	
314	8040	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-4.0	17.0	1	688.4299	745.02	1	-10.0	
315	8030	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	2.0	7.0	1	565.64	612.15	1	-10.0	
316	8020	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-14.0	9.0	1	455.72	493.1799	1	-10.0	
317	8010	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	2.0	7.0	1	663.8599	718.44	1	-10.0	
318	8000	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-37.0	-4.0	1	550.7999	596.08	1	-10.0	
319	7990	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-14.0	-3.0	1	613.94	664.4099	1	-10.0	
320	7980	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	10.0	9.0	1	645.95	699.0599	1	-10.0	
321	7970	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-27.0	-26.0	1	546.395	591.3099	1	-10.0	
322	8180	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-4.0	11.5	1	457.14	494.73	1	-10.0	
323	8190	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	10.0	12.0	1	515.27	557.63	1	-10.0	
324	8200	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-1.0	12.0	1	472.5	511.3399	1	-10.0	
325	8210	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-22.0	-11.0	1	698.21	755.6199	1	-10.0	
326	8220	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-4.0	-5.0	1	625.52	676.95	1	-10.0	
327	8230	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1		23.0	1	606.3599	656.21	1	-10.0	
328	8240	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	3.0	4.0	1	678.4199	734.2	1	-10.0	
329	8250	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-21.0	-29.0	1	557.4	603.2199	1	-10.0	
330	8260	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-16.0	2.0	1	593.2299	642.0	1	-10.0	
331	8270	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	1.0	7.0	1	573.9899	621.1799	1	-10.0	
332	8280	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-30.0	20.0	1	602.01	651.51	1		
333	8290	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-2.0	-6.0	1	551.89	597.27	1	-10.0	
334	8300	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	16.0	35.0	1	613.94	664.4099	1	-10.0	
335	8310	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-21.0	20.0	1	675.5	731.03	1	-10.0	
336	8320	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-8.0	37.0	1	613.94	664.4099	1	-10.0	
337	8330	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-16.0	19.0	1	622.03	673.1699	1	-10.0	
338	8340	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-17.5	-7.8	1	580.6799	628.4199	1	-10.0	
339	8350	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-32.0	-19.0	1	607.1699	657.08	1	-10.0	
340	8360	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-19.0	-39.0	1	608.8699	658.9299	1	-10.0	
341	8370	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-8.0	9.0	1	613.94	664.4099	1	-10.0	
