Key	Desc	ValueList
DrawTargetDefaultRoleImg	校准活动A级默认空图标	['Assets/Product/Texture/Image/UiDrawLog/UiDrawARandom.png']
DrawTargetSelectNoneRoleImg	校准活动选择角色默认空图标	['Assets/Product/Texture/Image/UiDrawLog/UiDrawIconNone.png']
DrawTargetSelectNoneRoleText	校准活动选择角色默认空文本	['<color=red>暂不选择</color>']
DrawTargetAUpIcon	校准活动原卡池A级默认等级图标	['Assets/Product/Texture/Atlas/UiDrawCard/UiDrawIconA2.png', 'Assets/Product/Texture/Atlas/UiDrawCard/UiDrawIconA1.png', 'Assets/Product/Texture/Atlas/UiDrawCard/UiDrawIconA2HX.png', 'Assets/Product/Texture/Atlas/UiDrawCard/UiDrawIconA1HX.png']
DrawTargetSUpIcon	校准活动原卡池A级默认等级图标	['Assets/Product/Texture/Atlas/UiDrawCard/UiDrawIconS.png', 'Assets/Product/Texture/Atlas/UiDrawCard/UiDrawIconSHX.png']
DrawCD	卡池抽卡CD	['0.7']
DrawNewGroupIds	使用初夏卡池UI模板的卡池	['23', '24', '27', '28', '17', '18']
DrawDiscountGroupIds	折扣卡池，需要显示原价的	['27', '28', '29', '30', '31', '32']
DrawDevilMayCryGroupIds	鬼泣卡池	['29', '30', '31', '32']
NotShowChooseDrawGroupRuleId	不弹出选择弹窗的Id	['1']
DrawHideOptionalBtnGroupIds	可肝卡池	['35', '36']
