Id	TitleCN	TitleEN	RareRank	GroupBtnBg	MainRules	BaseRuleTitles	BaseRules	EventRuleTitles	EventRules	UpType	UpQuality	UpProbability	BottomText	NewHandBottomCount	SpecialBottomMin	SpecialBottomMax	DrawBottomHint	IsNotSelectDefault	IsShowFilter	CharFilterElementList	DrawRules	IsCharacterImage	DrawName
1	成员狙击	Standard Mode	1		['每10回必有A级或以上泛用机体', '每60回必有S级泛用机体']	['基准模式', '狙击模式', '新角色加入', '特别说明']	['选择基准模式，每研发十次，必有随机A级或以上角色加入队伍', '选择某角色的狙击模式，每研发十次，必有A级或以上泛用机体。若产出的泛用机体为A级泛用机体，则所选狙击的角色占A级角色产出率UP', '新的A级角色进入狙击模式的时间请参考相关公告说明', '在成员狙击卡池中，A级及S级角色的保底次数均不会因狙击角色的变更而受影响，即保底次数继承']						S级保底	40					1	[1, 2, 3, 4, 5, 6]	['<color=#ff5f2d>S级角色</color>', '<color=#ff5f2d>10回</color>必出<color=#ff5f2d>A级</color>或以上角色']		
2	武器研发	Standard Mode			['每研发10次必出五星或以上武器', '每研发30次必出六星武器']	['10连保底五星武器', '30连保底六星武器']	['每研发10次必出五星或以上武器。', '每研发30次必出六星武器。']						6星保底										
4	狙击武器研发	Optional Mode			['任选一组UP，占6星出率80%', '每研发10次必出五星或以上武器', '每研发30次必出六星武器']	['自选组合', '狙击模式详解', '校准系统', '源树脉络武器获取规则']	['选择1种装备组合进行抽取，特定组合获得概率提升。', '狙击武器可以选择你想要的武器进行大幅度概率提升。', '抽出六星武器时，如果没有抽到当前选中的目标武器，则会触发校准系统，下次抽出六星武器时，必定为当前选中的自选目标武器。（校准保底同名卡池继承）', '限定武器仅在源树脉络研发开启期间开放获取，指挥官无法从其他途径获取相关限定内容。【无光暮途】以及【空境悬海的涟漪】卡池将视为源树脉络卡池。']						6星保底						1		['<color=#ff5f2d>6星武器</color>', '<color=#ff5f2d>10回</color>必出<color=#ff5f2d>5星</color>或以上武器']		
6	宿舍研发	Standard Mode			['每10回必出涂装设计草稿。']	['抽取内容', '抽取备注']	['可抽取家具、改造图纸、涂装设计草稿、入住凭证。', '版本新型家具暂不加入卡池。']				<color=#fee82a>6星</color>	<color=#fee82a>80%</color>	保底										
10	主题狙击武器	Standard Mode			['每研发10次必出五星或以上武器', '每研发30次必出六星武器']	['10连保底五星武器', '30连保底六星武器']	['每研发10次必出五星或以上武器。', '每研发30次必出六星武器。']	['占6星出率']	['若研发时抽出6星武器，则有80%几率判定为UP武器。']	武器	<color=#fee82a>6星</color>	<color=#fee82a>80%</color>	6星保底										
11	逆冕活动角色	Standard Mode	2		['每10回必有A级或以上泛用机体', '每60回必有S级泛用机体']	['10连保底A级', '60连保底S级', '卡池保底继承规则', '源树脉络卡池规则']	['每研发10次，必有A级或以上泛用机体加入队伍。', '每研发60次，必有S级泛用机体加入队伍。', '名字类型相同的卡池继承保底，否则不继承。例如【降临限定角色池】结束后，新的【降临限定角色池】继承保底。【逆冕活动角色】视为源树脉络卡池的同时，与【主题活动角色池】以及【源树脉络复刻池】互相继承保底。', '源树脉络研发为限定卡池，指挥官无法从其他途径获取相关限定内容。【逆冕活动角色池】以及【源树脉络复刻池】将视为源树脉络卡池。']	['占S级出率']	['若研发时抽出S级泛用机体，则必为UP角色。']	泛用机体	<color=#fee82a>S级</color>	<color=#fee82a>100%</color>	S级保底								['<color=#ff5f2d>S级角色</color>', '<color=#ff5f2d>10回</color>必出<color=#ff5f2d>A级</color>或以上角色']		
12	降临狙击角色	Standard Mode	2		['每10回必有A级或以上泛用机体', '每60回必有S级泛用机体']	['60连保底S级', '卡池保底继承规则', '校准系统']	['每研发60次，必有S级泛用机体加入队伍，产出的S级泛用机体必定为当期降临活动的机体。选择某角色的狙击模式，自选狙击的S级泛用机体占S级泛用机体产出率UP', '名字类型相同的卡池继承保底，否则不继承。（校准系统同理）例如【降临限定角色池】结束后，新的【降临限定角色池】继承保底。', '抽出S级角色时，如果没有抽到当前选中的目标角色，则会触发校准系统，下次抽出S级角色时，必定为当前选中的自选目标角色。（校准保底同名卡池继承）']	['占S级出率']	['若研发时抽出S级泛用机体，则有70%几率判定为UP角色。']	泛用机体	<color=#fee82a>S级</color>	<color=#fee82a>70%</color>	S级保底								['<color=#ff5f2d>S级角色</color>', '<color=#ff5f2d>10回</color>必出<color=#ff5f2d>A级</color>或以上角色']	1	降临狙击
13	命运降临狙击角色	Standard Mode	2		['1.每10回必有A级或以上泛用机体', '2.每80~100回必有S级泛用机体', '3.综合概率与降临角色池一致', '4.S级角色基础掉落概率提升']	['浮动保底', '基础掉率（不含保底）', '综合掉率（含保底）', '卡池保底继承规则', '校准系统']	['系统会在80-100随机一个值，比如随机到90，那么本次S级保底次数为90，抽出S级后重新随机保底次数。', 'S级泛用机体基础掉率1.5%，产出的S级泛用机体必定为当期降临活动的机体。选择某角色的狙击模式，则所选狙击的角色占S级角色产出率UP', 'S级泛用机体综合掉率和其他卡池一致（1.9%）', '名字类型相同的卡池继承保底，否则不继承。（校准系统同理）例如【降临限定角色池】结束后，新的【降临限定角色池】继承保底。', '抽出S级角色时，如果没有抽到当前选中的目标角色，则会触发校准系统，下次抽出S级角色时，必定为当前选中的自选目标角色。（校准保底同名卡池继承）']	['占S级出率']	['若研发时抽出S级泛用机体，则有70%几率判定为UP角色。']	泛用机体	<color=#fee82a>S级</color>	<color=#fee82a>70%</color>	S级保底		80	100					['<color=#ff5f2d>S级角色</color>', '<color=#ff5f2d>10回</color>必出<color=#ff5f2d>A级</color>或以上角色']	1	命运降临狙击
14	降临活动角色	Standard Mode	2		['每10回必有A级或以上泛用机体', '每60回必有S级泛用机体']	['10连保底A级', '60连保底S级', '卡池保底继承规则']	['每研发10次，必有A级或以上泛用机体加入队伍。', '每研发60次，必有S级泛用机体加入队伍。', '名字类型相同的卡池继承保底，否则不继承。例如【降临限定角色池】结束后，新的【降临限定角色池】继承保底。']	['占S级出率']	['若研发时抽出S级泛用机体，则有70%几率判定为UP角色。']	泛用机体	<color=#fee82a>S级</color>	<color=#fee82a>70%</color>	S级保底										
15	命运逆冕活动角色	Standard Mode	2		['1.每10回必有A级或以上泛用机体', '2.每80~100回必有S级泛用机体', '3.综合概率与主题角色池一致', '4.S级角色基础掉落概率提升']	['浮动保底', '基础掉率（不含保底）', '综合掉率（含保底）', '卡池保底继承规则', '源树脉络卡池规则']	['系统会在80-100随机一个值，比如随机到90，那么本次S级保底次数为90，抽出S级后重新随机保底次数。', 'S级泛用机体基础掉率1.5%。', 'S级泛用机体综合掉率和其他卡池一致（1.9%）', '名字类型相同的卡池继承保底，否则不继承。例如【降临限定角色池】结束后，新的【降临限定角色池】继承保底。', '源树脉络研发为限定卡池，指挥官无法从其他途径获取相关限定内容。【命运逆冕活动角色池】以及【命运源树脉络复刻池】将视为源树脉络卡池。']	['占S级出率']	['若研发时抽出S级泛用机体，则必为UP角色。']	泛用机体	<color=#fee82a>S级</color>	<color=#fee82a>100%</color>	S级保底		80	100					['<color=#ff5f2d>S级角色</color>', '<color=#ff5f2d>10回</color>必出<color=#ff5f2d>A级</color>或以上角色']		
