GroupId	Note	Bg	HalfBg	NameBg
1	通用品质1	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow08.png	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow09.png	Assets/Product/Texture/Atlas/UiNewDrawShow/UiNewDrawShowbg.png
2	通用品质2	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow08.png	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow09.png	Assets/Product/Texture/Atlas/UiNewDrawShow/UiNewDrawShowbg.png
3	通用品质3	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow08.png	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow09.png	Assets/Product/Texture/Atlas/UiNewDrawShow/UiNewDrawShowbg.png
4	通用品质4	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow01.png	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow02.png	Assets/Product/Texture/Atlas/UiNewDrawShow/UiNewDrawShowbg2.png
5	通用品质5	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow04.png	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow05.png	Assets/Product/Texture/Atlas/UiNewDrawShow/UiNewDrawShowbg3.png
6	通用品质6	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow06.png	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow07.png	Assets/Product/Texture/Atlas/UiNewDrawShow/UiNewDrawShowbg4.png
7	比安卡卡池紫	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow01.png	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow02.png	Assets/Product/Texture/Atlas/UiNewDrawShow/UiNewDrawShowbg2.png
8	比安卡卡池橙	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow04.png	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow05.png	Assets/Product/Texture/Atlas/UiNewDrawShow/UiNewDrawShowbg3.png
9	比安卡卡池红	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow06.png	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow07.png	Assets/Product/Texture/Atlas/UiNewDrawShow/UiNewDrawShowbg4.png
10	拉弥亚卡池	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow01.png	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow02.png	Assets/Product/Texture/Atlas/UiNewDrawShow/UiNewDrawShowbg2.png
11	拉弥亚卡池	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow04.png	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow05.png	Assets/Product/Texture/Atlas/UiNewDrawShow/UiNewDrawShowbg3.png
12	拉弥亚卡池	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow06.png	Assets/Product/Texture/Image/UiDrawImage/UiNewDrawShow07.png	Assets/Product/Texture/Atlas/UiNewDrawShow/UiNewDrawShowbg4.png
