Type	TypeText	QualityText	UiAnim	UiResultAnim	DrawEffectGroupId	GachaEffectGroupId	DrawPictureGroupId
	道具	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop	[1, 2, 3, 4, 5, 6]	[7, 8, 9, 10, 11, 12]	[1, 2, 3, 4, 5, 6]
1	成员	['<color=#d580ff>B级</color>', '<color=#ffd953>A级</color>', '<color=#fa5826>S级</color>', '<color=#fa5826>SS级</color>', '<color=#fa5826>SSS级</color>', '<color=#fa5826>SSS级</color>']	RoleShowBegan	RoleShowLoop	[5, 5, 6, 6, 6, 6]	[11, 11, 12, 12, 12, 12]	[5, 5, 6, 6, 6, 6]
2	武器	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	EquipShowBegan	EquipShowLoop	[1, 2, 3, 4, 5, 6]	[7, 8, 9, 10, 11, 12]	[1, 2, 3, 4, 5, 6]
3	意识	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	AwakeShowBegan	AwakeShowLoop	[1, 2, 3, 4, 5, 6]	[7, 8, 9, 10, 11, 12]	[1, 2, 3, 4, 5, 6]
6	成员涂装	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	RoleShowBegan	RoleShowLoop	[1, 2, 3, 4, 5, 6]	[7, 8, 9, 10, 11, 12]	[1, 2, 3, 4, 5, 6]
7	基地装备	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop	[1, 2, 3, 4, 5, 6]	[7, 8, 9, 10, 11, 12]	[1, 2, 3, 4, 5, 6]
8	家具	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop	[1, 2, 3, 4, 5, 6]	[7, 8, 9, 10, 11, 12]	[1, 2, 3, 4, 5, 6]
9	头像	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop	[1, 2, 3, 4, 5, 6]	[7, 8, 9, 10, 11, 12]	[1, 2, 3, 4, 5, 6]
12	武器涂装	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	EquipShowBegan	EquipShowLoop	[1, 2, 3, 4, 5, 6]	[7, 8, 9, 10, 11, 12]	[1, 2, 3, 4, 5, 6]
16	辅助机	['<color=#d580ff>B级</color>', '<color=#ffd953>A级</color>', '<color=#fa5826>S级</color>', '<color=#fa5826>SS级</color>', '<color=#fa5826>SSS级</color>', '<color=#fa5826>SSS级</color>']	PartnerShowBegan	PartnerShowLoop	[5, 5, 6, 6, 6, 6]	[7, 8, 9, 10, 11, 12]	[5, 5, 6, 6, 6, 6]
