Id	Name	ActivityTimeId	ActivityCondition	StagePrefix	OpenCondition	BannerIcon	Background	ChapterIcon	FubenPrefab	FightStagePrefab	StoryStagePrefab	StoryStageDetailBg	StoryStageDetailIcon	StageIds	Order	NewTag	PartnerId
1	适配拟合·庭霓		[8006]	CRA-	[1002003]	Assets/Product/Texture/Image/UiPartnerTeaching/Banner/UiPartnerTeachingBannerChapter01.png	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingChapterBg01.png		Assets/Product/Ui/ComponentPrefab/PartnerTeaching/HeTeachingChapter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePartnerTeachingFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePartnerTeachingStory.prefab	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingImgBgHe01.png	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingImgBgHe02.png	[30101111, 30101112, 30101009]	1	新辅助机	16030000
2	适配拟合·霜誓		[8006]	FV-	[1002004]	Assets/Product/Texture/Image/UiPartnerTeaching/Banner/UiPartnerTeachingBannerChapter02.png	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingChapterBg02.png		Assets/Product/Ui/ComponentPrefab/PartnerTeaching/MaTeachingChapter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePartnerTeachingFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePartnerTeachingStory.prefab	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingImgBgMa01.png	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingImgBgMa02.png	[30101121, 30101012, 30101123, 30101124, 30101125]	2	新辅助机	16040000
3	适配拟合·宵煌		[8006]	CR-	[1002006]	Assets/Product/Texture/Image/UiPartnerTeaching/Banner/UiPartnerTeachingBannerChapter03.png	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingChapterBg03.png		Assets/Product/Ui/ComponentPrefab/PartnerTeaching/MaoTeachingChapter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePartnerTeachingFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePartnerTeachingStory.prefab	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingImgBgMa01.png	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingImgBgMa02.png	[30101019]	3	新辅助机	16060000
4	适配拟合·沧翊		[8006]	INF-	[1002017]	Assets/Product/Texture/Image/UiPartnerTeaching/Banner/UiPartnerTeachingBannerChapter04.png	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingChapterBg04.png		Assets/Product/Ui/ComponentPrefab/PartnerTeaching/MaoTeachingChapter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePartnerTeachingFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePartnerTeachingStory.prefab	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingChapterEagleStage01.png	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingImgBgMa02.png	[30101021]	4	新辅助机	16080000
5	适配拟合·啸钺		[8006]	BR-	[1002119]	Assets/Product/Texture/Image/UiPartnerTeaching/Banner/UiPartnerTeachingBannerChapter05.png	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingChapterBg05.png		Assets/Product/Ui/ComponentPrefab/PartnerTeaching/HuTeachingChapter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePartnerTeachingFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePartnerTeachingStory.prefab	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingChapterHuStage01.png	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingImgBgMa02.png	[30101024]	5	新辅助机	16100000
6	适配拟合·暝月		[8006]	LN-	[1002120]	Assets/Product/Texture/Image/UiPartnerTeaching/Banner/UiPartnerTeachingBannerChapter06.png	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingChapterBg06.png		Assets/Product/Ui/ComponentPrefab/PartnerTeaching/TuTeachingChapter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePartnerTeachingFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePartnerTeachingStory.prefab	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingChapterTuStage01.png	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingImgBgMa02.png	[30101028]	6	新辅助机	16110000
7	适配拟合·霏粼		[8006]	FN-	[1002121]	Assets/Product/Texture/Image/UiPartnerTeaching/Banner/UiPartnerTeachingBannerChapter07.png	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingChapterBg07.png	Assets/Product/Texture/Image/UiPartnerTeaching/Banner/UiPartnerTeachingBigBanner01.png	Assets/Product/Ui/ComponentPrefab/PartnerTeaching/TuTeachingChapter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePartnerTeachingFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePartnerTeachingStory.prefab	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingChapterYuStage01.png	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingImgBgMa02.png	[30101031]	7	新辅助机	16120000
8	适配拟合·掣矩		[8006]	CJ-	[1002122]	Assets/Product/Texture/Image/UiPartnerTeaching/Banner/UiPartnerTeachingBannerChapter08.png	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingChapterBg08.png	Assets/Product/Texture/Image/UiPartnerTeaching/Banner/UiPartnerTeachingBigBanner02.png	Assets/Product/Ui/ComponentPrefab/PartnerTeaching/TuTeachingChapter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePartnerTeachingFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePartnerTeachingStory.prefab	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingChapterQuanStage01.png	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingImgBgMa02.png	[30101038]	8	新辅助机	16130000
9	适配拟合·虹霁		[8006]	HJ-	[1002123]	Assets/Product/Texture/Image/UiPartnerTeaching/Banner/UiPartnerTeachingBannerChapter09.png	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingChapterBg09.png	Assets/Product/Texture/Image/UiPartnerTeaching/Banner/UiPartnerTeachingBigBanner03.png	Assets/Product/Ui/ComponentPrefab/PartnerTeaching/TuTeachingChapter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePartnerTeachingFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePartnerTeachingStory.prefab	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingChapterWuzeiStage01.png	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingImgBgMa02.png	[30101041]	9	新辅助机	16140000
10	适配拟合·坼霆		[8006]	CT-	[1002124]	Assets/Product/Texture/Image/UiPartnerTeaching/Banner/UiPartnerTeachingBannerChapter10.png	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingChapterBg10.png	Assets/Product/Texture/Image/UiPartnerTeaching/Banner/UiPartnerTeachingBigBanner04.png	Assets/Product/Ui/ComponentPrefab/PartnerTeaching/TuTeachingChapter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePartnerTeachingFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePartnerTeachingStory.prefab	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingChapterMotorStage01.png	Assets/Product/Texture/Image/UiPartnerTeaching/Chapter/UiPartnerTeachingImgBgMa02.png	[30101044]	10	新辅助机	16150000
