Id	Name	Description	WorldDesc	BigIcon	Icon	ItemType	Quality	Priority	MaxCount	GridCount	TimelinessType	StartTime	Duration	RecycleRewardId	RecycleByMail	SellForId	SellForCount	RecType	RecTime	RecCount	SuitId	FastTrading	SkipIdParams	SubTypeParams
999999	空花测试道具	含有重要化合物的通用材料。	黄金时代被广泛运用在工业生产中的标准螺母，在其中含有的钽-193共聚物被发现具有极高的生物亲和性之后，成为了研发构造体的重要材料。	Assets/Product/Texture/Image/Iconcurrency/IconConsumeMoney.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	3	3	10																
990000	测试货币A	含有重要化合物的通用材料。	黄金时代被广泛运用在工业生产中的标准螺母，在其中含有的钽-193共聚物被发现具有极高的生物亲和性之后，成为了研发构造体的重要材料。	Assets/Product/Texture/Image/Iconcurrency/IconConsumeMoney.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	1048580	3	1																
990001	测试货币B	含有重要化合物的通用材料。	黄金时代被广泛运用在工业生产中的标准螺母，在其中含有的钽-193共聚物被发现具有极高的生物亲和性之后，成为了研发构造体的重要材料。	Assets/Product/Texture/Image/Iconcurrency/IconConsumeActionPoint.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeActionPointSp.png	1048580	4	2	5000															
990002	普通材料A	测试用材料	Quality1	Assets/Product/Texture/Image/IconTools/ItCharEx2.png	Assets/Product/Texture/Image/IconToolsSp/ItCharEx2Sp.png	4	1	3	500	100													[4104]	
990003	普通材料B	测试用材料	Quality2	Assets/Product/Texture/Image/IconTools/ItCharEx2.png	Assets/Product/Texture/Image/IconToolsSp/ItCharEx2Sp.png	4	2	4	500	100													[4104]	
990004	普通材料C	测试用材料	Quality3	Assets/Product/Texture/Image/IconTools/ItCharEx2.png	Assets/Product/Texture/Image/IconToolsSp/ItCharEx2Sp.png	4	3	5	500	100													[4104]	
990005	普通材料D	测试用材料	Quality4	Assets/Product/Texture/Image/IconTools/ItCharEx2.png	Assets/Product/Texture/Image/IconToolsSp/ItCharEx2Sp.png	4	4	6	500	100													[4104]	
990006	普通材料E	测试用材料	Quality5	Assets/Product/Texture/Image/IconTools/ItCharEx2.png	Assets/Product/Texture/Image/IconToolsSp/ItCharEx2Sp.png	4	5	7	500	100													[4104]	
990007	普通材料F	测试用材料	Quality6	Assets/Product/Texture/Image/IconTools/ItCharEx2.png	Assets/Product/Texture/Image/IconToolsSp/ItCharEx2Sp.png	4	6	8	500	100													[4104]	
990008	固定礼包	使用后可获得30毫升血清。	保证指挥官行动的小型血清组，能保存若干血清。	Assets/Product/Texture/Image/IconTools/ItBatI010010.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010010Sp.png	16	3	77	999	999														[1, 990008]
990009	单选礼包	使用后可在19个S级泛用机体中，任选获得其中1个。	可选S级泛用机体：仰光、乱数、烬燃、暗能、脉冲、深红之渊、真理、鸦羽、凛冽、银冕、荣光、绯耀、极昼、幻奏、遥星之座、辉晓、深痕、超刻、万华。   <color=#CA1F31> 礼包将于2024年4月18日 5:00过期</color>	Assets/Product/Texture/Image/IconTools/ItZixuanS010.png	Assets/Product/Texture/Image/IconToolsSp/ItZixuanS010Sp.png	16	3	9	1	1														[3, 990009, 1]
990010	多选礼包	使用后可在19个S级泛用机体中，任选获得其中1个。	可选S级泛用机体：仰光、乱数、烬燃、暗能、脉冲、深红之渊、真理、鸦羽、凛冽、银冕、荣光、绯耀、极昼、幻奏、遥星之座、辉晓、深痕、超刻、万华。   <color=#CA1F31> 礼包将于2024年4月18日 5:00过期</color>	Assets/Product/Texture/Image/IconTools/IconNewbieZixuan08.png	Assets/Product/Texture/Image/IconToolsSp/IconNewbieZixuan08Sp.png	16	4	10	1	1														[3, 990010, 3]
990011	自开礼包	使用后可在19个S级泛用机体中，任选获得其中1个。	可选S级泛用机体：仰光、乱数、烬燃、暗能、脉冲、深红之渊、真理、鸦羽、凛冽、银冕、荣光、绯耀、极昼、幻奏、遥星之座、辉晓、深痕、超刻、万华。   <color=#CA1F31> 礼包将于2024年4月18日 5:00过期</color>	Assets/Product/Texture/Image/IconTools/IconNewbieZixuan09.png	Assets/Product/Texture/Image/IconToolsSp/IconNewbieZixuan09Sp.png	16	5	11	2	1														[5, 990011]
990012	【测试】历程积分	【测试】历程积分描述1	【测试】历程积分描述2	Assets/Product/Texture/Image/IconTools/UiBigWorldProcessIconEXP01.png	Assets/Product/Texture/Image/IconToolsSp/UiBigWorldProcessIconEXP01Sp.png	1	3	10	1000															
990013	【测试】背包可使用道具	使用后可获得60毫升血清。	由露西亚亲手制作的阿呆蛙挂件，虽然略显粗糙，但其中却包含了她全部的心意。	Assets/Product/Texture/Image/IconTools/GiftLucia.png	Assets/Product/Texture/Image/IconToolsSp/GiftLuciaSp.png	16	4	10	99999	999														[1, 1107]
950000	辰星勋徽	累积至一定额度可换取额外福利。	行动完成后后可获得的纪念徽章，标志清单内的任务圆满达成。	Assets/Product/Texture/Image/IconTools/UiBigWorldProcessIconEXP01.png	Assets/Product/Texture/Image/IconToolsSp/UiBigWorldProcessIconEXP01Sp.png	1	3	10	1000															
950001	曦月勋徽	累积至一定额度可换取额外福利。	行动完成后后可获得的纪念徽章，标志清单内的任务圆满达成。	Assets/Product/Texture/Image/IconTools/UiBigWorldProcessIconEXP02.png	Assets/Product/Texture/Image/IconToolsSp/UiBigWorldProcessIconEXP02Sp.png	1	3	10	1000															
950002	耀日勋徽	累积至一定额度可换取额外福利。	行动完成后后可获得的纪念徽章，标志清单内的任务圆满达成。	Assets/Product/Texture/Image/IconTools/UiBigWorldProcessIconEXP03.png	Assets/Product/Texture/Image/IconToolsSp/UiBigWorldProcessIconEXP03Sp.png	1	3	10	1000															
990014	迷你卫星模型	完成【空域迷航】玩法后获得	用收集回的太空资源边角料做成的小型卫星模型，充分利用资源的象征	Assets/Product/Texture/Image/IconToolsSp/UiSkyGardenSGDroneItemIconSp.png	Assets/Product/Texture/Image/IconTools/UiSkyGardenSGDroneItemIcon.png	2097156	5	10	5000															
