Id	Quality	MaxLevel	Name	Icon
1001	4	3	补强机构	Assets/Product/Texture/Image/UiInfestorExplore/Equip001.png
1002	4	1	备用核心	Assets/Product/Texture/Image/UiInfestorExplore/Equip010.png
1003	4	3	维修凝胶	Assets/Product/Texture/Image/UiInfestorExplore/Equip012.png
1004	4	3	补强隔板	Assets/Product/Texture/Image/UiInfestorExplore/Equip013.png
1005	4	3	零件通用	Assets/Product/Texture/Image/UiInfestorExplore/Equip014.png
1006	4	3	战地维修	Assets/Product/Texture/Image/UiInfestorExplore/Equip015.png
2001	5	3	燃料纯化	Assets/Product/Texture/Image/UiInfestorExplore/Equip005.png
2002	5	3	电路改良	Assets/Product/Texture/Image/UiInfestorExplore/Equip006.png
2003	5	3	散热格栅	Assets/Product/Texture/Image/UiInfestorExplore/Equip007.png
2004	5	3	辐射增幅	Assets/Product/Texture/Image/UiInfestorExplore/Equip008.png
2005	5	3	强化重击	Assets/Product/Texture/Image/UiInfestorExplore/Equip009.png
2006	5	3	出力增强	Assets/Product/Texture/Image/UiInfestorExplore/Equip011.png
2007	5	3	反应力场	Assets/Product/Texture/Image/UiInfestorExplore/Equip016.png
2008	5	3	附加装甲	Assets/Product/Texture/Image/UiInfestorExplore/Equip021.png
2009	5	3	防护力场	Assets/Product/Texture/Image/UiInfestorExplore/Equip022.png
2010	5	3	样本补正	Assets/Product/Texture/Image/UiInfestorExplore/Equip025.png
2011	5	3	近战压制	Assets/Product/Texture/Image/UiInfestorExplore/Equip028.png
2012	5	3	辅助瞄准	Assets/Product/Texture/Image/UiInfestorExplore/Equip030.png
2013	5	3	高速处理器	Assets/Product/Texture/Image/UiInfestorExplore/Equip032.png
2014	5	3	衔接Mk.2	Assets/Product/Texture/Image/UiInfestorExplore/Equip038.png
2015	5	3	衔接Mk.3	Assets/Product/Texture/Image/UiInfestorExplore/Equip039.png
2016	5	3	无处可退	Assets/Product/Texture/Image/UiInfestorExplore/Equip042.png
2017	5	3	无缝衔接	Assets/Product/Texture/Image/UiInfestorExplore/Equip043.png
2018	5	3	情报共享	Assets/Product/Texture/Image/UiInfestorExplore/Equip045.png
3001	6	3	动作管理	Assets/Product/Texture/Image/UiInfestorExplore/Equip002.png
3002	6	3	新型电容	Assets/Product/Texture/Image/UiInfestorExplore/Equip003.png
3003	6	3	快速充能	Assets/Product/Texture/Image/UiInfestorExplore/Equip004.png
3004	6	3	附着炸弹	Assets/Product/Texture/Image/UiInfestorExplore/Equip017.png
3005	6	3	姿态喷口	Assets/Product/Texture/Image/UiInfestorExplore/Equip018.png
3006	6	3	势能控制	Assets/Product/Texture/Image/UiInfestorExplore/Equip019.png
3007	6	3	音障利用	Assets/Product/Texture/Image/UiInfestorExplore/Equip020.png
3008	6	3	护盾战术	Assets/Product/Texture/Image/UiInfestorExplore/Equip023.png
3009	6	3	程序学习	Assets/Product/Texture/Image/UiInfestorExplore/Equip024.png
3010	6	3	信号Mk.1	Assets/Product/Texture/Image/UiInfestorExplore/Equip026.png
3011	6	3	信号Mk.2	Assets/Product/Texture/Image/UiInfestorExplore/Equip027.png
3012	6	1	微波场	Assets/Product/Texture/Image/UiInfestorExplore/Equip029.png
3013	6	3	高压电弧	Assets/Product/Texture/Image/UiInfestorExplore/Equip031.png
3014	6	3	反馈处理器	Assets/Product/Texture/Image/UiInfestorExplore/Equip033.png
3015	6	3	弱点扫描	Assets/Product/Texture/Image/UiInfestorExplore/Equip034.png
3016	6	3	针对压制	Assets/Product/Texture/Image/UiInfestorExplore/Equip035.png
3017	6	3	冲击波引线	Assets/Product/Texture/Image/UiInfestorExplore/Equip036.png
3018	6	3	衔接Mk.1	Assets/Product/Texture/Image/UiInfestorExplore/Equip037.png
3019	6	3	辐射尘	Assets/Product/Texture/Image/UiInfestorExplore/Equip040.png
3020	6	3	低温脆性	Assets/Product/Texture/Image/UiInfestorExplore/Equip041.png
3021	6	3	小队掩护	Assets/Product/Texture/Image/UiInfestorExplore/Equip044.png
3022	6	3	炮击掩护	Assets/Product/Texture/Image/UiInfestorExplore/Equip046.png
3023	6	3	战术干扰	Assets/Product/Texture/Image/UiInfestorExplore/Equip047.png
3024	6	1	快速充能	Assets/Product/Texture/Image/UiInfestorExplore/Equip004.png
3025	6	1	程序学习	Assets/Product/Texture/Image/UiInfestorExplore/Equip024.png
