Id	CoreId	CoreLevel	DecomposeMoney	Description	BuffId
1	1001	1	10	攻击、生命+5%	[81000]
2	1001	2	20	攻击、生命+10%	[81001]
3	1001	3	30	攻击、生命+15%	[81002]
4	1002	1	10	每场战斗中可抵御1次致命伤害，抵御成功后会回复当前角色20%生命值	[81027]
5	1003	1	10	进入战斗后每10秒恢复5%生命值，每场战斗生效3次	[81031]
6	1003	2	20	进入战斗后每10秒恢复7.5%生命值，每场战斗生效3次	[81032]
7	1003	3	30	进入战斗后每10秒恢复10%生命值，每场战斗生效3次	[81033]
8	1004	1	10	开局回复10%最大生命值	[81034]
9	1004	2	20	开局回复15%最大生命值	[81035]
10	1004	3	30	开局回复20%最大生命值	[81036]
11	1005	1	10	每击杀1名敌人回复3%最大生命值	[81037]
12	1005	2	20	每击杀1名敌人回复5%最大生命值	[81038]
13	1005	3	30	每击杀1名敌人回复8%最大生命值	[81039]
14	1006	1	10	战斗结束后恢复当前在场角色7.5%最大生命值	[81040]
15	1006	2	20	战斗结束后恢复当前在场角色15%最大生命值	[81041]
16	1006	3	30	战斗结束后恢复当前在场角色22.5%最大生命值	[81042]
17	2001	1	15	火属性伤害增加18%	[81012]
18	2001	2	30	火属性伤害增加26%	[81013]
19	2001	3	45	火属性伤害增加35%	[81014]
20	2002	1	15	雷属性伤害增加18%	[81015]
21	2002	2	30	雷属性伤害增加26%	[81016]
22	2002	3	45	雷属性伤害增加35%	[81017]
23	2003	1	15	冰属性伤害增加18%	[81018]
24	2003	2	30	冰属性伤害增加26%	[81019]
25	2003	3	45	冰属性伤害增加35%	[81020]
26	2004	1	15	暗属性伤害增加18%	[81021]
27	2004	2	30	暗属性伤害增加26%	[81022]
28	2004	3	45	暗属性伤害增加35%	[81023]
29	2005	1	15	物理伤害增加18%	[81024]
30	2005	2	30	物理伤害增加26%	[81025]
31	2005	3	45	物理伤害增加35%	[81026]
32	2006	1	15	普通攻击伤害增加18%	[81028]
33	2006	2	30	普通攻击伤害增加26%	[81029]
34	2006	3	45	普通攻击伤害增加35%	[81030]
35	2007	1	15	50%概率格挡1次伤害，格挡成功后2s内不受任何伤害，冷却15s	[81043]
36	2007	2	30	75%概率格挡1次伤害，格挡成功后3s内不受任何伤害，冷却15s	[81044]
37	2007	3	45	100%概率格挡1次伤害，格挡成功后5s内不受任何伤害，冷却15s	[81045]
38	2008	1	15	开场获得生命15%护盾	[81058]
39	2008	2	30	开场获得生命30%护盾	[81059]
40	2008	3	45	开场获得生命45%护盾	[81060]
41	2009	1	15	受击时有40%的概率获得一个生命5%的护盾，持续5秒	[81061]
42	2009	2	30	受击时有50%的概率获得一个生命10%的护盾，持续5秒	[81062]
43	2009	3	45	受击时有60%的概率获得一个生命15%的护盾，持续5秒	[81063]
44	2010	1	15	每击杀1个敌人掉落1个随机的信号球	[81070]
45	2010	2	30	每击杀1个敌人掉落2个随机的信号球	[81071]
46	2010	3	45	每击杀1个敌人掉落3个随机的信号球	[81072]
47	2011	1	15	近战伤害增加18%	[81079]
48	2011	2	30	近战伤害增加23%	[81080]
49	2011	3	45	近战伤害增加28%	[81081]
50	2012	1	15	远程伤害增加18%	[81083]
51	2012	2	30	远程伤害增加23%	[81084]
52	2012	3	45	远程伤害增加28%	[81085]
53	2013	1	15	qte冷却时间减少1秒	[81089]
54	2013	2	30	qte冷却时间减少2秒	[81090]
55	2013	3	45	qte冷却时间减少3秒	[81091]
56	2014	1	15	连击数达到50以上时，伤害增加15%	[81107]
57	2014	2	30	连击数达到50以上时，伤害增加20%	[81108]
58	2014	3	45	连击数达到50以上时，伤害增加25%	[81109]
59	2015	1	15	连击数达到50以上时，15%概率攻击使敌人晕眩3秒(对boss无效)	[81110]
60	2015	2	30	连击数达到50以上时，30%概率攻击使敌人晕眩3秒(对boss无效)	[81111]
61	2015	3	45	连击数达到50以上时，45%概率攻击使敌人晕眩3秒(对boss无效)	[81112]
62	2016	1	15	队伍中每少1个人(包括空和死亡)，剩余成员全伤害增加10%	[81129]
63	2016	2	30	队伍中每少1个人(包括空和死亡)，剩余成员全伤害增加20%	[81130]
64	2016	3	45	队伍中每少1个人(包括空和死亡)，剩余成员全伤害增加30%	[81131]
65	2017	1	15	切换成员入场冷却时间减少3秒	[81132]
66	2017	2	30	切换成员入场冷却时间减少6秒	[81133]
67	2017	3	45	切换成员入场冷却时间减少9秒	[81134]
68	2018	1	15	切换成员入场时，立刻获得1个随机信号球	[81138]
69	2018	2	30	切换成员入场时，立刻获得2个随机信号球	[81139]
70	2018	3	45	切换成员入场时，立刻获得3个同色信号球	[81140]
71	3001	1	18	技能伤害增加 20%(不包含普攻、必杀技)	[81003]
72	3001	2	36	技能伤害增加 30%(不包含普攻、必杀技)	[81004]
73	3001	3	54	技能伤害增加 40%(不包含普攻、必杀技)	[81005]
74	3002	1	18	必杀技伤害增加 20%	[81006]
75	3002	2	36	必杀技伤害增加 40%	[81007]
76	3002	3	54	必杀技伤害增加 60%	[81008]
77	3003	1	18	开局获得60点能量	[81009]
78	3003	2	36	开局获得80点能量	[81010]
79	3003	3	54	开局获得100点能量	[81011]
80	3004	1	18	攻击50%概率引爆敌人，爆炸造成攻击力30%火属性范围伤害(半径2m)	[81046]
81	3004	2	36	攻击50%概率引爆敌人，爆炸造成攻击力40%火属性范围伤害(半径2m)	[81047]
82	3004	3	54	攻击50%概率引爆敌人，爆炸造成攻击力50%火属性范围伤害(半径2m)	[81048]
83	3005	1	18	闪避槽上限增加400	[81049]
84	3005	2	36	闪避槽上限增加700	[81050]
85	3005	3	54	闪避槽上限增加1000	[81051]
