Id	PoolId	Weight	Type	Params	Description	Name	Icon
1	999	100	201	[50]	全队回复50%生命	生命回复	Assets/Product/Texture/Image/UiInfestorExplore/UiInfestorExploreEventShop01.png
2	999	100	101	[7]	获得1个随机插件单元	插件单元	Assets/Product/Texture/Image/UiInfestorExplore/UiInfestorExploreEventShop02.png
3	999	100	502	[99]	移除全部负面效果	净化	Assets/Product/Texture/Image/UiInfestorExplore/UiInfestorExploreEventShop03.png
4	10001	80	302	[32]	获得32个畸变方块[概率:80%]		
5	10001	15	302	[-60]	失去60个畸变方块[概率:15%]		
6	10001	5	302	[53]	获得53个畸变方块[概率:5%]		
7	10002	55	303	[32, 53]	获得32~53个畸变方块[概率:55%]		
8	10002	40	302	[32]	获得32畸变方块[概率:40%]		
9	10002	5	302	[-45]	失去45畸变方块[概率:5%]		
10	10003	30	301	[100]	已有畸变方块数量x2[概率:30%]		
11	10003	70	301	[-100]	失去所有畸变方块[概率:70%]		
12	10004	60	502	[1]	随机移除1个负面效果[概率:60%]		
13	10004	30	502	[99]	移除全部负面效果[概率:30%]		
14	10004	10	501	[1]	获得1个负面效果[概率:10%]		
15	10005	70	101	[1]	获得1个低级插件单元[概率:70%]		
16	10005	20	302	[-60]	失去60个畸变方块[概率:20%]		
17	10005	10	101	[3]	获得1个高级插件单元[概率:10%]		
18	10006	70	101	[2]	获得1个中级插件单元[概率:70%]		
19	10006	20	302	[-75]	失去75个畸变方块[概率:20%]		
20	10006	10	101	[3]	获得1个高级插件单元[概率:10%]		
21	10007	65	302	[32]	获得32个畸变方块[概率:65%]		
22	10007	30	201	[-50]	全队失去50%生命[概率:30%]		
23	10007	5	101	[3]	获得1个高级插件单元[概率:5%]		
24	10008	65	302	[42]	获得42个畸变方块[概率:65%]		
25	10008	30	201	[-60]	全队失去60%生命[概率:30%]		
26	10008	5	101	[3]	获得1个高级插件单元[概率:5%]		
27	10009	65	302	[42]	获得42个畸变方块[概率:65%]		
28	10009	30	401	[-1]	失去1点行动力[概率:30%]		
29	10009	5	101	[3]	获得1个高级插件单元[概率:5%]		
30	10010	80	201	[-80]	全队失去80%生命[概率:80%]		
31	10010	15	401	[-3]	失去3点行动力[概率:15%]		
32	10010	5	101	[4]	获得1个满级的高级插件单元[概率:5%]		
33	10011	80	301	[-100]	失去所有畸变方块[概率:80%]		
34	10011	15	401	[-3]	失去3点行动力[概率:15%]		
35	10011	5	101	[4]	获得1个满级的高级插件单元[概率:5%]		
36	10012	50	101	[1]	获得1个低级插件单元[概率:50%]		
37	10012	30	101	[2]	获得1个中级插件单元[概率:30%]		
38	10012	20	101	[3]	获得1个高级插件单元[概率:20%]		
39	10013	50	202	[50]	小队随机1人回复50%生命[概率:50%]		
