AssistId	AssistType	PrivateFightEventId	OpenFightEventId	CoolingTime	SkillName	Desc	RoleCharacterBig	MonsterName	Ability	Icon	CareerIcon	HalfBodyImage
1031003	1	2201608	2201607	10000	丽芙·仰光	传送至角色身边释放一次必杀技阿卡迪亚之门，冷却时间23秒	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosBoss1.png		1			
1041003	1	2201608	2201607	10000	比安卡·真理	传送至角色身边使用5次核心被动雷电箭攻击与一次必杀技雷霆震怒，冷却时间29秒	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosBoss8.png		1			
1071004	1	2201608	2201607	10000	卡列尼娜·辉晓	传送至怪物身边对怪物释放一次核心被动跃升击与3次蓝色三消，冷却时间18秒	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosBoss3.png		1			
1031004	1	2201608	2201607	10000	丽芙·极昼	传送至角色身边释放一次引道之诗后再对敌人释放一次纷乱宣誓与一次纯挚宣誓，冷却时间10秒	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosBoss2.png		1			
85100	3		2201606	10000	光辉进行者	传送至角色身边敌人使用一次巨拳弹幕并触发超算，冷却时间18秒	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosBoss5.png	光辉进行者	7103	Assets/Product/Texture/Image/RoleCharacter/GaodaNormal01.png	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Assets/Product/Texture/Image/RoleMonster/RoleMonster85100.png
81900	3		2201606	10000	阿尔法	传送至角色身边释放4次剑气攻击后突进到目标附近后对目标使用一次拔刀斩，冷却时间11秒	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosBoss6.png	阿尔法	7365	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR3LuxiyaaerfaNormal01.png
83902	3		2201606	10000	露娜	传送至角色身边投矛对敌人造成伤害，冷却时间14秒	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosBoss7.png	露娜	8521	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuna1.png	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR3LunaNormal01.png
90910	3		2201606	10000	齿轮	传送至角色身边发射光弹攻击敌人，冷却时间18秒	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosBoss4.png	齿轮	6174	Assets/Product/Texture/Image/RoleCharacter/Me1UnknownMd010001.png	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Assets/Product/Texture/Image/RoleMonster/RoleMonster90910.png
130111	2	2201608	2201607	10000	丽芙·仰光	传送至角色身边释放一次必杀技阿卡迪亚之门，冷却时间23秒	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosBoss1.png		1			
130181	2	2201608	2201607	10000	比安卡·真理	传送至角色身边使用5次核心被动雷电箭攻击与一次必杀技雷霆震怒，冷却时间29秒	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosBoss8.png		1			
150007	2	2201608	2201607	10000	卡列尼娜·辉晓	传送至怪物身边对怪物释放一次核心被动跃升击与3次蓝色三消，冷却时间18秒	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosBoss3.png		1			
130341	2	2201608	2201607	10000	丽芙·极昼	传送至角色身边释放一次引道之诗后再对敌人释放一次纷乱宣誓与一次纯挚宣誓，冷却时间10秒	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosBoss2.png		1			
