Id	LibraryId	Name	Description	FightEventId	PowerPercent
1	1	过载立场	对手无视超算，处在超算空间时，闪避值将充满且不再被消耗	2200701	10
2	1	危险运行	我方受到的伤害将会提升100%，敌方生命值巨幅提升	2200702	50
3	1	能量破坏	我方获得20%伤害减免，每次受到伤害时会损失部分闪避值	2200703	30
4	1	极限置换	普通攻击消耗自身1%最大生命值并对目标造成该消耗值300%的额外真实伤害	2200704	30
5	2	过载立场	对手无视超算，处在超算空间时，闪避值将充满且不再被消耗	2200701	10
6	2	危险运行	我方受到的伤害将会提升100%，敌方生命值巨幅提升	2200702	50
7	2	能量破坏	我方获得20%伤害减免，每次受到伤害时会损失部分闪避值	2200703	30
8	2	极限置换	普通攻击消耗自身1%最大生命值并对目标造成该消耗值300%的额外真实伤害	2200704	30
9	3	过载立场	对手无视超算，处在超算空间时，闪避值将充满且不再被消耗	2200701	10
10	3	低危运行	我方受到的伤害将会提升100%	2200705	30
11	3	能量破坏	我方获得20%伤害减免，每次受到伤害时会损失部分闪避值	2200703	30
12	3	极限置换	普通攻击消耗自身1%最大生命值并对目标造成该消耗值300%的额外真实伤害	2200704	30
13	4	过载立场	对手无视超算，处在超算空间时，闪避值将充满且不再被消耗	2200701	10
14	4	危险运行	我方受到的伤害将会提升100%，敌方生命值巨幅提升	2200702	50
15	4	能量破坏	我方获得20%伤害减免，每次受到伤害时会损失部分闪避值	2200703	30
16	4	极限置换	普通攻击消耗自身1%最大生命值并对目标造成该消耗值300%的额外真实伤害	2200704	30
