Id	ModeId	Name	UnlockTips	Icon	StarLimit	AttackFightEventId	HpFightEventId	StrongAttrLimit
1	2	超算驱动	古典对决开放后，该超数核心才会解锁	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosCore05.png	5			
2	2	弱肉强食	擂台竞技开放后，该超数核心才会解锁	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosCore02.png	5			
3	6	力量嗜欲	紧急抽调开放后，该超数核心才会解锁	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosCore01.png	5			
4	2	信号谐振	紧急抽调开放后，该超数核心才会解锁	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosCore03.png	5			
5	2	引能奇点	双人协力开放后，该超数核心才会解锁	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosCore02.png	5			
6	2	反应护盾	困兽死斗开放后，该超数核心才会解锁	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosCore04.png	5			
7	1	超频再生	古典对决开放后，该超数核心才会解锁	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosCore05.png	5			
8	5	过限武装	无限制连战开放后，该超数核心才会解锁	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosCore02.png	5			
9	6	矢量转移	紧急抽调开放后，该超数核心才会解锁	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosCore04.png	5			
10	1	潜能解放	古典对决开放后，该超数核心才会解锁	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosCore03.png	5			
