Id	CoreId	Star	FightEventId	SpendMaterialId	SpendMaterialCount	Description	UpgradeDescription
1	1		2201101	60834	5	每次<color=#0F70BC>切换角色</color>，获得1点充能，充能最多积累<color=#0F70BC>3层</color>；可消耗<color=#0F70BC>3点充能</color>主动释放，释放后<color=#0F70BC>进入超算空间</color>，并在<color=#0F70BC>3秒</color>内，提升<color=#0F70BC>10%</color>额外伤害加成，并且<color=#0F70BC>每秒随机获取一个信号球</color>	·额外伤害加成提升<color=#0F70BC>10%</color>\n·持续时间<color=#0F70BC>3秒</color>
2	1	1	2201102	60834	5	每次<color=#0F70BC>切换角色</color>，获得1点充能，充能最多积累<color=#0F70BC>3层</color>；可消耗<color=#0F70BC>3点充能</color>主动释放，释放后<color=#0F70BC>进入超算空间</color>，并在<color=#0F70BC>3秒</color>内，提升<color=#0F70BC>15%</color>额外伤害加成，并且<color=#0F70BC>每秒随机获取一个信号球</color>	·额外伤害加成提升<color=#0F70BC>15%</color>\n·持续时间<color=#0F70BC>3秒</color>
3	1	2	2201103	60834	10	每次<color=#0F70BC>切换角色</color>，获得1点充能，充能最多积累<color=#0F70BC>3层</color>；可消耗<color=#0F70BC>3点充能</color>主动释放，释放后<color=#0F70BC>进入超算空间</color>，并在<color=#0F70BC>4秒</color>内，提升<color=#0F70BC>20%</color>额外伤害加成，并且<color=#0F70BC>每秒随机获取一个信号球</color>	·额外伤害加成提升<color=#0F70BC>20%</color>\n·持续时间<color=#0F70BC>4秒</color>
4	1	3	2201104	60834	10	每次<color=#0F70BC>切换角色</color>，获得1点充能，充能最多积累<color=#0F70BC>3层</color>；可消耗<color=#0F70BC>3点充能</color>主动释放，释放后<color=#0F70BC>进入超算空间</color>，并在<color=#0F70BC>4秒</color>内，提升<color=#0F70BC>25%</color>额外伤害加成，并且<color=#0F70BC>每秒随机获取一个信号球</color>	·额外伤害加成提升<color=#0F70BC>25%</color>\n·持续时间<color=#0F70BC>4秒</color>
5	1	4	2201105	60834	10	每次<color=#0F70BC>切换角色</color>，获得1点充能，充能最多积累<color=#0F70BC>3层</color>；可消耗<color=#0F70BC>3点充能</color>主动释放，释放后<color=#0F70BC>进入超算空间</color>，并在<color=#0F70BC>5秒</color>内，提升<color=#0F70BC>30%</color>额外伤害加成，并且<color=#0F70BC>每秒随机获取一个信号球</color>	·额外伤害加成提升<color=#0F70BC>30%</color>\n·持续时间<color=#0F70BC>5秒</color>
6	2		2201201	60834	5	被动效果：模式中每有<color=#0F70BC>一名角色</color>阵亡，提升<color=#0F70BC>5%</color>的最大生命值（在古典对决模式中不生效）\n使用后，降低所有敌人<color=#0F70BC>5%</color>的额外伤害减免，持续<color=#0F70BC>8</color>秒；期间任意敌人<color=#0F70BC>被击杀</color>，回复自身<color=#0F70BC>10%</color>最大生命值\n冷却时间<color=#0F70BC>25</color>秒	·<color=#0F70BC>8</color>秒内降低敌人伤害减免<color=#0F70BC>5%</color>\n·达成条件回复<color=#0F70BC>10%</color>生命
7	2	1	2201202	60834	5	被动效果：模式中每有<color=#0F70BC>一名角色</color>阵亡，提升<color=#0F70BC>10%</color>的最大生命值（在古典对决模式中不生效）\n使用后，降低所有敌人<color=#0F70BC>10%</color>的额外伤害减免，持续<color=#0F70BC>8</color>秒；期间任意敌人<color=#0F70BC>被击杀</color>，回复自身<color=#0F70BC>20%</color>最大生命值\n冷却时间<color=#0F70BC>22</color>秒	·<color=#0F70BC>8</color>秒内降低敌人伤害减免<color=#0F70BC>10%</color>\n·达成条件回复<color=#0F70BC>20%</color>生命
8	2	2	2201203	60834	10	被动效果：模式中每有<color=#0F70BC>一名角色</color>阵亡，提升<color=#0F70BC>15%</color>的最大生命值（在古典对决模式中不生效）\n使用后，降低所有敌人<color=#0F70BC>15%</color>的额外伤害减免，持续<color=#0F70BC>8</color>秒；期间任意敌人<color=#0F70BC>被击杀</color>，回复自身<color=#0F70BC>30%</color>最大生命值\n冷却时间<color=#0F70BC>20</color>秒	·<color=#0F70BC>8</color>秒内降低敌人伤害减免<color=#0F70BC>15%</color>\n·达成条件回复<color=#0F70BC>30%</color>生命
9	2	3	2201204	60834	10	被动效果：模式中每有<color=#0F70BC>一名角色</color>阵亡，提升<color=#0F70BC>20%</color>的最大生命值（在古典对决模式中不生效）\n使用后，降低所有敌人<color=#0F70BC>20%</color>的额外伤害减免，持续<color=#0F70BC>8</color>秒；期间任意敌人<color=#0F70BC>被击杀</color>，回复自身<color=#0F70BC>40%</color>最大生命值\n冷却时间<color=#0F70BC>18</color>秒	·<color=#0F70BC>8</color>秒内降低敌人伤害减免<color=#0F70BC>20%</color>\n·达成条件回复<color=#0F70BC>40%</color>生命
10	2	4	2201205	60834	10	被动效果：模式中每有<color=#0F70BC>一名角色</color>阵亡，提升<color=#0F70BC>25%</color>的最大生命值（在古典对决模式中不生效）\n使用后，降低所有敌人<color=#0F70BC>25%</color>的额外伤害减免，持续<color=#0F70BC>8</color>秒；期间任意敌人<color=#0F70BC>被击杀</color>，回复自身<color=#0F70BC>50%</color>最大生命值\n冷却时间<color=#0F70BC>15</color>秒	·<color=#0F70BC>8</color>秒内降低敌人伤害减免<color=#0F70BC>25%</color>\n·达成条件回复<color=#0F70BC>50%</color>生命
11	3		2201301	60834	5	被动效果：每次进入战斗，回复自身<color=#0F70BC>20%已损失生命值</color>\n使用后，立即损失<color=#0F70BC>20%</color>最大生命值，获得<color=#0F70BC>2秒</color>无敌效果，并在<color=#0F70BC>5秒</color>内提升<color=#0F70BC>20%</color>额外伤害加成\n冷却时间<color=#0F70BC>15秒</color>\n·每次使用后，本场对战中后续使用都会损失翻倍的生命值；释放技能流失的生命值<color=#0F70BC>不会致死</color>	·进入战斗回复<color=#0F70BC>20%</color>已损失生命值\n·提升<color=#0F70BC>20%</color>额外伤害加成
12	3	1	2201302	60834	5	被动效果：每次进入战斗，回复自身<color=#0F70BC>20%已损失生命值</color>\n使用后，立即损失<color=#0F70BC>17.5%</color>最大生命值，获得<color=#0F70BC>2秒</color>无敌效果，并在<color=#0F70BC>5秒</color>内提升<color=#0F70BC>25%</color>额外伤害加成\n冷却时间<color=#0F70BC>15秒</color>\n·每次使用后，本场对战中后续使用都会损失翻倍的生命值；释放技能流失的生命值<color=#0F70BC>不会致死</color>	·进入战斗回复<color=#0F70BC>20%</color>已损失生命值\n·提升<color=#0F70BC>25%</color>额外伤害加成
13	3	2	2201303	60834	10	被动效果：每次进入战斗，回复自身<color=#0F70BC>20%已损失生命值</color>\n使用后，立即损失<color=#0F70BC>15%</color>最大生命值，获得<color=#0F70BC>2秒</color>无敌效果，并在<color=#0F70BC>5秒</color>内提升<color=#0F70BC>30%</color>额外伤害加成\n冷却时间<color=#0F70BC>15秒</color>\n·每次使用后，本场对战中后续使用都会损失翻倍的生命值；释放技能流失的生命值<color=#0F70BC>不会致死</color>	·进入战斗回复<color=#0F70BC>20%</color>已损失生命值\n·提升<color=#0F70BC>30%</color>额外伤害加成
