Id	Type	Order	Name	BigIcon	Path	GIFAsset	Description	WorldDesc	IsFree	ConvertItemId	ConvertItemCount	TimeLimitType	ExpireTimeStr	Duration	PackageId	ConnotationDesc
11000001	1	1	表情1	Assets/Product/Texture/Image/IconExpression/IconExpressA1.png	Assets/Product/Texture/Image/IconExpression/IconExpressA1.png		聊天表情	默认表情之一	1	1	10000	1				阳光开朗
11000002	1	2	表情2	Assets/Product/Texture/Image/IconExpression/IconExpressA2.png	Assets/Product/Texture/Image/IconExpression/IconExpressA2.png		聊天表情	默认表情之一	1	1	10000	1				回见
11000003	1	3	表情3	Assets/Product/Texture/Image/IconExpression/IconExpressA3.png	Assets/Product/Texture/Image/IconExpression/IconExpressA3.png		聊天表情	默认表情之一	1	1	10000	1				嘤嘤嘤
11000004	1	4	表情4	Assets/Product/Texture/Image/IconExpression/IconExpressA4.png	Assets/Product/Texture/Image/IconExpression/IconExpressA4.png		聊天表情	默认表情之一	1	1	10000	1				呦
11000005	1	5	表情5	Assets/Product/Texture/Image/IconExpression/IconExpressA5.png	Assets/Product/Texture/Image/IconExpression/IconExpressA5.png		聊天表情	默认表情之一	1	1	10000	1				……
11000006	1	6	表情6	Assets/Product/Texture/Image/IconExpression/IconExpressA6.png	Assets/Product/Texture/Image/IconExpression/IconExpressA6.png		聊天表情	默认表情之一	1	1	10000	1				哼！
11000007	1	7	表情-这一曲	Assets/Product/Texture/Image/IconExpression/IconExpressA7.png	Assets/Product/Texture/Image/IconExpression/IconExpressA7.png		聊天表情	请听这一曲——比安卡·真理		1	10000	1				这一曲
11000008	1	8	表情-开饭啦	Assets/Product/Texture/Image/IconExpression/IconExpressA8.png	Assets/Product/Texture/Image/IconExpression/IconExpressA8.png		聊天表情	你妈喊你吃饭了——库洛姆·弧光		1	10000	1				开饭啦
11000009	1	9	表情-枪法不错	Assets/Product/Texture/Image/IconExpression/IconExpressA9.png	Assets/Product/Texture/Image/IconExpression/IconExpressA9.png		聊天表情	没人能躲过我的子弹——里·异火		1	10000	1				枪法不错
11000010	1	10	表情-呵	Assets/Product/Texture/Image/IconExpression/IconExpressA10.png	Assets/Product/Texture/Image/IconExpression/IconExpressA10.png		聊天表情	呵——里·异火		1	10000	1				呵
