Id	Name	Description	WorldDesc	GetDesc	AvailableTimeStr	ChatBoardRes	LogoRes	Icon	EffectRes	ChatBoardImageRes	ConvertItemId	ConvertItemCount	IsInit	IsDefault	ExpireTimeStr	Duration	Priority
25000001	基础聊天框	聊天框	基础聊天框	默认解锁		Assets/Product/Texture/Atlas/UiPanelPlayerInfo/CommonChatBg.png		Assets/Product/Texture/Image/UiPanelPlayerInfo/UiChatFrameIcon5.png			1	10000	True	True			1
25000002	灰羽若音	聊天框	飞羽轻盈如歌，亦可托起生命之重。	默认解锁		Assets/Product/Texture/Atlas/UiPanelPlayerInfo/CommonChatBg.png	Assets/Product/Texture/Image/UiPanelPlayerInfo/UiLiaoTian2.png	Assets/Product/Texture/Image/UiPanelPlayerInfo/UiChatFrameIcon1.png			1	10000	True				2
25000003	鹰隼之声	聊天框	鹰喙如钩撕裂猎物的心脏，一声唳鸣之后，奔逸绝尘。	默认解锁		Assets/Product/Texture/Atlas/UiPanelPlayerInfo/CommonChatBg.png	Assets/Product/Texture/Image/UiPanelPlayerInfo/UiLiaoTian4.png	Assets/Product/Texture/Image/UiPanelPlayerInfo/UiChatFrameIcon2.png			1	10000	True				3
25000004	煞犬獠哮	聊天框	用心聆听来自地狱的声吠牵引，一同坠入不复万劫。	默认解锁		Assets/Product/Texture/Atlas/UiPanelPlayerInfo/CommonChatBg.png	Assets/Product/Texture/Image/UiPanelPlayerInfo/UiLiaoTian3.png	Assets/Product/Texture/Image/UiPanelPlayerInfo/UiChatFrameIcon3.png			1	10000	True				4
25000005	天地怪力开辟之拳	聊天框	蒲牢神的力量正在撕裂天地	通过愚人节活动获取	2024/4/1 7:00	Assets/Product/Texture/Atlas/UiPanelPlayerInfo/UiChatFrameIconAprilFoolsDay1.png		Assets/Product/Texture/Image/UiPanelPlayerInfo/UiLiaoTianAprilFoolsDa1.png			1	10000					5
25000006	独步超凡	聊天框	万中无一的卓越之证，获授之人无一例外都是足以在青史上留名的传奇。	通过纷争战区获得		Assets/Product/Texture/Atlas/UiPanelPlayerInfo/UiLiaoTian7.png		Assets/Product/Texture/Image/UiPanelPlayerInfo/UiChatFrameIcon7.png		Assets/Product/Texture/Atlas/UiPanelPlayerInfo/UiLiaoTian7_1.png	1	10000				1209600	7
25000007	百战沙场	聊天框	授予英勇善战之人的勋鉴，象征着无数笔墨难书的光辉战绩。	通过纷争战区获得		Assets/Product/Texture/Atlas/UiPanelPlayerInfo/UiLiaoTian6.png		Assets/Product/Texture/Image/UiPanelPlayerInfo/UiChatFrameIcon6.png		Assets/Product/Texture/Atlas/UiPanelPlayerInfo/UiLiaoTian6_1.png	1	10000				1209600	6
25000008	与你相伴至时间尽头	聊天框	“虽然很多东西都乱七八糟……但谢谢你们能玩这个游戏。”	通过战术研析汇编活动获得	2024/11/30 10:00	Assets/Product/Texture/Atlas/UiPanelPlayerInfo/CommonChatBg.png	Assets/Product/Texture/Image/UiPanelPlayerInfo/UiLiaoTianStageMemory.png	Assets/Product/Texture/Image/UiPanelPlayerInfo/UiChatFrameIconStageMemory.png			1	10000					8
25000009	“心动信号连接中”	聊天框	神秘恶魔正在打破次元的界限。	通过2025年愚人节活动获取	2025/4/1 7:00	Assets/Product/Texture/Atlas/UiPanelPlayerInfo/CommonChatBg.png	Assets/Product/Texture/Image/UiPanelPlayerInfo/UiLiaoTianAprilFoolsDay2.png	Assets/Product/Texture/Image/UiPanelPlayerInfo/UiChatFrameIconAprilFoolsDay2.png			1	10000					9
25000010	暮溯明晖	聊天框	海浪褪去，岸滩上的褶皱又被归潮抚平。她一路拾捡往昔的晖光，将点点追忆编成珠链，系于你的腕间——那是你们共度每一个夏日的证明。	通过覆海归途版本纪念邮件领取	2025/7/3 7:00	Assets/Product/Texture/Atlas/UiPanelPlayerInfo/CommonChatBg.png	Assets/Product/Texture/Image/UiPanelPlayerInfo/UiLiaoTianBianka1.png	Assets/Product/Texture/Image/UiPanelPlayerInfo/UiChatFrameIconBianka1.png			1	10000					10
25000011	任务丸成！	聊天框	作为商业露天广场的专属顾问，丸丸熊会一直陪伴在你身边熊！	通过空中花园任务清单获取		Assets/Product/Texture/Atlas/UiPanelPlayerInfo/CommonChatBg.png	Assets/Product/Texture/Image/UiPanelPlayerInfo/UiLiaoTianBigWorldSkyGardenBear.png	Assets/Product/Texture/Image/UiPanelPlayerInfo/UiChatFrameIconBigWorldSkyGardenBear.png			1	10000					11
25000012	星驰人生	聊天框	引擎咆哮，是赛道的战歌！硝烟与速度交织，点燃你全部的肾上腺素。速度激情，星驰人生！	通过战术研析汇编活动获得	2025/12/1 10:00	Assets/Product/Texture/Atlas/UiPanelPlayerInfo/CommonChatBg.png	Assets/Product/Texture/Image/UiPanelPlayerInfo/UiLiaoTianStageMemoryV2.png	Assets/Product/Texture/Image/UiPanelPlayerInfo/UiChatFrameIconStageMemoryV2.png			1	10000					12
25000013	黄油小狗的吐槽	聊天框	各种意思上的脑袋里想到什么就说什么。	通过黄油咖啡奇遇事活动获得	2026/2/21 10:00	Assets/Product/Texture/Atlas/UiPanelPlayerInfo/UiChatBgPbr1.png		Assets/Product/Texture/Image/UiPanelPlayerInfo/UiChatFrameIconPbr1.png			1	10000					13
