Id	PrefabName	Icon	Name	Desc	Condition	StageId	StoryId	TRPGRewardId	DialogIcon
10000	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		决断高度	77.3%的常规引擎都被强行关闭，空中花园正在下坠。	770400		ZX01601BA		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
13002	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightSquare.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa01.png	既视风景	伪造的数据空间内一如往常，却暗藏着某种东西。	770400	10130142			Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa01a.png
13003	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa02.png	意外的矢弹	意外丛生，有善意的，也有恶意的；有奉命行事，也有自我发挥。	770400	10130143			Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa02.png
11004	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		虚伪的友人	虚伪归于虚伪。	770400		ZX01604BA		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
11005	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		诱饵侧写	真理的所在止于追寻之后。	770400		ZX01605BA		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
11007	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		脆弱的维系	人与人之间的维系和羁绊，到底是坚强还是脆弱？	770400		ZX01606BA		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
13008	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa03.png	打破僵局	终于，你们面前的迷局有了打破的希望。	770400	10130145			Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa03.png
11009	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		闭锁	一切信号在此戛然而止。	770400		ZX01608BA		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
13011	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangleBoss.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa04.png	‘华胥’	不管‘它’为哪一方服务，你们都要让‘它’停下来。	770400	10130147			Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa04.png
13012	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		S.S.D.D	空中花园的危机暂时解除。于是时过境迁，一切照旧。	770400		ZX01610BA		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
20000	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa01.png	强化逆元	看见太危险的东西，可别像好奇的猫一样冲上去碰啊	770400		ZX01611BA		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
21001	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		复原线索	看来在这个任务结束之前，我们会维持这样的视角了。	770400		ZX01611BB		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
21003	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		危机四伏	感染体虚影，感染体本身，还有帕弥什增生物……	770400		ZX01612BA		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
23004	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightSquare.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa02.png	赤色狂潮	汇聚了生与死的红潮静静地注视着四人，正如同此刻，四人注视着它。	770400	10130156			Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa02a.png
