Id	ActivityId	StageId	PreStage	CostCount	ColPictures	ScrollPictures	Desc	QuestionDescs	SuspectIcon	PassDesc	OpenBanner	FinishBanner	WinnerQIcon
1	1	1		3	[9, 0, 0]	[1, 3, 7, 8, 9]	根据<color=#cc0a0a>文字标签</color>提示，在右侧操作区域<color=#cc0a0a>第一个位置</color>拼出目标角色	['感染体', '可爱', '欧尼酱']		神秘人说碧儿只要乖乖站在这儿就好了，但碧儿更想和指挥官玩难度更高的游戏。	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevelUncustomed.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevel1.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameQ2.png
2	1	1		3	[20, 0, 0]	[14, 19, 20, 18, 12]							
3	1	1		3	[31, 0, 0]	[29, 25, 23, 31, 30]							
4	1	2	1	3	[4, 0, 0]	[9, 5, 8, 10, 4, 6, 7]	根据<color=#cc0a0a>文字标签与剪影</color>提示，在右侧操作区域<color=#cc0a0a>第一个位置</color>拼出目标角色	['灰鸦', '剪影']	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameSuspects2.png	你最好没有把我的部件接到过什么奇怪的东西上……算了，干得不错。	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevelUncustomed2.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevel2.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameQ4.png
5	1	2	1	3	[15, 0, 0]	[18, 21, 15, 16, 17, 20, 19]							
6	1	2	1	3	[26, 0, 0]	[29, 32, 31, 28, 27, 26, 30]							
7	1	3	2	3	[34, 8, 0]	[4, 8, 10, 34, 8, 2, 6, 5, 11]	根据<color=#cc0a0a>文字标签与剪影</color>提示，在右侧操作区域<color=#cc0a0a>第一个位置</color>拼出目标角色	['新角色', '剪影']	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameSuspects4.png	您通关的速度超过了70%的指挥官——是的，这是我的一个玩笑。	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevelUncustomed3.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevel3.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameQ1.png
8	1	3	2	3	[35, 19, 0]	[15, 17, 16, 22, 13, 35, 19, 21, 19]							
9	1	3	2	3	[36, 30, 0]	[24, 27, 30, 32, 33, 28, 26, 36, 30]							
10	1	4	3	3	[8, 3, 5]	[6, 9, 2, 7, 11, 1, 34, 8, 3, 5, 10, 4]	使右侧操作区域<color=#cc0a0a>三名角色</color>均为满足<color=#cc0a0a>标签</color>提示的正确形象	['火系']		果然指挥官是最最最棒的！和七实一起——胜利POSE！(<ゝω·)☆”	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevelUncustomed4.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevel4.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameQ3.png
11	1	4	3	3	[19, 14, 16]	[15, 17, 35, 19, 14, 16, 12, 13, 18, 21, 22, 20]							
12	1	4	3	3	[30, 25, 27]	[28, 23, 26, 29, 36, 30, 25, 27, 31, 24, 33, 32]							
13	2	1		3	[40, 0, 0]	[1, 46, 7, 8, 9, 40]	根据<color=#cc0a0a>文字标签</color>提示，在右侧操作区域<color=#cc0a0a>第一个位置</color>拼出目标角色	['清庭白鹭', '灰鸦']	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameSuspects6.png	指挥官的努力，丽芙都看到了……丽芙也要再加把劲才行！	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevelUncustomed.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevel1.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameQ6.png
14	2	1		3	[41, 0, 0]	[47, 19, 41, 18, 12, 20]							
15	2	1		3	[42, 0, 0]	[29, 48, 23, 42, 30, 31]							
16	2	2	1	3	[46, 0, 0]	[9, 5, 8, 10, 4, 6, 7, 46]	根据<color=#cc0a0a>文字标签与剪影</color>提示，在右侧操作区域<color=#cc0a0a>第一个位置</color>拼出目标角色	['工程部队', '暗']	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameSuspects8.png	哼，这次就勉强算你过关好了！下次要更快地找到我，知道了吗！	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevelUncustomed2.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevel2.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameQ8.png
17	2	2	1	3	[47, 0, 0]	[18, 21, 15, 16, 17, 20, 19, 47]							
18	2	2	1	3	[48, 0, 0]	[29, 32, 31, 28, 27, 26, 30, 48]							
19	2	3	2	3	[43, 0, 0]	[4, 46, 10, 43, 9, 2, 6, 5, 11]	根据<color=#cc0a0a>文字标签与剪影</color>提示，在右侧操作区域<color=#cc0a0a>第一个位置</color>拼出目标角色	['清理部队', '魔女']	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameSuspects7.png	不愧是指挥官阁下，您的眼睛总是能看透迷雾。由您来指引接下来的路程，我很放心。	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevelUncustomed3.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevel3.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameQ7.png
20	2	3	2	3	[44, 0, 0]	[15, 17, 16, 22, 13, 44, 47, 21, 20]							
21	2	3	2	3	[45, 0, 0]	[24, 27, 48, 32, 33, 28, 26, 45, 31]							
22	2	4	3	3	[37, 40, 5]	[6, 9, 2, 7, 11, 1, 34, 37, 40, 5, 10, 4]	根据<color=#cc0a0a>文字标签与剪影</color>提示，在右侧操作区域<color=#cc0a0a>第一个位置</color>拼出目标角色	['清庭白鹭', '人偶']	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameSuspects5.png	任务，已经完成了？那邦比娜塔可以移动了吗？谢谢您。	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevelUncustomed4.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevel4.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameQ5.png
23	2	4	3	3	[38, 41, 16]	[15, 17, 35, 38, 41, 16, 12, 13, 18, 21, 22, 20]							
24	2	4	3	3	[39, 42, 27]	[28, 23, 26, 29, 36, 39, 42, 27, 31, 24, 33, 32]							
