Id	Name	Desc	Type	PreStageId	Condition	MapId	SkipId	IsFirst	ObjectiveId	IconUrl	StarTargets	StarRewardIds
101	AR001-1	Recycle space resources in the airspace and establish exploration routes.\nThe airspace contains active Deflection Fields. Please utilize them wisely.	1		50010405	102		True		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenSGDrone/UiSkyGardenSGDronelmgNumber01.png	[1011, 1012, 1013]	[7000229, 7000230, 7000231]
102	AR001-2	Recycle space resources in the airspace and establish exploration routes.\nThe airspace contains active Gravity Generators. Please utilize them wisely.	1	101	50010405	101				Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenSGDrone/UiSkyGardenSGDronelmgNumber02.png	[1021, 1022, 1023]	[7000229, 7000230, 7000231]
103	AR001-3	Recycle space resources in the airspace and establish exploration routes.\nThe airspace environment is complex. Please utilize the available Gravity Generators and Deflection Fields wisely.	1	102	50010405	103				Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenSGDrone/UiSkyGardenSGDronelmgNumber03.png	[1031, 1032, 1033]	[7000229, 7000230, 7000231]
104	AR001-4	Recycle space resources in the airspace and establish exploration routes.\nThe airspace environment is complex. Please utilize the available Gravity Generators and Deflection Fields wisely.	1	103	50010405	104				Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenSGDrone/UiSkyGardenSGDronelmgNumber04.png	[1041, 1042, 1043]	[7000229, 7000230, 7000231]
105	Wishes Adrift in the Starry Sea	At Karenina's request, the Gray Raven Commandant heads to the drone control room in the Military Security Area to test a new second-gen drone. But during the flight, the drone seems to pick up a bizarre signal...	3	104			200119		20120109			
201	AR002-1	Recycle more data and establish exploration routes.\nThe Gravity Generators in the airspace have multiple gravity orbits. Please utilize them wisely.	1		50010406	201		True		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenSGDrone/UiSkyGardenSGDronelmgNumber01.png	[2011, 2012, 2013]	[7000229, 7000230, 7000231]
202	AR002-2	Recycle more data and establish exploration routes.\nThe Gravity Generators in the airspace have multiple gravity orbits. Please utilize them wisely.\nThe drone now features Warp functionality that is operational inside Deflection Fields. Please utilize it wisely.	1	201	50010406	202				Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenSGDrone/UiSkyGardenSGDronelmgNumber02.png	[2021, 2022, 2023]	[7000229, 7000230, 7000231]
203	AR002-3	Recycle more data and establish exploration routes.\nThe airspace environment is complex. Please utilize the Warp commands wisely.	1	202	50010406	203				Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenSGDrone/UiSkyGardenSGDronelmgNumber03.png	[2031, 2032, 2033]	[7000229, 7000230, 7000231]
204	AR002-4	Recycle more data and establish exploration routes.\nThe airspace environment is complex. Please utilize the Warp commands wisely.	1	203	50010406	204				Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenSGDrone/UiSkyGardenSGDronelmgNumber04.png	[2041, 2042, 2043]	[7000229, 7000230, 7000231]
205	Wishes Adrift in the Starry Sea	At Karenina's request, the Gray Raven Commandant heads to the drone control room in the Military Security Area to test a new second-gen drone. But during the flight, the drone seems to pick up a bizarre signal...	3	204			200119		20120113			
