Id	Name	FunctionName	IconPath	Order	Ignore
1	任务	OpenTaskUI			1
2	描述	OpenDesUI	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgS20.png	1	
3	仓库	OpenWarehouse	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgS5.png		1
4	改名	OpenRenameUI			1
5	图鉴	OpenFieldGuid	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgS22.png	2	
6	制造	OpenBuildUI	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgS6.png	5	
7	商店	OpenShopUI	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgS8.png	3	
8	人员	OnBtnPersonClick	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgS11.png		1
9	模板	OpenTemplateUI	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgSTemplate01.png	4	
10	重制	OpenResetUI	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgSRemake01.png	6	
