Key	IntValues	FloatValues	StringValues	Comment
ChipMaxCount	[1000]			芯片最大数量上限
ChipFormCount	[6]			芯片组数量
ChipFormNameMaxLength	[8]			芯片组命名最大长度
LostTipId	[1]			战力不足，失败
RoomTipId	[2]			房间解散，失败
WeekTaskGroupId	[5]			每周任务
TaskGroupId	[6]			玩法任务
WeekGainAssistLimit	[10000]			每周可获得支援点上限
WeekGainSocialAssistLimit	[10000]			每周可获得好友支援点上限
BorrowSocialAssist	[15, 15]			借用好友的芯片自己获得支援点值及好友获得支援点
BorrowTeammateAssist	[10, 10]			借用队友的芯片自己获得支援点值及队友获得支援点
BorrowRandomAssist	[5, 5]			借用随机路人的芯片自己获得支援点值及路人获得支援点
AssistPointItemId	[97002]			支援点ItemId
RandAssistChipCount	[5]			玩家提供得随机支援碎片最大上限
HelpKey			['lalalal']	帮助按钮
IconBreakthrough0			['Assets/Product/Texture/Atlas/UiDlcHunt/UiDlcHuntIconBreak01.png', 'Assets/Product/Texture/Atlas/UiDlcHunt/UiDlcHuntIconBreak3D01.png']	突破图标次数0
IconBreakthrough1			['Assets/Product/Texture/Atlas/UiDlcHunt/UiDlcHuntIconBreak02.png', 'Assets/Product/Texture/Atlas/UiDlcHunt/UiDlcHuntIconBreak3D02.png']	突破图标次数1
IconBreakthrough2			['Assets/Product/Texture/Atlas/UiDlcHunt/UiDlcHuntIconBreak03.png', 'Assets/Product/Texture/Atlas/UiDlcHunt/UiDlcHuntIconBreak3D03.png']	突破图标次数2
SortGroup			['星级', '等级', '突破', '最近']	批量装备界面的筛选框
EmptyChipGroup			['Assets/Product/Texture/Image/UiDlcHunt/UiDlcHuntIconMain00.png']	芯片组为空的图标
MatchTimeoutSec	[300]			匹配超时时间（秒），0为不限制
ReJoinWorldDuration	[300]			断线可重连持续时间
ModelMainUi			['Mb1BengyuehtMd010001']	主界面的模型
CharacterAttr			['Defense', 'Life', 'Attack']	人物界面显示的属性
DurationRequestFriendAssistantChipClient	[300]			客户端好友芯片支援列表的请求间隔
AssistantChipAmount	[10, 2, 2, 2]			客户端芯片支援列表的数量，对应顺序是：好友，队友，随机，策划配置
RoomKickCountDownTime	[30]			房间全员准备后，倒计时踢出房主
RoomKickCountDownShowTime	[10]			房间全员准备后，倒计时踢出房主，不提示时间
ChipEffect			['0', '0', 'Assets/Product/Effect/DlcPrefab/FxUi/FxUiDlcSceneHunt02/FxUiDlcSceneHunt02Blue.prefab', 'Assets/Product/Effect/DlcPrefab/FxUi/FxUiDlcSceneHunt02/FxUiDlcSceneHunt02Purple.prefab', 'Assets/Product/Effect/DlcPrefab/FxUi/FxUiDlcSceneHunt02/FxUiDlcSceneHunt02Golden.prefab']	芯片模型特效
ChipSubEffect			['0', '0', 'Assets/Product/Effect/DlcPrefab/FxUi/FxUiDlcHuntChipDetails/FxUiDlcHuntChipMainCongBlue.prefab', 'Assets/Product/Effect/DlcPrefab/FxUi/FxUiDlcHuntChipDetails/FxUiDlcHuntChipMainCongPurple.prefab', 'Assets/Product/Effect/DlcPrefab/FxUi/FxUiDlcHuntChipDetails/FxUiDlcHuntChipMainCongGolden.prefab']	副芯片主界面模型特效
ChipMainEffect			['0', '0', 'Assets/Product/Effect/DlcPrefab/FxUi/FxUiDlcHuntChipDetails/FxUiDlcHuntChipMainZhuBlue.prefab', 'Assets/Product/Effect/DlcPrefab/FxUi/FxUiDlcHuntChipDetails/FxUiDlcHuntChipMainZhuPurple.prefab', 'Assets/Product/Effect/DlcPrefab/FxUi/FxUiDlcHuntChipDetails/FxUiDlcHuntChipMainZhuGolden.prefab']	主芯片主界面模型特效
TimeOutSettleMailId	[67001]			
RankNumber			['Assets/Product/Texture/Atlas/UiDlcHunt/UiDlcHuntNoOne.png', 'Assets/Product/Texture/Atlas/UiDlcHunt/UiDlcHuntNoTwo.png', 'Assets/Product/Texture/Atlas/UiDlcHunt/UiDlcHuntNoThree.png']	排行榜图片123
