Id	GroupId	PieceId	PieceWeight	Condition	IncreaseWeight
10101001	10101	6	1		
10101002	10101	1	1		
10101003	10101	1	1		
10102001	10102	6	1		
10102002	10102	7	1		
10102003	10102	5	1		
10103001	10103	8	1		
10103002	10103	9	1		
10103003	10103	6	1		
10104001	10104	7	1		
10104002	10104	8	1		
10104003	10104	9	1		
10105001	10105	9	1		
10105002	10105	8	1		
10105003	10105	9	1		
10201001	10201	11	1		
10201002	10201	12	1		
10201003	10201	13	1		
10201004	10201	14	1		
10201005	10201	16	1		
10201006	10201	17	1		
10202001	10202	12	1		
10202002	10202	13	1		
10202003	10202	14	1		
10202004	10202	15	1		
10202005	10202	16	1		
10202006	10202	17	1		
10202007	10202	18	1		
10202008	10202	19	1		
10203001	10203	9	1		
10203002	10203	18	1		
10203003	10203	19	1		
10203004	10203	20	1		
10203005	10203	21	1		
10203006	10203	22	1		
10203007	10203	10	1		
10301001	10301	11	1		
10301002	10301	12	1		
10301003	10301	13	1		
10301004	10301	14	1		
10301005	10301	16	1		
10301006	10301	17	1		
10302001	10302	18	1		
10302002	10302	19	1		
10302003	10302	15	1		
10302004	10302	16	1		
10302005	10302	17	1		
10302006	10302	9	1		
10302007	10302	7	1		
10302008	10302	8	1		
10303001	10303	9	1		
10303002	10303	18	1		
10303003	10303	19	1		
10303004	10303	20	1		
10303005	10303	15	1		
10303006	10303	16	1		
10303007	10303	17	1		
10303008	10303	10	1		
10303009	10303	21	1		
10304001	10304	9	1		
10304002	10304	18	1		
10304003	10304	19	1		
10304004	10304	20	1		
10304005	10304	21	1		
10304006	10304	22	1		
10304007	10304	10	1		
20101001	20101	23	1		
20101002	20101	24	1		
20101003	20101	25	1		
20101004	20101	26	1		
20101005	20101	27	1		
20101006	20101	28	1		
20102001	20102	12	1		
20102002	20102	13	1		
20102003	20102	14	1		
20102004	20102	15	1		
20102005	20102	16	1		
20102006	20102	17	1		
20103001	20103	19	1		
20103002	20103	20	1		
20103003	20103	31	1		
20103004	20103	32	1		
20103005	20103	26	1		
20103006	20103	27	1		
20103007	20103	28	1		
20103008	20103	29	1		
20103009	20103	15	1		
20103010	20103	16	1		
20103011	20103	24	1		
20103012	20103	25	1		
20103013	20103	11	1		
20104001	20104	21	1		
20104002	20104	34	1		
20104003	20104	18	1		
20104004	20104	19	1		
20104005	20104	20	1		
20104006	20104	30	1		
20104007	20104	31	1		
20104008	20104	32	1		
20104009	20104	26	1		
20104010	20104	27	1		
20104011	20104	15	1		
20104012	20104	16	1		
20105001	20105	21	1		
20105002	20105	22	1		
20105003	20105	33	1		
20105004	20105	34	1		
20105005	20105	18	1		
20105006	20105	19	1		
20105007	20105	20	1		
20105008	20105	30	1		
20105009	20105	31	1		
20105010	20105	32	1		
20201001	20201	11	1		
20201002	20201	12	1		
20201003	20201	13	1		
20201004	20201	14	1		
20201005	20201	15	1		
20201006	20201	16	1		
20201007	20201	17	1		
20202001	20202	23	1		
20202002	20202	24	1		
20202003	20202	25	1		
20202004	20202	26	1		
20202005	20202	27	1		
20202006	20202	28	1		
20202007	20202	29	1		
20202008	20202	30	1		
20202009	20202	31	1		
20202010	20202	32	1		
20203001	20203	26	1		
20203002	20203	27	1		
20203003	20203	28	1		
20203004	20203	30	1		
20203005	20203	31	1		
20203006	20203	32	1		
20203007	20203	34	1		
20203008	20203	15	1		
20203009	20203	16	1		
20203010	20203	17	1		
20203011	20203	18	1		
20203012	20203	19	1		
20203013	20203	21	1		
20203014	20203	7	1		
20203015	20203	8	1		
20203016	20203	9	1		
20203017	20203	10	1		
20204001	20204	28	1		
20204002	20204	29	1		
20204003	20204	30	1		
20204004	20204	31	1		
20204005	20204	32	1		
20204006	20204	33	1		
20204007	20204	16	1		
20204008	20204	17	1		
20204009	20204	18	1		
20204010	20204	19	1		
20204011	20204	20	1		
20204012	20204	21	1		
20204013	20204	22	1		
20204014	20204	7	1		
20204015	20204	9	1		
20204016	20204	10	1		
20205001	20205	30	1		
20205002	20205	31	1		
20205003	20205	32	1		
20205004	20205	33	1		
20205005	20205	34	1		
20205006	20205	18	1		
20205007	20205	19	1		
20205008	20205	20	1		
20205009	20205	21	1		
20205010	20205	22	1		
20205011	20205	9	1		
20205012	20205	10	1		
30101001	30101	35	1		
30101002	30101	36	1		
30101003	30101	37	1		
30102001	30102	35	1		
30102002	30102	36	1		
30102003	30102	37	1		
30102004	30102	38	1		
30102005	30102	39	1		
30102006	30102	40	1		
30102007	30102	41	1		
30103001	30103	35	1		
30103002	30103	36	1		
30103003	30103	37	1		
30103004	30103	38	1		
30103005	30103	39	1		
30103006	30103	40	1		
30103007	30103	42	1		
30103008	30103	44	1		
30103009	30103	23	1		
30103010	30103	24	1		
30103011	30103	25	1		
30103012	30103	26	1		
30103013	30103	27	1		
30103014	30103	28	1		
30103015	30103	30	1		
30103016	30103	32	1		
30104001	30104	39	1		
30104002	30104	40	1		
30104003	30104	41	1		
30104004	30104	42	1		
30104005	30104	43	1		
30104006	30104	44	1		
30104007	30104	46	1		
30104008	30104	27	1		
30104009	30104	28	1		
30104010	30104	29	1		
30104011	30104	30	1		
30104012	30104	31	1		
30104013	30104	32	1		
30104014	30104	34	1		
30105001	30105	40	1		
30105002	30105	41	1		
30105003	30105	42	1		
30105004	30105	43	1		
30105005	30105	44	1		
30105006	30105	45	1		
30105007	30105	46	1		
30105008	30105	28	1		
30105009	30105	29	1		
30105010	30105	30	1		
30105011	30105	31	1		
30105012	30105	32	1		
30105013	30105	33	1		
30105014	30105	34	1		
30101012	30101	46	1		
30201001	30201	18	1		
30201002	30201	19	1		
30201003	30201	20	1		
30202001	30202	36	1		
30202002	30202	37	1		
30202003	30202	38	1		
30202004	30202	39	1		
30202005	30202	40	1		
30202006	30202	42	1		
30202007	30202	43	1		
30203001	30203	23	1		
30203002	30203	24	1		
30203003	30203	25	1		
30203004	30203	26	1		
30203005	30203	27	1		
30203006	30203	42	1		
30203007	30203	43	1		
30203008	30203	36	1		
30203009	30203	37	1		
30203010	30203	38	1		
30203011	30203	17	1		
30203012	30203	18	1		
30203013	30203	19	1		
30203014	30203	20	1		
30203015	30203	40	1		
30203016	30203	28	1		
30204001	30204	39	1		
30204002	30204	40	1		
30204003	30204	41	1		
30204004	30204	42	1		
30204005	30204	43	1		
30204006	30204	44	1		
30204007	30204	27	1		
30204008	30204	28	1		
30204009	30204	29	1		
30204010	30204	30	1		
30204011	30204	31	1		
30204012	30204	45	1		
30204013	30204	33	1		
30204014	30204	21	1		
30204015	30204	17	1		
30204016	30204	18	1		
