Id	StageId	StartRound	Group	FirstUseInRound	FirstUseInStage
101001	101	1	[10101]		[6, 1, 1]
101002	101	2	[10102]		[6, 7, 5]
101003	101	3	[10103]		[8, 9, 6]
101004	101	4	[10104]		[7, 8, 9]
101005	101	5	[10105]		
102001	102	1	[10201]		
102002	102	5	[10202]		
102003	102	7	[10203]		
102004	102	10	[10203]		
103001	103	1	[10301]		
103002	103	4	[10301]		
103003	103	5	[10302]		
103004	103	9	[10303]		
103005	103	14	[10304]		
103006	103	15	[10304]		
201001	201	1	[20106]		[6, 11, 26]
201002	201	2	[20101]		
201003	201	4	[20102]		
201004	201	5	[20103]		
201005	201	7	[20104]		
201006	201	12	[20105]		
201007	201	15	[20105]		
202001	202	1	[20201]		
202002	202	2	[20202]		
202003	202	5	[20203]		
202004	202	8	[20204]		
202005	202	13	[20205]		
202006	202	17	[20206]		
202007	202	20	[20206]		
301001	301	1	[30101]		
301002	301	2	[30102]		
301003	301	5	[30103]		
301004	301	8	[30104]		
301005	301	12	[30105]		
301006	301	15	[30105]		
302001	302	1	[30201]		
302002	302	2	[30202]		
302003	302	5	[30203]		
302004	302	9	[30204]		
302005	302	13	[30205]		
302006	302	20	[30205]		
401001	401	1	[40101]		
401002	401	2	[40102]		
401003	401	6	[40103]		
401004	401	12	[40104]		
401005	401	15	[40104]		
402001	402	1	[40201]		
402002	402	2	[40202]		
402003	402	6	[40203]		
402004	402	10	[40204]		
402005	402	16	[40205]		
402006	402	20	[40205]		
501001	501	1	[50101]		
501002	501	4	[50102]		
501003	501	6	[50103]		
501004	501	10	[50104]		
501005	501	16	[50105]		
501006	501	25	[50105]		
502001	502	1	[50201]		
502002	502	4	[50202]		
502003	502	6	[50203]		
502004	502	10	[50204]		
502005	502	16	[50205]		
502006	502	25	[50205]		
601001	601	1	[60101]		
601002	601	2	[60102]		
601003	601	3	[60103]		
601004	601	6	[60104]		
601005	601	10	[60105]		
601006	601	16	[60106]		
601007	601	20	[60106]		
602001	602	1	[60205]		
602002	602	2	[60201]		
602003	602	5	[60202]		
602004	602	11	[60203]		
602005	602	16	[60204]		
602006	602	25	[60204]		
701001	701	1	[70101]		
701002	701	5	[70102]		
701003	701	11	[70103]		
701004	701	16	[70104]		
701005	701	25	[70104]		
702001	702	1	[70201]		
702002	702	5	[70201]		
702003	702	6	[70202]		
702004	702	7	[70203]		
702005	702	10	[70203]		
702006	702	11	[70202]		
702007	702	12	[70204]		
702008	702	15	[70204]		
702009	702	16	[70202]		
702010	702	17	[70205]		
702011	702	20	[70205]		
702012	702	21	[70202]		
702013	702	22	[70206]		
702014	702	25	[70206]		
703001	703	1	[70301]		[24, 25, 37]
703002	703	2	[70301]		[23, 29, 38]
703003	703	3	[70301]		[26, 27, 39]
703004	703	4	[70301]		[28, 36, 40]
703005	703	5	[70301]		
703006	703	6	[70302]		
703007	703	7	[70304]		
703008	703	10	[70304]		
703009	703	11	[70305]		
703010	703	15	[70305]		
703011	703	16	[70302]		
703012	703	17	[70306]		
703013	703	25	[70306]		
703014	703	26	[70302]		
703015	703	27	[70306]		
703016	703	30	[70306]		
