Id	Value
UiStand1	1
StandAct0101	2
BoardAct0201	3
BoardAct0202	4
BoardAct0203	5
BoardAct1001	6
BoardAct1002	7
BoardAct1003	8
BoardAct1004	9
BoardAct1005	10
BoardAct1006	11
BoardAct1007	12
BoardAct10041	13
BoardAct0204	14
BoardAct0205	15
R2NuoketiMd010011	1
R2NuoketiMd010021	2
R2NuoketiMd010031	3
R2NuoketiMd019091	4
R3LamiyaMd010011	5
R3LamiyaMd010021	6
R3LamiyaMd010031	7
R3LamiyaMd019091	8
R4DubianMd010011	9
R4DubianMd010021	10
R4DubianMd010031	11
R4DubianMd019091	12
R2NuoketiMd019141	13
R3LamiyaMd019371	14
R3HanyingMd010011	15
R3HanyingMd010021	16
R3HanyingMd010031	17
R3HanyingMd019011	18
R3HanyingMd019021	19
R2BazhiMd010011	20
R2BazhiMd010021	21
R2BazhiMd010031	22
R2BazhiMd019091	23
R5YongyechaoMd010011	24
R5YongyechaoMd010021	25
R5YongyechaoMd010031	26
R5YongyechaoMd019011	27
R4DubianMd019071	28
R3CibeizheMd010011	29
R3CibeizheMd010021	30
R3CibeizheMd010031	31
R3LamiyaMd019141	32
R3CibeizheMd019291	33
R5SailinnaMd010011	34
R5SailinnaMd010021	35
R5SailinnaMd010031	36
R5SailinnaMd019011	37
R3HanyingMd019141	38
R6LuxiyaMd019371	39
R2JietaweiMd010011	40
R2JietaweiMd010021	41
R2JietaweiMd010031	42
R3VergilMd010011	43
R3DanteMd010011	44
R5YongyechaoMd019071	45
R4WeilaMd010011	46
R4WeilaMd010021	47
R4WeilaMd010031	48
R4WeilaMd019011	49
R3CibeizheMd019141	50
R5BiankaMd010011	51
R5BiankaMd010021	52
R5BiankaMd010031	53
R5SailinnaMd019371	54
R5BiankaMd019011	55
R2XiezouMd010011	56
R2XiezouMd010021	57
R2XiezouMd010031	58
R2XiezouMd019011	59
R3WeiluonikaMd019011	60
R5LifuMd010011	61
R5LifuMd010021	62
R5LifuMd010031	63
R3CibeizheMd019231	64
R5LifuMd019011	65
R3BuouxiongMd010011	66
R3BuouxiongMd019011	67
R3BuouxiongMd010021	68
R3BuouxiongMd010031	69
R5BiankaMd019241	70
R5YongyechaoMd019031	71
R2XiezouMd019141	72
R4LuosaitaMd010011	73
R4LuosaitaMd010021	74
R4LuosaitaMd010031	75
R4LuosaitaMd019011	76
R4WeilaMd019101	77
R4ShenweiMd010011	78
R4ShenweiMd010021	79
R4ShenweiMd010031	80
R4ShenweiMd019421	81
R7LuxiyaMd010011	82
R7LuxiyaMd010021	83
R7LuxiyaMd010031	84
R7LuxiyaMd010032	85
