Id	UiName	CharacterId	CameraName	PositionX	PositionY	PositionZ	RotationX	RotationY	RotationZ	FieldOfView
11031001	UiMain	1031001	['CamNearMain', 'CamNearMainEnter', 'CamNearMainChatEnter', 'CamNearMainRightMidSecondEnter']	[-3.5499, -3.5999, -3.5499, -2.46]	[1.095, 1.08, 1.095, 1.095]	[4.8559, 5.28, 4.8559, 4.4899]	[-2.084, -2.084, -2.084, -2.084]	[173.2129, 173.2129, 158.233, -163.0]	[0.0, 0.0, 0.0, 0.0]	[27.0, 27.0, 27.0, 27.0]
11021001	UiMain	1021001	['CamNearMain', 'CamNearMainEnter', 'CamNearMainChatEnter', 'CamNearMainRightMidSecondEnter']	[-3.5499, -3.5999, -3.5499, -2.46]	[1.095, 1.08, 1.095, 1.095]	[4.8559, 5.28, 4.8559, 4.4899]	[-2.084, -2.084, -2.084, -2.084]	[173.2129, 173.2129, 158.233, -163.0]	[0.0, 0.0, 0.0, 0.0]	[27.0, 27.0, 27.0, 27.0]
11091002	UiMain	1091002	['CamNearMain', 'CamNearMainEnter', 'CamNearMainChatEnter', 'CamNearMainRightMidSecondEnter']	[-3.5499, -3.5999, -3.5499, -2.46]	[1.095, 1.08, 1.095, 1.095]	[4.8559, 5.28, 4.8559, 4.4899]	[-2.084, -2.084, -2.084, -2.084]	[173.2129, 173.2129, 158.233, -163.0]	[0.0, 0.0, 0.0, 0.0]	[27.0, 27.0, 27.0, 27.0]
11231002	UiMain	1231002	['CamNearMain', 'CamNearMainEnter', 'CamNearMainChatEnter', 'CamNearMainRightMidSecondEnter']	[-3.5499, -3.5999, -3.5499, -2.46]	[1.095, 1.08, 1.095, 1.095]	[4.8559, 5.28, 4.8559, 4.4899]	[-2.084, -2.084, -2.084, -2.084]	[173.2129, 173.2129, 158.233, -163.0]	[0.0, 0.0, 0.0, 0.0]	[27.0, 27.0, 27.0, 27.0]
11041002	UiMain	1041002	['CamNearMain', 'CamNearMainEnter', 'CamNearMainChatEnter', 'CamNearMainRightMidSecondEnter']	[-3.5499, -3.5999, -3.5499, -2.46]	[1.095, 1.08, 1.095, 1.095]	[4.8559, 5.28, 4.8559, 4.4899]	[-2.084, -2.084, -2.084, -2.084]	[173.2129, 173.2129, 158.233, -163.0]	[0.0, 0.0, 0.0, 0.0]	[27.0, 27.0, 27.0, 27.0]
11161002	UiMain	1161002	['CamNearMain', 'CamNearMainEnter', 'CamNearMainChatEnter', 'CamNearMainRightMidSecondEnter']	[-3.5499, -3.5999, -3.5499, -2.46]	[1.095, 1.08, 1.095, 1.095]	[4.8559, 5.28, 4.8559, 4.4899]	[-2.084, -2.084, -2.084, -2.084]	[173.2129, 173.2129, 158.233, -163.0]	[0.0, 0.0, 0.0, 0.0]	[27.0, 27.0, 27.0, 27.0]
11081002	UiMain	1081002	['CamNearMain', 'CamNearMainEnter', 'CamNearMainChatEnter', 'CamNearMainRightMidSecondEnter']	[-3.5499, -3.5999, -3.5499, -2.46]	[1.095, 1.08, 1.095, 1.095]	[4.8559, 5.28, 4.8559, 4.4899]	[-2.084, -2.084, -2.084, -2.084]	[173.2129, 173.2129, 158.233, -163.0]	[0.0, 0.0, 0.0, 0.0]	[27.0, 27.0, 27.0, 27.0]
11561003	UiMain	1561003	['CamNearMain', 'CamNearMainEnter', 'CamNearMainChatEnter', 'CamNearMainRightMidSecondEnter']	[-3.5499, -3.5999, -3.5499, -2.46]	[1.095, 1.08, 1.095, 1.095]	[4.8559, 5.28, 4.8559, 4.4899]	[-2.084, -2.084, -2.084, -2.084]	[173.2129, 173.2129, 158.233, -163.0]	[0.0, 0.0, 0.0, 0.0]	[27.0, 27.0, 27.0, 27.0]
11241002	UiMain	1241002	['CamNearMain', 'CamNearMainEnter', 'CamNearMainChatEnter', 'CamNearMainRightMidSecondEnter']	[-3.5499, -3.5999, -3.5499, -2.46]	[1.095, 1.08, 1.095, 1.095]	[4.8559, 5.28, 4.8559, 4.4899]	[-2.084, -2.084, -2.084, -2.084]	[173.2129, 173.2129, 158.233, -163.0]	[0.0, 0.0, 0.0, 0.0]	[27.0, 27.0, 27.0, 27.0]
11071002	UiMain	1071002	['CamNearMain', 'CamNearMainEnter', 'CamNearMainChatEnter', 'CamNearMainRightMidSecondEnter']	[-3.5499, -3.5999, -3.5499, -2.46]	[1.095, 1.08, 1.095, 1.095]	[4.8559, 5.28, 4.8559, 4.4899]	[-2.084, -2.084, -2.084, -2.084]	[173.2129, 173.2129, 158.233, -163.0]	[0.0, 0.0, 0.0, 0.0]	[27.0, 27.0, 27.0, 27.0]
