Id	Name	ConditionId	ConditionParam	CvContent	CvId	ActionId	Priority	CoolTime	Duration	EffectPath	Weight
1	闲置1	1	9	赛利卡：没什么动力吗？等你完成工作后，\n我给你准备个<color=#34AFF8>小礼物</color>如何？	100000886	jiangjie	9	60	6.0		1
2	登录问候	101	-1	赛利卡：今日份工作我安排好了！\n只有九页半，对你来说很容易吧~	100000880	dazhaohu	1	999	4.0		
3	进入系统	102	-1	赛利卡：来啦！	100000880	dazhaohu	2	999	2.7999		
4	奖励提醒	120	-1	赛利卡：还有结算奖励没有<color=#34AFF8>领取</color>，\n想要我代领可是得付加班费的。	100000886	huaixiao	6	15	4.0		
5	单击	10001	1	赛利卡：呀！！呼……是你啊，\n原本看你太忙有项任务想帮你挪到明天的，\n现在我改主意了~	100000881	huaixiao	4	3	4.0		
6	快速点击	10001	2	赛利卡：今天不要想着可以准时下班哦……	100000882	shengqi	3	6	5.0		
7	未解锁提醒	10002	-1	赛利卡：不行~想要解锁这里的任务\n得<color=#34AFF8>先结算前面</color>的任务才行，\n欲速则不达哦。	100000885	jiangjie	5	10	6.0		
8	完成任务鼓励	10004	-1	赛利卡：居然只用这点时间就完成了全部任务，\n那么接下来的速度会更快吗？\n我很期待。	100000883	jiangjie	7	15	6.0		
9	闲置3	1	9	赛利卡：下方的<color=#34AFF8>进度奖励</color>都是比较<color=#34AFF8>丰厚</color>的，\n毕竟我也不是只会压榨的魔鬼嘛~	100000884	jiangjie	8	120	6.0		1
10	闲置2	1	9	赛利卡：想不想听点哈桑议长和尼科拉司令\n的小八卦？看背后？我背后有什……	100000884	huaixiao	10	180	4.0		1
