Id	UiName	ModelName	CameraName	PositionX	PositionY	PositionZ	RotationX	RotationY	RotationZ	FieldOfView
1001	UiCharacter	R4YongyechaobotMd010011	['CamFarMain', 'CamNearMain', 'UiCamFarLv', 'UiCamNearLv', 'UiCamFarGrade', 'UiCamNearGrade', 'UiCamFarQuality', 'UiCamNearQuality', 'UiCamFarSkill', 'UiCamNearSkill']	[0.34, 0.34, 0.5099, 0.5099, -1.33, -1.33, 0.5299, 0.5299, -2.63, -2.63]	[1.37, 1.37, 1.0299, 1.0299, 1.35, 1.35, 1.1799, 1.1799, 1.1499, 1.1499]	[-28.4599, -28.4599, -26.59, -26.59, -25.6599, -25.6599, -26.03, -26.03, -26.9099, -26.9099]	[2.25, 2.25, 0.856, 0.856, 1.7139, 1.7139, 0.0, 0.0, 0.8149, 0.8149]	[0.0, 0.0, 0.0, 0.0, 20.6499, 20.6499, 0.0, 0.0, 27.61, 27.61]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	
1002	UiCharacter	R4YongyechaobotMd010021	['CamFarMain', 'CamNearMain', 'UiCamFarLv', 'UiCamNearLv', 'UiCamFarGrade', 'UiCamNearGrade', 'UiCamFarQuality', 'UiCamNearQuality', 'UiCamFarSkill', 'UiCamNearSkill']	[0.34, 0.34, 0.5099, 0.5099, -1.33, -1.33, 0.5299, 0.5299, -2.63, -2.63]	[1.37, 1.37, 1.0299, 1.0299, 1.35, 1.35, 1.1799, 1.1799, 1.1499, 1.1499]	[-28.4599, -28.4599, -26.59, -26.59, -25.6599, -25.6599, -26.03, -26.03, -26.9099, -26.9099]	[2.25, 2.25, 0.856, 0.856, 1.7139, 1.7139, 0.0, 0.0, 0.8149, 0.8149]	[0.0, 0.0, 0.0, 0.0, 20.6499, 20.6499, 0.0, 0.0, 27.61, 27.61]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	
1003	UiCharacter	R4YongyechaobotMd010031	['CamFarMain', 'CamNearMain', 'UiCamFarLv', 'UiCamNearLv', 'UiCamFarGrade', 'UiCamNearGrade', 'UiCamFarQuality', 'UiCamNearQuality', 'UiCamFarSkill', 'UiCamNearSkill']	[0.34, 0.34, 0.5099, 0.5099, -1.33, -1.33, 0.5299, 0.5299, -2.63, -2.63]	[1.37, 1.37, 1.0299, 1.0299, 1.35, 1.35, 1.1799, 1.1799, 1.1499, 1.1499]	[-28.4599, -28.4599, -26.59, -26.59, -25.6599, -25.6599, -26.03, -26.03, -26.9099, -26.9099]	[2.25, 2.25, 0.856, 0.856, 1.7139, 1.7139, 0.0, 0.0, 0.8149, 0.8149]	[0.0, 0.0, 0.0, 0.0, 20.6499, 20.6499, 0.0, 0.0, 27.61, 27.61]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	
1004	UiCharacter	R4YongyechaobotMd019321	['CamFarMain', 'CamNearMain', 'UiCamFarLv', 'UiCamNearLv', 'UiCamFarGrade', 'UiCamNearGrade', 'UiCamFarQuality', 'UiCamNearQuality', 'UiCamFarSkill', 'UiCamNearSkill']	[0.34, 0.34, 0.5099, 0.5099, -1.33, -1.33, 0.5299, 0.5299, -2.63, -2.63]	[1.37, 1.37, 1.0299, 1.0299, 1.35, 1.35, 1.1799, 1.1799, 1.1499, 1.1499]	[-28.4599, -28.4599, -26.59, -26.59, -25.6599, -25.6599, -26.03, -26.03, -26.9099, -26.9099]	[2.25, 2.25, 0.856, 0.856, 1.7139, 1.7139, 0.0, 0.0, 0.8149, 0.8149]	[0.0, 0.0, 0.0, 0.0, 20.6499, 20.6499, 0.0, 0.0, 27.61, 27.61]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	
1005	UiCharacter	R3WeilaMd019331	['CamFarMain', 'CamNearMain', 'UiCamFarLv', 'UiCamNearLv', 'UiCamFarGrade', 'UiCamNearGrade', 'UiCamFarQuality', 'UiCamNearQuality', 'UiCamFarSkill', 'UiCamNearSkill', 'UiCamFarrExchange', 'UiCamNearrExchange']	[0.1, 0.0, 0.1, 0.0, -1.33, -1.33, 1.0, 1.0, 1.97, 1.97, -0.2849, -0.2849]	[0.55, 1.83, 0.55, 1.6, 0.6999, 0.6999, 1.0099, 1.0099, 0.56, 0.56, 1.7999, 1.7999]	[-23.86, -24.86, -23.86, -23.94, -23.76, -23.76, -24.01, -24.01, -23.43, -23.43, -24.84, -24.84]	[0.0, 14.31, 0.0, 14.31, 1.7139, 1.7139, 6.32, 6.32, 0.0, 0.0, 14.074, 14.074]	[0.0, 0.68, 0.0, 2.7, 20.649, 20.649, -11.6999, -11.6999, -27.0799, -27.0799, -9.9569, -9.9569]	[0.0, 0.0, 0.0, 0.0, 0.3019, 0.3019, 0.0, 0.0, 0.0, 0.0, -2.5, -2.5]	
1006	UiCharacter	R3KuluomuMd019011	['CamNearMain', 'UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearrExchange']	[0.3499, 0.4799, 1.2, 2.2999, -0.92, 1.0399]	[1.0, 1.0, 1.6, 0.6, 1.96, 1.0]	[-25.1, -24.1, -22.79, -23.69, -23.7999, -25.1]	[2.8199, 2.8199, 13.56, -0.6999, 16.04, 2.8199]	[-1.71, -1.71, -19.3999, -27.19, 16.6499, -22.92]	[0.5799, 0.5799, 0.5799, 0.5799, 0.5799, 0.5799]	
1013	UiCharacter	QR2LiangMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1014	UiCharacter	QR1LuxiyaMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1015	UiCharacter	QR1LifuMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1016	UiCharacter	QR2BiankaMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1017	UiCharacter	QR2YongyechaoMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1018	UiCharacter	QR2ShenweiMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1019	UiCharacter	QR2KalieninaMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1020	UiCharacter	QR2DubianMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1021	UiCharacter	QR2LuxiyaMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1022	UiCharacter	QR2LifuMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1023	UiCharacter	QR3LiangMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1024	UiCharacter	QR3LifuMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1025	UiCharacter	QR3ShenweiMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1026	UiCharacter	QR3KalieninaMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1027	UiCharacter	QR3YongyechaoMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1028	UiCharacter	QR3LuxiyaMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1029	UiCharacter	QR3DubianMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
