Type	Name	IconPath
1	对话	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconTalking.png
2	商店	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconShop.png
3	主线	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconMainLine.png
4	支线	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconBranchLine.png
5	退出	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconQuit.png
6	锁定	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconLock.png
7	收集	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconCollection.png
8	调查	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconInvestigation.png
9	功能跳转	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconGo.png
10	摆件架	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconGift.png
11	照片墙	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconPhoto.png
12	衣柜	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconClothes.png
13	宝箱	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconReward.png
14	传送信标	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconDeliveryPoint.png
15	电梯升降交互	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldFight/Icon/UiBigWorldFightCommonTalklconInteraction.png
