Url	IsBigWorldRes
Assets/Product/Ui/Font/SpriteTextAsset/SpriteTextAsset.asset	
Assets/Product/Ui/Font/SpriteTextAsset/SpriteTextAssetNanami.asset	
Assets/Product/Ui/Font/SpriteTextAsset/SpriteTextAssetCombo.asset	
Assets/Product/Ui/Font/SpriteTextAsset/SpriteTextAssetFightCountdown.asset	
Assets/Product/Ui/Font/SpriteTextAsset/BigWorld/Common/SpriteTextAssetUiBigWorldFightCountdown.asset	True
Assets/Product/Ui/Font/SpriteTextAsset/UiFightDlc/SpriteTextAssetDlcBreakDamage.asset	
Assets/Product/Ui/Font/SpriteTextAsset/UiFightDlc/SpriteTextAssetDlcCritTemplate.asset	
Assets/Product/Ui/Font/SpriteTextAsset/UiFightDlc/SpriteTextAssetDlcFightExecution.asset	
Assets/Product/Ui/Font/SpriteTextAsset/UiFightDlc/SpriteTextAssetDlcGirdTemplate.asset	
Assets/Product/Ui/Font/SpriteTextAsset/UiFightDlc/SpriteTextAssetDlcGirdSkillCD.asset	
Assets/Product/Ui/Font/SpriteTextAsset/UiFightDlc/SpriteTextAssetDlcBreakDamage.asset	
Assets/Product/Ui/Font/SpriteTextAsset/SpriteTextAssetR4Lifu.asset	
Assets/Product/Ui/Font/SpriteTextAsset/UiFightDlc/SpriteTextAssetDlcMultiMouse.asset	
Assets/Product/Ui/Font/SpriteTextAsset/UiFightDlc/SpriteTextAssetDlcFullChian.asset	
